13.91.131.76,enterprise.activity.windows.com
38.106.231.204,osfsr.lenovomm.com
69.195.169.128,api-46-0-0.twitter.com
40.126.2.1,login.microsoftonline.com
128.116.112.44,users.roblox.com
40.126.2.1,login.microsoftonline.com
104.22.2.109,builds.parsecgaming.com
104.22.2.109,builds.parsecgaming.com
40.90.22.188,login.live.com
13.33.75.39,slack.com
35.186.224.47,dealer.spotify.com
128.116.112.44,users.roblox.com
52.5.201.207,polka.typekit.com
17.248.187.71,p42-keyvalueservice.icloud.com
52.114.88.29,v20.events.data.microsoft.com
104.45.177.233,fe2cr.update.microsoft.com
172.217.7.22,i.ytimg.com
52.86.82.146,rtm.tnt-ea.com
52.114.88.29,v10.events.data.microsoft.com
104.17.188.107,zwyr157wwiu6eior.com
64.4.54.18,fe3cr.delivery.mp.microsoft.com
52.114.88.29,v10.events.data.microsoft.com
31.13.65.36,www.facebook.com
52.114.32.25,mobile.pipe.aria.microsoft.com
52.114.32.25,mobile.pipe.aria.microsoft.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
52.169.123.48,geo.prod.do.dsp.mp.microsoft.com
52.179.129.229,arc.msn.com
104.110.121.130,kv601.prod.do.dsp.mp.microsoft.com
104.110.121.130,cp601.prod.do.dsp.mp.microsoft.com
17.248.187.140,gateway.icloud.com
52.114.88.29,v10.events.data.microsoft.com
52.114.88.29,v10.events.data.microsoft.com
101.89.125.227,s2.mini.wpscdn.cn
52.114.88.29,v10.events.data.microsoft.com
128.116.112.44,users.roblox.com
69.192.108.239,api1.origin.com
172.217.11.14,docs.google.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
52.114.132.20,v20.events.data.microsoft.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
198.134.112.243,padsdown.com
136.37.165.69,sponsor.ajay.app
182.92.244.228,dsp.lenovo.com.cn
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
172.217.12.214,i.ytimg.com
52.4.42.220,prd-collector-anon.playbuzz.com
172.217.10.42,remotedesktop-pa.googleapis.com
172.217.11.10,remotedesktop-pa.googleapis.com
72.21.81.200,az700632.vo.msecnd.net
72.21.81.200,az700632.vo.msecnd.net
13.107.5.88,visualstudio-devdiv-c2s.msedge.net
99.83.135.170,capi.grammarly.com
72.21.81.200,az667904.vo.msecnd.net
13.107.5.88,evoke-windowsservices-tas.msedge.net
59.110.148.212,privilege.lenovo.com.cn
31.13.65.1,www.messenger.com
172.217.10.42,safebrowsing.googleapis.com
38.106.231.204,osfsr.lenovomm.com
52.179.129.229,arc.msn.com
172.217.6.193,lh3.googleusercontent.com
96.6.24.89,xp.apple.com
23.43.56.193,play.itunes.apple.com
128.116.112.44,users.roblox.com
92.223.21.26,cat.wargaming.net
172.217.10.14,ogs.google.com
172.217.12.174,apis.google.com
92.223.23.202,wguscs-wgceu.wargaming.net
72.21.81.200,az667904.vo.msecnd.net
165.254.49.140,steamcdn-a.akamaihd.net
34.214.154.96,proxy.gamestream.nvidia.com
152.195.54.20,services.gfe.nvidia.com
20.36.218.63,settings-win.data.microsoft.com
8.36.80.215,events.gfe.nvidia.com
148.153.64.18,api.vc.bilibili.com
148.153.64.18,api.vc.bilibili.com
52.2.21.201,datarouter.ol.epicgames.com
13.225.226.153,slack.com
52.34.160.100,video-edge-8a9309.pdx01.abs.hls.ttvnw.net
172.217.7.10,www.googleapis.com
151.101.202.248,audio-fa.scdn.co
35.186.224.47,dealer.spotify.com
17.248.135.141,gateway.icloud.com
17.248.187.70,gateway-asset.icloud-content.com
149.154.167.99,t.me
8.36.80.215,events.gfe.nvidia.com
128.116.112.44,users.roblox.com
54.208.26.222,account-public-service-prod03.ol.epicgames.com
149.154.167.99,telegram.org
149.154.167.99,telegram.org
149.154.167.99,telegram.org
149.154.167.99,telegram.org
149.154.167.99,telegram.org
149.154.167.99,telegram.org
149.154.171.236,cdn5.telesco.pe
149.154.171.236,cdn5.telesco.pe
149.154.171.236,cdn5.telesco.pe
149.154.171.236,cdn5.telesco.pe
149.154.171.236,cdn5.telesco.pe
149.154.171.236,cdn5.telesco.pe
34.225.11.222,acp-ss-ue1.adobe.io
59.111.0.200,mumu.nie.netease.com
3.223.250.182,rtm.tnt-ea.com
52.113.194.132,config.teams.microsoft.com
13.225.230.28,api-cache.blizzcon.com
162.159.129.233,discordapp.com
209.85.144.108,imap.gmail.com
65.55.44.109,vortex.data.microsoft.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
13.107.18.11,substrate.office.com
13.107.18.11,substrate.office.com
52.114.75.149,mobile.pipe.aria.microsoft.com
