17.248.132.40,p10-contacts.icloud.com
35.186.224.53,spclient.wg.spotify.com
209.237.204.128,api-0-4-8.twitter.com
52.114.158.53,browser.pipe.aria.microsoft.com
35.190.90.182,glbtls-na.t.co
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
209.237.199.128,api-0-4-4.twitter.com
69.195.163.128,api-37-0-0.twitter.com
35.186.224.53,spclient.wg.spotify.com
52.179.129.229,arc.msn.com
128.116.112.44,users.roblox.com
40.90.22.189,login.live.com
13.68.93.109,sls.update.microsoft.com
151.101.250.248,audio-fa.scdn.co
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
40.69.218.62,array609.prod.do.dsp.mp.microsoft.com
198.134.112.243,padsdown.com
172.217.12.211,www.flashvid.net
193.182.15.116,audio-sp-dca-13.spotifycdn.net
40.91.75.5,fe2.update.microsoft.com
52.225.251.2,public.settings.family.microsoft.com
52.40.103.85,profile.accounts.firefox.com
52.38.131.12,sync-632-us-west-2.sync.services.mozilla.com
52.26.159.112,api.accounts.firefox.com
52.225.251.2,public.settings.family.microsoft.com
65.52.108.90,fe3.delivery.mp.microsoft.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
18.205.47.109,prd-collector-anon.playbuzz.com
40.79.65.123,array505.prod.do.dsp.mp.microsoft.com
52.158.122.14,geo.prod.do.dsp.mp.microsoft.com
13.225.230.67,api-cache.blizzcon.com
24.105.29.76,telemetry-in.battle.net
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
148.153.64.18,api.vc.bilibili.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
20.36.218.63,settings-win.data.microsoft.com
104.22.3.109,builds.parsecgaming.com
104.22.3.109,builds.parsecgaming.com
128.116.112.44,users.roblox.com
52.1.184.222,datarouter.ol.epicgames.com
40.90.22.190,login.live.com
52.179.129.229,arc.msn.com
204.79.197.200,www.bing.com
54.239.23.88,horizonte.browserapps.amazon.com
54.165.142.170,fls-na.amazon.com
23.52.161.21,livetileedge.dsx.mp.microsoft.com
170.33.8.154,gs.arknights.global
52.114.74.44,v10.events.data.microsoft.com
165.254.49.142,steamcdn-a.akamaihd.net
20.36.218.63,settings-win.data.microsoft.com
31.13.65.36,www.facebook.com
35.186.224.47,dealer.spotify.com
128.116.112.44,users.roblox.com
23.111.9.57,twemoji.maxcdn.com
99.83.135.170,capi.grammarly.com
59.111.0.200,mumu.nie.netease.com
40.91.72.120,presence-heartbeat.xboxlive.com
54.82.200.32,dora.robinhood.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
99.83.135.170,capi.grammarly.com
172.217.10.138,safebrowsing.googleapis.com
18.205.47.109,prd-collector-anon.playbuzz.com
52.179.129.229,arc.msn.com
165.254.49.140,steamcdn-a.akamaihd.net
165.254.49.140,steamcdn-a.akamaihd.net
165.254.49.140,steamcdn-a.akamaihd.net
172.217.12.142,tools.google.com
172.217.10.234,home-devices.googleapis.com
128.116.112.44,users.roblox.com
40.69.223.39,array612.prod.do.dsp.mp.microsoft.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
172.217.12.211,www.flashvid.net
198.134.112.243,padsdown.com
24.105.29.76,telemetry-in.battle.net
35.190.44.0,lsp.hackerrank.com
35.190.44.0,lsp.hackerrank.com
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
23.10.89.244,www.hulu.com
23.78.208.79,discover.hulu.com
20.36.218.208,presence-heartbeat.xboxlive.com
165.254.0.80,assetshuluimcom-a.akamaihd.net
165.254.0.80,assetshuluimcom-a.akamaihd.net
165.254.0.80,assetshuluimcom-a.akamaihd.net
152.199.4.210,tags.tiqcdn.com
152.199.4.210,tags.tiqcdn.com
23.78.208.79,metcon.hulu.com
172.217.12.142,www.google-analytics.com
23.78.208.79,discover.hulu.com
23.78.208.79,discover.hulu.com
52.38.102.171,vortex.hulu.com
104.122.156.79,c.evidon.com
52.22.127.151,play.hulu.com
199.232.37.87,img2.hulu.com
23.78.208.79,ib3.hulu.com
199.232.37.87,img3.hulu.com
151.101.201.87,img.hulu.com
199.232.37.87,img4.hulu.com
96.6.22.87,ib2.hulu.com
23.78.208.79,discover.hulu.com
23.78.208.79,discover.hulu.com
23.78.208.79,player.hulu.com
34.231.28.41,l.betrad.com
23.78.208.79,discover.hulu.com
52.114.74.44,v10.events.data.microsoft.com
23.32.171.179,tag.researchnow.com
172.217.6.198,ad.doubleclick.net
23.78.208.79,t2.hulu.com
23.78.208.79,t2.hulu.com
204.154.111.143,tps30.doubleverify.com
52.3.57.222,dts.innovid.com
204.79.197.200,bat.bing.com
69.147.92.11,s.yimg.com
151.101.0.175,cdn.krxd.net
13.225.222.200,js.adsrvr.org
13.225.230.21,sc-static.net
52.5.151.210,collect.tealiumiq.com
