13.107.18.11,substrate.office.com
47.246.24.230,s1.hdslb.com
172.217.6.238,dl.google.com
13.225.230.28,api-cache.blizzcon.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
137.221.106.104,nydus.battle.net
137.221.106.104,nydus.battle.net
137.221.106.104,nydus.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
128.116.112.44,users.roblox.com
148.153.64.18,api.bilibili.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
165.254.0.98,blzprofile.akamaized.net
137.221.106.14,us.api.blizzard.com
137.221.106.102,us.battle.net
35.186.224.47,dealer.spotify.com
148.153.64.18,message.bilibili.com
137.221.106.104,nydus.battle.net
34.234.99.244,dora.robinhood.com
137.221.106.102,us.battle.net
66.110.98.49,bnetus-a.akamaihd.net
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
172.217.12.142,www.google-analytics.com
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
40.114.6.208,conv-blizzard-na.cd.serving-sys.com
137.221.106.111,cache-cms-ext-us.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
63.241.108.103,bs.serving-sys.com
66.110.98.65,bnetcmsus-a.akamaihd.net
66.110.98.49,bnetus-a.akamaihd.net
172.217.197.154,stats.g.doubleclick.net
172.217.9.228,www.google.com
172.217.197.154,stats.g.doubleclick.net
52.179.129.229,arc.msn.com
75.2.53.94,capi.grammarly.com
134.170.179.84,client-strings.xboxlive.com
198.134.112.243,padsdown.com
23.111.9.57,twemoji.maxcdn.com
137.221.106.102,us.battle.net
31.13.65.36,www.facebook.com
5.62.44.23,ipm-provider.ff.avast.com
13.225.218.29,d21j7etzkdo9k9.cloudfront.net
148.153.38.118,api.bilibili.com
75.2.53.94,capi.grammarly.com
35.169.143.198,msmetrics.ws.sonos.com
128.116.112.44,users.roblox.com
13.225.230.122,cap-engagement-events-production01.cengage.info
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
23.78.197.20,static.mindtap.cengage.com
20.36.218.208,presence-heartbeat.xboxlive.com
20.36.219.28,activity.windows.com
