162.159.134.232,media.discordapp.net
47.246.24.225,s1.hdslb.com
137.74.93.113,data30.adlooxtracking.com
23.78.197.20,static.mindtap.cengage.com
3.93.29.170,ng.cengage.com
3.93.29.170,ng.cengage.com
37.59.21.193,j.adlooxtracking.com
67.72.99.137,dclk-match.dotomi.com
52.109.124.18,nexusrules.officeapps.live.com
52.89.183.187,ekg.riotgames.com
52.179.129.229,arc.msn.com
104.16.1.92,na.ledge.leagueoflegends.com
52.4.249.206,www.netflix.com
52.114.88.29,v10.events.data.microsoft.com
165.254.0.107,play.itunes.apple.com
31.13.71.3,edge-mqtt.facebook.com
104.27.178.218,freevpn.zone
17.120.254.12,p28-buy.itunes.apple.com
17.253.97.207,aod.itunes.apple.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
23.78.208.56,is5-ssl.mzstatic.com
52.34.208.16,ekg.riotgames.com
104.16.35.99,playerpreferences.riotgames.com
104.16.122.97,www.webassign.net
104.16.122.97,www.webassign.net
13.225.230.63,ipm-release.cengage.com
128.116.112.44,users.roblox.com
136.37.165.69,sponsor.ajay.app
52.89.183.187,ekg.riotgames.com
54.243.120.80,tracking.overwolf.com
54.243.120.80,tracking.overwolf.com
54.225.147.125,tracking.overwolf.com
54.225.147.125,tracking.overwolf.com
34.73.232.153,www.overleaf.com
18.205.47.109,prd-collector-anon.playbuzz.com
148.153.64.18,api.vc.bilibili.com
34.196.69.246,datarouter.ol.epicgames.com
151.139.128.10,kit-free.fontawesome.com
104.16.86.20,cdn.jsdelivr.net
162.125.19.9,telemetry.dropbox.com
151.101.0.93,www.houzz.com
180.149.135.236,rm.api.weibo.com
180.149.153.11,rm.api.weibo.com
24.105.29.76,telemetry-in.battle.net
52.25.233.180,ekg.riotgames.com
35.186.224.53,spclient.wg.spotify.com
165.254.0.201,resources.tidal.com
104.24.127.164,api.61f44bdd740fab5cc43317bfabc1e548f718126c.com
165.254.0.201,resources.tidal.com
165.254.0.201,resources.tidal.com
3.12.180.40,capi.connatix.com
31.13.71.3,edge-mqtt.facebook.com
31.13.65.52,i.instagram.com
31.13.65.1,graph.facebook.com
31.13.65.1,graph.facebook.com
31.13.65.1,graph.facebook.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,graph.instagram.com
31.13.65.52,graph.instagram.com
