23.111.9.57,twemoji.maxcdn.com
52.113.194.132,config.teams.microsoft.com
170.106.4.110,webim.tim.qq.com
40.79.66.209,array506.prod.do.dsp.mp.microsoft.com
94.242.62.229,www15.gogoanime.io
94.242.62.229,www15.gogoanime.io
52.114.7.37,v10.events.data.microsoft.com
52.109.12.21,nexus.officeapps.live.com
35.161.179.71,ekg.riotgames.com
52.109.120.17,nexusrules.officeapps.live.com
172.217.11.42,wirelessdevicestats.googleapis.com
172.217.11.42,wirelessdevicestats.googleapis.com
172.217.197.92,pay.google.com
172.217.10.99,beacons.gvt2.com
172.217.10.42,android.googleapis.com
172.217.10.42,android.googleapis.com
172.217.7.10,android.googleapis.com
68.67.160.132,ib.adnxs.com
52.158.238.42,arc.msn.com
178.63.122.40,d3cv4a9a9wh0bt.cloudfront.net
52.114.158.92,v20.events.data.microsoft.com
13.225.220.46,l9bjkkhaycw6f8f4.soundcloud.com
104.110.152.35,www.robotevents.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
3.221.245.228,public-ubiservices.ubi.com
31.13.65.1,www.messenger.com
172.217.6.238,android.clients.google.com
172.217.7.10,playatoms-pa.googleapis.com
3.223.250.182,rtm.tnt-ea.com
173.194.207.189,12.client-channel.google.com
201.159.221.67,mirror.cedia.org.ec
170.106.4.110,webim.tim.qq.com
54.164.254.216,www.netflix.com
34.225.93.73,river.data.ea.com
172.217.10.42,android.googleapis.com
178.63.122.40,mtalk.google.com
52.158.238.42,arc.msn.com
148.153.38.118,message.bilibili.com
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
173.194.175.108,imap.gmail.com
52.114.158.91,v10.events.data.microsoft.com
13.225.230.89,na.op.gg
52.9.24.249,analytics.developer.riotgames.com
17.248.135.240,gateway.icloud.com
172.217.10.42,android.googleapis.com
17.248.187.199,gateway-carry.icloud.com
172.217.6.238,android.clients.google.com
172.217.12.194,googleads.g.doubleclick.net
172.217.12.194,googleads.g.doubleclick.net
172.217.6.202,www.googleapis.com
17.248.135.206,gateway.icloud.com
172.217.6.202,www.googleapis.com
52.114.158.91,v10.events.data.microsoft.com
40.91.75.5,fe2.update.microsoft.com
107.21.152.244,ss-prod-ue1-notif-43.aws.adobess.com
23.43.56.203,steamcdn-a.akamaihd.net
23.43.56.203,steamcdn-a.akamaihd.net
23.43.56.203,steamcdn-a.akamaihd.net
172.217.6.234,footprints-pa.googleapis.com
46.4.159.32,api-new.gocashback.com
46.4.159.32,api-new.gocashback.com
69.192.108.239,api1.origin.com
13.225.222.200,js.adsrvr.org
13.225.230.33,static.vrv.co
13.225.230.38,vrv.co
35.186.224.47,dealer.spotify.com
40.90.22.190,login.live.com
162.159.130.233,discordapp.com
111.221.29.40,fe3.delivery.mp.microsoft.com
69.192.108.239,api1.origin.com
170.106.4.110,webim.tim.qq.com
13.225.226.153,eg1003.slack.com
52.114.75.79,v10.events.data.microsoft.com
54.208.117.229,slackb.com
172.217.10.238,docs.google.com
52.114.75.79,v10.events.data.microsoft.com
23.43.56.202,steamcdn-a.akamaihd.net
172.217.7.10,safebrowsing.googleapis.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
24.105.29.76,telemetry-in.battle.net
52.109.88.34,nexusrules.officeapps.live.com
3.221.116.27,public-ubiservices.ubi.com
96.6.24.89,xp.apple.com
165.254.0.107,play.itunes.apple.com
47.246.15.233,s2.hdslb.com
47.246.15.234,s1.hdslb.com
13.225.226.153,slack.com
172.253.63.109,imap.gmail.com
172.253.122.109,imap.gmail.com
52.114.128.9,mobile.pipe.aria.microsoft.com
18.213.11.209,datarouter.ol.epicgames.com
172.217.10.83,cloud.bluestacks.com
20.36.219.28,activity.windows.com
40.69.216.73,array611.prod.do.dsp.mp.microsoft.com
172.253.122.188,mtalk.google.com
148.153.38.118,api.vc.bilibili.com
52.158.238.42,arc.msn.com
170.106.4.110,webim.tim.qq.com
172.217.6.227,update.googleapis.com
99.84.126.73,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
204.79.197.200,www.bing.com
17.248.135.206,gateway.icloud.com
34.102.176.152,static.wixstatic.com
96.6.22.62,configuration.apple.com
17.248.135.118,metrics.icloud.com
46.4.159.32,mail.google.com
17.248.135.206,gateway.icloud.com
94.242.62.229,www15.gogoanime.io
94.242.62.229,www15.gogoanime.io
3.12.45.13,capi.connatix.com
104.16.248.48,dota2lounge.com
68.67.160.132,ib.adnxs.com
49.51.80.85,webim.tim.qq.com
46.4.159.32,gateway.discord.gg
107.21.152.244,ss-prod-ue1-notif-43.aws.adobess.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
172.217.12.174,news.google.com
50.16.134.22,core.connatix.com
35.164.116.34,ekg.riotgames.com
68.67.160.132,ib.adnxs.com
13.225.230.45,na.op.gg
3.217.148.127,slckg-nugvu.ads.tremorhub.com
52.114.128.9,browser.pipe.aria.microsoft.com
