104.28.0.219,www.mamarutv.site
96.7.65.33,wcs.naver.net
69.192.108.239,api1.origin.com
103.126.92.133,interface.music.163.com
59.111.0.200,mumu.nie.netease.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
65.55.44.109,vortex.data.microsoft.com
52.70.223.47,dauth-lp1.ndas.srv.nintendo.net
52.70.223.47,dauth-lp1.ndas.srv.nintendo.net
52.204.48.114,receive-lp1.er.srv.nintendo.net
52.114.128.9,mobile.pipe.aria.microsoft.com
52.70.223.47,dauth-lp1.ndas.srv.nintendo.net
52.70.223.47,dauth-lp1.ndas.srv.nintendo.net
52.70.148.120,accounts.nintendo.com
54.174.187.198,api.accounts.nintendo.com
203.205.255.191,btrace.qq.com
13.225.230.45,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
172.217.12.202,remotedesktop-pa.googleapis.com
172.217.12.202,remotedesktop-pa.googleapis.com
103.126.92.133,interface.music.163.com
52.179.129.229,arc.msn.com
46.4.194.70,chat-pa.clients6.google.com
178.132.5.80,phantom.hlssrv.com
13.107.18.11,substrate.office.com
34.210.217.170,www.netflix.com
172.253.122.109,imap.gmail.com
74.125.192.109,imap.gmail.com
52.114.7.38,v10.events.data.microsoft.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
52.114.75.79,browser.pipe.aria.microsoft.com
52.114.132.73,mobile.pipe.aria.microsoft.com
52.25.243.49,www.netflix.com
35.186.224.53,spclient.wg.spotify.com
104.16.248.48,dota2lounge.com
35.186.220.184,collector-pxzyvfoxac.px-cloud.net
35.186.224.47,dealer.spotify.com
103.126.92.133,interface.music.163.com
162.159.130.232,media.discordapp.net
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
107.21.152.244,ss-prod-ue1-notif-43.aws.adobess.com
148.153.38.118,message.bilibili.com
23.78.197.20,static.mindtap.cengage.com
34.198.112.198,ng.cengage.com
34.198.112.198,ng.cengage.com
52.213.95.108,duckduckgo.com
23.78.209.78,secure.download.dm.origin.com
23.78.209.78,secure.download.dm.origin.com
23.78.209.78,api1.origin.com
23.78.209.78,api1.origin.com
13.225.222.200,js.adsrvr.org
13.225.230.33,static.vrv.co
23.78.209.78,secure.download.dm.origin.com
52.1.90.14,datarouter.ol.epicgames.com
23.43.168.33,radio-activity.itunes.apple.com
165.254.0.80,play.itunes.apple.com
17.253.15.205,aod.itunes.apple.com
34.208.14.211,www.netflix.com
52.23.119.196,rtm.tnt-ea.com
211.234.127.21,logs.81plug.com
35.169.227.24,river.data.ea.com
17.253.97.207,aod.itunes.apple.com
211.234.127.21,logs.81plug.com
