52.203.24.160,datarouter.ol.epicgames.com
54.239.21.139,feed.browserapps.amazon.com
52.5.59.12,fls-na.amazon.com
148.153.64.18,message.bilibili.com
34.232.159.154,core.connatix.com
157.185.163.114,p3.music.126.net
103.126.92.133,interface.music.163.com
103.126.92.133,interface.music.163.com
34.198.112.198,ng.cengage.com
34.198.112.198,ng.cengage.com
23.78.197.20,static.mindtap.cengage.com
46.4.201.40,swymprem.azureedge.net
13.107.21.200,www.bing.com
13.107.21.200,www.bing.com
165.254.0.162,resources.tidal.com
23.43.57.80,resources.tidal.com
23.43.57.80,resources.tidal.com
23.78.209.78,api1.origin.com
54.86.253.214,slckg-nugvu.ads.tremorhub.com
13.225.230.101,static.vrv.co
13.225.222.200,js.adsrvr.org
13.225.230.78,vrv.co
52.114.132.74,v20.events.data.microsoft.com
192.35.249.124,search.spotxchange.com
46.4.201.40,static.klaviyo.com
178.132.5.80,phantom.hlssrv.com
149.56.21.44,ads.stickyadstv.com
204.79.197.254,a-ring.msedge.net
204.79.197.222,fp.msedge.net
13.107.3.254,s-ring.msedge.net
13.107.255.14,peer2-ash.msedge.net
8.36.80.215,events.gfe.nvidia.com
34.209.106.197,www.netflix.com
8.36.80.215,events.gfe.nvidia.com
162.159.130.233,discordapp.com
35.244.186.129,connatix-d.openx.net
172.217.7.10,firebasestorage.googleapis.com
146.20.132.163,ssp.lkqd.net
13.107.3.128,config.edge.skype.com
178.132.5.80,phantom.hlssrv.com
52.179.129.229,arc.msn.com
148.153.38.118,www.bilibili.com
148.153.38.118,www.bilibili.com
47.246.46.227,i0.hdslb.com
47.246.46.225,s1.hdslb.com
178.132.5.80,phantom.hlssrv.com
54.236.189.128,ss-prod-ue1-notif-43.aws.adobess.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
96.6.24.134,settings-ssl.xboxlive.com
23.78.177.232,livetileedge.dsx.mp.microsoft.com
13.107.3.128,config.edge.skype.com
40.116.120.16,officehomeblobs.blob.core.windows.net
104.28.1.219,www.mamarutv.site
23.78.209.142,wcs.naver.net
23.78.209.78,api1.origin.com
137.135.96.104,wdcp.microsoft.com
151.101.202.248,i.scdn.co
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
149.56.21.44,ads.stickyadstv.com
178.132.5.80,phantom.hlssrv.com
148.153.38.118,api.vc.bilibili.com
178.132.5.80,phantom.hlssrv.com
52.20.26.0,slckg-4znyf.ads.tremorhub.com
40.69.216.73,array611.prod.do.dsp.mp.microsoft.com
52.114.128.9,mobile.pipe.aria.microsoft.com
13.68.225.90,smartscreen-prod.microsoft.com
13.68.225.90,smartscreen-prod.microsoft.com
54.225.216.210,e.crashlytics.com
13.107.3.128,config.edge.skype.com
52.109.76.30,nexusrules.officeapps.live.com
52.109.76.30,nexusrules.officeapps.live.com
172.217.9.229,mail.google.com
34.196.85.243,category.blocksite.co
40.90.22.189,login.live.com
