216.165.46.10,newclasses.nyu.edu
104.20.83.98,warthunder.com
104.20.83.98,warthunder.com
92.223.96.96,static.warthunder.com
92.223.96.96,static.warthunder.com
92.223.96.96,static.warthunder.com
92.223.96.96,static.warthunder.com
87.250.251.119,mc.yandex.ru
54.76.181.22,login.gaijin.net
92.223.96.96,static.warthunder.com
178.154.131.215,yastatic.net
95.213.253.86,coub.com
165.254.0.89,coubsecure-s.akamaihd.net
165.254.0.96,coubsecureassets-a.akamaihd.net
165.254.0.96,coubsecureassets-a.akamaihd.net
13.225.218.121,cdn.amplitude.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
104.20.83.98,warthunder.com
52.40.41.110,api.amplitude.com
204.79.197.200,bat.bing.com
104.28.29.193,tracker.openwebtorrent.com
62.138.6.193,citydsp.com
144.76.219.93,statad.ru
165.254.0.201,resources.tidal.com
13.225.230.33,desktop.tidal.com
167.114.172.69,capture.trackjs.com
54.236.189.128,ss-prod-ue1-notif-43.aws.adobess.com
148.153.38.118,www.bilibili.com
148.153.38.118,www.bilibili.com
47.246.15.236,s2.hdslb.com
47.246.15.235,s1.hdslb.com
40.79.65.235,array502.prod.do.dsp.mp.microsoft.com
13.225.230.8,et.tidal.com
31.13.65.1,graph.facebook.com
54.76.181.22,login.gaijin.net
184.50.220.126,www.robotevents.com
20.36.218.63,settings-win.data.microsoft.com
96.46.15.101,mail.google.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
104.18.22.175,csgolounge.com
54.165.157.123,www.netflix.com
23.246.7.193,ipv4-c365-nyc001-ix.1.oca.nflxvideo.net
40.91.72.120,presence-heartbeat.xboxlive.com
52.36.204.39,cas.samsungcloud.com
13.225.230.122,static-store.gaijin.net
52.208.183.82,store.gaijin.net
52.208.183.82,store.gaijin.net
35.164.116.34,ekg.riotgames.com
185.93.1.6,online-gaijin-net-178028.c.cdn77.org
185.93.1.6,online-gaijin-net-178028.c.cdn77.org
185.93.1.6,online-gaijin-net-178028.c.cdn77.org
185.93.1.6,online-gaijin-net-178028.c.cdn77.org
172.217.12.170,remotedesktop-pa.googleapis.com
172.217.12.170,remotedesktop-pa.googleapis.com
159.89.252.188,data.vexvia.dwabtech.com
159.89.252.188,data.vexvia.dwabtech.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
35.186.224.53,spclient.wg.spotify.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
104.17.187.107,zwyr157wwiu6eior.com
31.13.65.51,graph.oculus.com
52.179.129.229,arc.msn.com
20.36.218.63,settings-win.data.microsoft.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
17.248.135.136,api.apple-cloudkit.com
104.31.75.156,twitchemotes.com
54.88.114.225,www.netflix.com
52.114.128.9,mobile.pipe.aria.microsoft.com
104.17.167.30,downloads.nordcdn.com
88.99.186.158,easylist-downloads.adblockplus.org
104.28.1.219,www.mamarutv.site
96.7.65.33,wcs.naver.net
185.106.206.42,forum.warthunder.com
185.106.206.42,forum.warthunder.com
13.107.18.11,substrate.office.com
13.107.18.11,substrate.office.com
185.106.206.42,forum.warthunder.com
185.106.206.42,forum.warthunder.com
185.106.206.42,forum.warthunder.com
185.106.206.42,forum.warthunder.com
35.186.224.47,dealer.spotify.com
185.106.206.42,forum.warthunder.com
185.106.206.42,forum.warthunder.com
185.106.206.42,forum.warthunder.com
185.106.206.42,forum.warthunder.com
185.106.206.42,forum.warthunder.com
185.106.206.42,forum.warthunder.com
13.73.26.107,mobile.pipe.aria.microsoft.com
172.217.10.10,gem-pa.googleapis.com
185.106.206.41,forum.warthunder.ru
104.20.228.52,static.warthunder.ru
185.106.206.41,forum.warthunder.ru
185.106.206.41,forum.warthunder.ru
185.106.206.41,forum.warthunder.ru
185.106.206.41,forum.warthunder.ru
185.106.206.41,forum.warthunder.ru
31.13.65.52,graph.instagram.com
40.90.22.191,login.live.com
165.254.0.107,play.itunes.apple.com
96.46.15.101,mtalk.google.com
20.36.218.63,settings-win.data.microsoft.com
96.46.15.101,0.client-channel.google.com
165.254.49.140,steamcdn-a.akamaihd.net
165.254.49.140,steamcdn-a.akamaihd.net
165.254.49.140,steamcdn-a.akamaihd.net
162.159.135.233,discordapp.com
162.159.135.233,discordapp.com
54.236.189.128,ss-prod-ue1-notif-43.aws.adobess.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
192.30.253.124,live.github.com
13.225.230.28,api-cache.blizzcon.com
