159.153.190.222,proxy.novafusion.ea.com
96.7.65.33,wcs.naver.net
104.28.1.219,www.mamarutv.site
52.179.129.229,arc.msn.com
172.217.10.106,play.googleapis.com
172.217.12.173,accounts.google.com
96.46.15.101,api-new.gocashback.com
52.114.128.9,mobile.pipe.aria.microsoft.com
52.4.249.206,www.netflix.com
52.71.147.118,www.netflix.com
35.186.224.47,dealer.spotify.com
172.217.10.10,gem-pa.googleapis.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
40.70.184.83,ieonlinews.microsoft.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
34.197.40.238,river.data.ea.com
52.114.32.8,v10.events.data.microsoft.com
5.135.104.109,notifier.rarlab.com
212.124.124.49,n214adserv.com
5.135.104.109,notifier.rarlab.com
172.217.12.142,www.google-analytics.com
172.217.10.72,www.googletagmanager.com
185.59.223.26,cdn.n214adserv.com
13.225.230.83,certify-js.alexametrics.com
13.225.230.36,certify.alexametrics.com
23.78.197.20,static.mindtap.cengage.com
204.79.197.200,www.bing.com
39.106.232.147,ldc.lenovo.com.cn
107.21.152.244,ss-prod-ue1-notif-43.aws.adobess.com
34.202.79.177,push.prod.netflix.com
65.52.198.70,checkappexec.microsoft.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
13.107.246.10,fp-afd.azureedge.net
13.107.4.254,c-ring.msedge.net
72.21.81.200,fp-vs.azureedge.net
204.79.197.222,fp.msedge.net
172.217.3.99,www.gstatic.com
172.217.3.99,www.gstatic.com
172.217.9.229,www.gmail.com
172.217.11.35,clientservices.googleapis.com
172.217.9.228,www.google.com
172.217.12.173,accounts.google.com
172.217.9.228,www.google.com
172.217.9.229,mail.google.com
172.217.11.14,apis.google.com
172.217.10.131,ssl.gstatic.com
172.217.10.238,play.google.com
172.217.10.234,safebrowsing.googleapis.com
209.85.144.189,24.client-channel.google.com
104.84.148.238,sb.scorecardresearch.com
148.153.38.118,api.vc.bilibili.com
13.225.228.128,launchermeta.mojang.com
13.225.220.68,authserver.mojang.com
13.225.228.128,launchermeta.mojang.com
13.107.246.10,launchercontent.mojang.com
40.85.224.10,27598ea3b2438d0fa24c6650dc70abb3.clo.footprintdns.com
13.107.136.254,spo-ring.msedge.net
172.217.9.229,mail.google.com
40.121.3.131,wdcp.microsoft.com
40.121.3.131,wdcp.microsoft.com
216.165.46.10,newclasses.nyu.edu
104.25.57.99,cdn.betterttv.net
148.153.64.18,www.bilibili.com
148.153.64.18,www.bilibili.com
47.246.15.232,s1.hdslb.com
47.246.15.236,i0.hdslb.com
47.246.15.234,s2.hdslb.com
172.217.9.229,mail.google.com
52.179.129.229,arc.msn.com
52.206.30.127,www.netflix.com
17.248.135.240,gateway.icloud.com
3.225.96.24,pc.realms.minecraft.net
184.50.220.126,www.robotevents.com
59.111.181.35,clientlog.music.163.com
148.153.38.118,message.bilibili.com
17.248.135.211,gateway.icloud.com
17.248.135.211,gateway.icloud.com
59.111.239.61,httpdns.n.netease.com
103.126.92.132,interface.music.163.com
172.217.10.67,beacons.gvt2.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
