13.107.5.88,evoke-windowsservices-tas.msedge.net
211.110.62.164,dimg.donga.com
101.79.241.142,image.donga.com
101.79.241.142,image.donga.com
101.79.241.142,image.donga.com
101.79.241.142,image.donga.com
101.79.241.142,image.donga.com
101.79.241.142,image.donga.com
35.241.26.53,config.uca.cloud.unity3d.com
3.19.216.74,capi.connatix.com
104.84.148.238,sb.scorecardresearch.com
162.159.135.233,discordapp.com
151.101.66.2,trc.taboola.com
74.121.138.36,sync.mathtag.com
34.198.90.39,sync.crwdcntrl.net
35.190.72.21,idsync.rlcdn.com
23.10.89.229,tags.bluekai.com
3.219.164.207,i.liadm.com
35.207.24.140,rtb.mfadsrvr.com
198.148.27.140,bh.contextweb.com
63.251.88.56,aa.agkn.com
3.214.153.177,match.adsrvr.org
141.226.224.32,cds.taboola.com
192.132.33.46,bttrack.com
147.75.39.192,loadm.exelator.com
52.41.123.207,www.storygize.net
35.211.114.141,x.bidswitch.net
63.251.88.56,aa.agkn.com
141.226.224.32,cds.taboola.com
13.225.230.60,segments.company-target.com
35.211.20.91,prod.perf-serving.com
151.101.2.49,match.taboola.com
35.211.113.50,u.ipw.metadsp.co.uk
52.41.123.207,www.storygize.net
3.221.116.27,public-ubiservices.ubi.com
35.241.52.229,cdp.cloud.unity3d.com
40.69.221.239,array608.prod.do.dsp.mp.microsoft.com
52.34.208.16,ekg.riotgames.com
52.114.128.9,mobile.pipe.aria.microsoft.com
34.230.114.151,rtm.tnt-ea.com
52.179.129.229,arc.msn.com
101.79.241.142,image.donga.com
211.110.62.164,dimg.donga.com
104.245.182.23,sub.robotevents.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
34.194.135.173,ss-prod-ue1-notif-43.aws.adobess.com
165.254.0.82,ds-aksb-a.akamaihd.net
104.20.115.14,prod.escapefromtarkov.com
172.217.10.106,wirelessdevicestats.googleapis.com
172.217.10.106,wirelessdevicestats.googleapis.com
20.36.218.63,settings-win.data.microsoft.com
183.111.26.25,searchad-phinf.pstatic.net
104.20.115.14,prod-01.escapefromtarkov.com
104.16.31.91,na.ledge.leagueoflegends.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
34.230.208.35,www.netflix.com
52.109.76.34,nexus.officeapps.live.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
59.110.148.212,privilege.lenovo.com.cn
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
20.36.218.63,settings-win.data.microsoft.com
31.13.65.1,www.messenger.com
104.20.115.14,prod-01.escapefromtarkov.com
34.233.241.235,rtm.tnt-ea.com
52.223.246.151,video-edge-c2a3dc.atl01.abs.hls.ttvnw.net
23.221.200.111,www.paypal.com
101.79.241.142,image.donga.com
211.110.62.164,dimg.donga.com
130.211.16.53,d.joinhoney.com
23.221.200.111,www.paypal.com
130.211.26.229,s.joinhoney.com
172.217.197.108,imap.gmail.com
209.85.144.108,imap.gmail.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
31.13.65.52,i.instagram.com
31.13.65.52,i.instagram.com
31.13.65.52,i.instagram.com
31.13.65.52,i.instagram.com
31.13.65.52,i.instagram.com
31.13.65.52,i.instagram.com
104.20.115.14,prod-01.escapefromtarkov.com
104.20.115.14,prod-01.escapefromtarkov.com
31.13.65.1,graph.facebook.com
31.13.65.52,graph.instagram.com
35.168.223.51,www.netflix.com
52.114.75.149,v10.events.data.microsoft.com
172.217.12.142,tools.google.com
172.217.10.234,home-devices.googleapis.com
17.248.142.23,gateway-carry.icloud.com
54.243.120.80,tracking.overwolf.com
17.57.144.53,courier.push.apple.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
101.79.241.142,image.donga.com
211.110.62.164,dimg.donga.com
162.159.129.233,discordapp.com
104.20.115.14,prod.escapefromtarkov.com
104.20.115.14,prod.escapefromtarkov.com
104.20.115.14,prod.escapefromtarkov.com
104.20.115.14,prod.escapefromtarkov.com
104.20.114.14,trading.escapefromtarkov.com
146.0.238.102,notifier-03.escapefromtarkov.com
40.79.65.235,array502.prod.do.dsp.mp.microsoft.com
162.159.133.232,media.discordapp.net
162.159.135.233,discordapp.com
96.46.15.101,api-new.gocashback.com
162.159.138.234,us-east617.discord.media
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
216.239.32.21,fullstory.com
40.70.46.148,storefront.personalizer.io
34.225.167.174,robinhood.com
159.89.18.5,rec.autocommerce.io
13.225.230.125,c.sharethis.mgr.consensu.org
159.89.18.5,rec.autocommerce.io
52.179.129.229,arc.msn.com
17.57.144.164,courier.push.apple.com
159.89.18.5,rec.autocommerce.io
47.246.15.237,s1.hdslb.com
47.246.15.237,s2.hdslb.com
