23.192.69.74,steam-chat.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
35.169.45.33,www.netflix.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
52.179.129.229,arc.msn.com
31.13.65.51,graph.oculus.com
52.114.132.23,v10.events.data.microsoft.com
165.254.0.201,resources.tidal.com
165.254.0.162,resources.tidal.com
165.254.0.162,resources.tidal.com
23.78.197.20,static.mindtap.cengage.com
52.70.143.213,ng.cengage.com
52.70.143.213,ng.cengage.com
54.225.147.125,tracking.overwolf.com
172.217.12.202,remotedesktop-pa.googleapis.com
172.217.12.202,remotedesktop-pa.googleapis.com
95.217.133.73,video.watch2gether.com
104.27.132.141,leaderboard-extension.opl.io
52.43.88.120,irc-ws.chat.twitch.tv
52.43.88.120,irc-ws.chat.twitch.tv
52.114.158.91,v10.events.data.microsoft.com
52.86.210.197,www.netflix.com
13.107.42.12,dm2301.settings.live.net
20.44.82.31,licensing.mp.microsoft.com
13.107.42.12,dm2301.storage.live.com
104.17.187.107,zwyr157wwiu6eior.com
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
148.153.64.18,message.bilibili.com
172.253.122.109,imap.gmail.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
40.90.22.189,login.live.com
209.85.144.108,imap.gmail.com
47.246.15.235,s2.hdslb.com
47.246.15.231,s1.hdslb.com
104.214.78.152,telecommand.telemetry.microsoft.com
13.107.136.9,nyu0-my.sharepoint.com
20.44.82.31,licensing.mp.microsoft.com
52.114.132.23,mobile.pipe.aria.microsoft.com
104.102.91.104,storecatalogrevocation.storequality.microsoft.com
173.223.8.90,init.itunes.apple.com
96.6.24.89,xp.apple.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
13.225.230.28,api-cache.blizzcon.com
162.159.128.232,media.discordapp.net
162.159.128.232,images-ext-2.discordapp.net
66.110.98.48,bnetus-a.akamaihd.net
107.21.152.244,ss-prod-ue1-notif-43.aws.adobess.com
40.90.22.184,login.live.com
40.91.72.120,presence-heartbeat.xboxlive.com
20.36.218.63,settings-win.data.microsoft.com
162.159.128.235,us-east2.discord.media
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
20.36.218.208,presence-heartbeat.xboxlive.com
137.221.106.102,us.battle.net
35.186.224.47,dealer.spotify.com
203.205.235.243,btrace.qq.com
52.179.129.229,arc.msn.com
