104.84.148.238,sb.scorecardresearch.com
35.227.237.213,www.feelinsonice.com
52.72.245.247,loca.sc-jpl.com
35.186.197.135,app-analytics.snapchat.com
100.26.12.76,aws.api.snapchat.com
13.225.230.125,cf-st.sc-cdn.net
100.26.12.76,us-east1-aws.api.snapchat.com
38.106.231.204,osfsr.lenovomm.com
13.225.230.125,cf-st.sc-cdn.net
35.168.65.104,pc.realms.minecraft.net
35.168.65.104,pc.realms.minecraft.net
35.168.65.104,pc.realms.minecraft.net
52.5.73.155,pro-accounts.snapchat.com
52.41.26.114,st-lb.sc-jpl.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
13.226.39.169,sessionserver.mojang.com
13.107.18.11,substrate.office.com
35.190.43.134,gcp.api.snapchat.com
52.114.32.6,mobile.pipe.aria.microsoft.com
148.153.38.118,api.vc.bilibili.com
35.186.224.47,dealer.spotify.com
185.151.204.7,app.adjust.com
13.225.230.35,static.vrv.co
172.217.10.46,clients3.google.com
162.159.134.234,gateway.discord.gg
162.159.134.233,discordapp.com
162.159.130.235,best.discord.media
162.159.130.232,media.discordapp.net
162.159.134.233,cdn.discordapp.com
162.159.133.232,images-ext-2.discordapp.net
3.217.207.251,public-ubiservices.ubi.com
20.36.218.63,settings-win.data.microsoft.com
54.80.77.89,www.netflix.com
172.217.10.238,play.google.com
52.179.129.229,arc.msn.com
52.46.132.133,firehose.us-east-1.amazonaws.com
104.20.115.14,prod-01.escapefromtarkov.com
20.36.219.28,activity.windows.com
52.25.170.114,ekg.riotgames.com
23.78.197.20,static.mindtap.cengage.com
34.198.112.198,ng.cengage.com
34.198.112.198,ng.cengage.com
172.217.11.42,wirelessdevicestats.googleapis.com
172.217.11.42,wirelessdevicestats.googleapis.com
104.16.249.48,dota2lounge.com
34.194.135.173,ss-prod-ue1-notif-43.aws.adobess.com
54.165.246.104,www.netflix.com
172.217.6.225,apidata.googleusercontent.com
17.248.187.138,gateway.icloud.com
172.217.7.10,safebrowsing.googleapis.com
172.217.6.193,apidata.googleusercontent.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
149.56.126.49,funnyjunk.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
31.13.65.1,www.messenger.com
198.27.121.189,bigcdnjs4.funnyjunk.com
17.248.187.137,gateway.icloud.com
23.43.168.33,su.itunes.apple.com
209.85.144.108,imap.gmail.com
172.253.63.108,imap.gmail.com
17.248.187.137,gateway.icloud.com
172.253.63.108,imap.gmail.com
17.248.187.137,gateway.icloud.com
17.248.135.210,gateway-carry.icloud.com
52.114.128.9,mobile.pipe.aria.microsoft.com
96.46.15.101,sis.portal.nyu.edu
96.46.15.101,sis.portal.nyu.edu
96.46.15.101,shibboleth.nyu.edu
144.217.180.139,bigcdnjs1.funnyjunk.com
96.46.15.101,www.nyu.edu
17.248.187.137,gateway.icloud.com
