34.234.26.231,category.blocksite.co
184.28.44.224,api.weather.com
52.179.129.229,arc.msn.com
17.167.192.94,gsp85-ssl.ls.apple.com
130.211.26.229,s.joinhoney.com
172.217.3.101,inbox.google.com
172.217.3.101,inbox.google.com
172.217.3.101,inbox.google.com
52.114.128.9,mobile.pipe.aria.microsoft.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
72.251.238.254,ap.lijit.com
68.67.179.121,ib.adnxs.com
72.251.238.254,ap.lijit.com
17.248.135.234,gateway.icloud.com
17.57.144.5,courier.push.apple.com
151.101.2.49,displayf-tm.everesttech.net
151.101.66.49,statsf-tm.everesttech.net
67.226.214.53,rtb-lb-event-iad-1c-tm.everesttech.net
72.21.81.64,playtime.tubemogul.com
72.21.81.64,playtime.tubemogul.com
18.208.45.24,s.acexedge.com
69.192.109.115,secure.insightexpressai.com
185.167.164.42,c1.adform.net
69.147.82.60,ads.yahoo.com
63.251.88.56,aa.agkn.com
34.200.191.8,ad.360yield.com
151.101.250.49,ds.reson8.com
35.227.230.187,gmtdmp.mookie1.com
18.208.45.24,s.acexedge.com
52.4.241.231,match.sharethrough.com
192.184.68.210,pixel.quantserve.com
52.205.84.189,pixel.advertising.com
52.7.102.179,mid.rkdms.com
104.20.130.56,mwzeom.zeotap.com
34.96.70.1,t.mookie1.com
34.102.185.99,cm.t.tailtarget.com
3.211.176.173,thrtle.com
199.187.193.166,rtb-csync.smartadserver.com
52.0.60.0,eb2.3lift.com
3.214.13.22,bpi.rtactivate.com
104.16.14.243,cdn.navdmp.com
147.75.39.192,loadm.exelator.com
52.0.132.68,l.betrad.com
67.72.99.140,tubemogul-sync.dotomi.com
54.174.13.51,dpm.demdex.net
199.38.167.129,p.rfihub.com
52.45.33.138,ups.analytics.yahoo.com
104.110.252.144,cw.addthis.com
13.225.230.33,choices.truste.com
216.46.185.183,global.ib-ibi.com
3.15.57.168,secure-us.imrworldwide.com
52.68.22.25,sync-jp.im-apps.net
13.225.230.56,choices.trustarc.com
52.5.141.0,i.liadm.com
3.232.64.79,ps.eyeota.net
3.224.182.44,sync.tidaltv.com
192.243.232.180,adtag.primetime.adobe.com
69.192.109.125,dsum-sec.casalemedia.com
104.36.115.109,simage2.pubmatic.com
149.56.21.87,ads.stickyadstv.com
70.33.182.202,ib.mookie1.com
75.98.70.37,5d0b6.v.fwmrm.net
3.218.119.13,bcp.crwdcntrl.net
18.219.161.73,s.thebrighttag.com
192.35.249.127,sync.search.spotxchange.com
50.57.31.206,uipglob.semasio.net
69.192.109.115,secure.insightexpressai.com
50.116.194.23,d.turn.com
34.198.90.39,sync.crwdcntrl.net
8.43.72.97,pixel.rubiconproject.com
31.13.65.51,graph.oculus.com
18.208.45.24,s.acexedge.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
47.246.46.225,s1.hdslb.com
172.217.9.229,mail.google.com
17.253.97.207,mesu.apple.com
148.153.38.118,api.bilibili.com
46.137.116.33,a.wunderlist.com
46.137.116.33,a.wunderlist.com
172.217.12.202,home-devices.googleapis.com
46.137.116.33,a.wunderlist.com
46.137.116.33,a.wunderlist.com
46.137.116.33,a.wunderlist.com
45.57.91.1,codex.nflxext.com
52.6.88.49,www.netflix.com
31.13.65.14,video-atl3-1.xx.fbcdn.net
148.153.64.18,message.bilibili.com
20.36.219.28,activity.windows.com
54.243.108.183,e.crashlytics.com
17.167.194.224,gsp64-ssl.ls.apple.com
72.21.81.200,onecs-live.azureedge.net
204.79.197.200,www.bing.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.58,d3i4yxtzktqr9n.cloudfront.net
172.217.3.110,encrypted-tbn3.gstatic.com
172.253.63.109,imap.gmail.com
108.167.152.141,foodsguy.com
108.167.152.141,foodsguy.com
192.0.76.3,stats.wp.com
172.217.11.36,www.google.com
172.217.6.193,apidata.googleusercontent.com
192.0.73.2,secure.gravatar.com
108.167.152.141,foodsguy.com
52.179.129.229,arc.msn.com
13.88.23.8,smartscreen-prod.microsoft.com
13.88.23.8,smartscreen-prod.microsoft.com
172.217.9.246,i.ytimg.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
148.153.38.118,api.bilibili.com
172.217.6.205,accounts.google.com
157.55.212.205,smartscreen-prod.microsoft.com
172.253.63.109,imap.gmail.com
172.217.10.68,www.google.com
96.6.22.62,bag.itunes.apple.com
164.52.34.38,data.bilibili.com
172.217.6.193,lh3.googleusercontent.com
164.52.34.38,data.bilibili.com
164.52.34.38,data.bilibili.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
23.43.168.33,bag.itunes.apple.com
17.248.135.91,gateway.icloud.com
20.36.218.63,settings.data.microsoft.com
17.248.135.142,gateway.icloud.com
17.248.135.43,metrics.icloud.com
13.225.230.129,cdn-bgp.bluestacks.com
23.43.168.33,bag.itunes.apple.com
165.254.0.80,play.itunes.apple.com
17.56.48.13,news-events.apple.com
34.224.179.175,acp-ss-ue1.adobe.io
3.12.221.12,u.gg
13.225.218.65,d2s8wlbatk24s7.cloudfront.net
104.16.85.20,cdn.jsdelivr.net
52.52.238.239,analytics.developer.riotgames.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
104.17.143.21,loadouts.na2.leagueoflegends.com
40.91.75.5,fe2.update.microsoft.com
52.34.152.98,ekg.riotgames.com
52.114.88.28,v10.events.data.microsoft.com
40.90.22.183,login.live.com
65.52.108.90,fe3.delivery.mp.microsoft.com
31.13.65.51,graph.oculus.com
172.217.11.46,app-measurement.com
20.36.218.63,settings-win.data.microsoft.com
40.69.220.46,geo.prod.do.dsp.mp.microsoft.com
13.88.28.53,v10.events.data.microsoft.com
52.114.88.28,v10.events.data.microsoft.com
104.69.60.103,kv501.prod.do.dsp.mp.microsoft.com
104.69.60.103,cp501.prod.do.dsp.mp.microsoft.com
172.253.63.188,mtalk.google.com
52.114.88.28,v10.events.data.microsoft.com
172.217.10.78,android.clients.google.com
172.217.10.78,android.clients.google.com
195.201.59.248,easylist-downloads.adblockplus.org
13.56.173.11,eb.bluestacks.com
172.217.10.83,cloud.bluestacks.com
13.56.173.11,eb.bluestacks.com
13.56.173.11,eb.bluestacks.com
52.114.88.28,v10.events.data.microsoft.com
72.251.238.254,ap.lijit.com
68.67.179.121,ib.adnxs.com
72.251.238.254,ap.lijit.com
148.153.38.118,api.bilibili.com
52.36.169.154,api-new.gocashback.com
18.208.45.24,s.acexedge.com
151.101.1.194,includemodal.global.ssl.fastly.net
52.200.7.105,pixel.adsafeprotected.com
72.251.238.254,vap1ewr1.lijit.com
162.223.54.6,sovrn.apxlv.com
34.231.149.179,pd.sharethis.com
63.251.114.136,ce.lijit.com
162.223.54.6,sovrn.apxlv.com
63.251.88.56,aa.agkn.com
107.178.240.89,fei.pro-market.net
34.225.102.242,track2.securedvisit.com
34.224.219.206,api.intentiq.com
23.20.80.113,e.dlx.addthis.com
130.211.9.179,sync.graph.bluecava.com
34.196.11.16,dx.bigsea.weborama.com
52.6.51.2,tag.cogocast.net
99.83.128.14,pixel.voltn.com
96.6.27.20,pixel.mathtag.com
104.67.8.154,t.sharethis.com
63.251.88.56,aa.agkn.com
208.100.17.190,ic.tynt.com
18.219.161.73,s.thebrighttag.com
100.24.196.187,x.dlx.addthis.com
63.34.97.84,s.cpx.to
63.251.88.56,aa.agkn.com
34.225.102.242,track2.securedvisit.com
13.225.230.82,cdn-v6.pixelgoo.com
13.225.218.124,d1qzytilbtpmrq.cloudfront.net
35.201.111.96,hash.qualia.id
34.198.90.39,sync.crwdcntrl.net
54.175.5.93,match.adsrvr.org
63.251.114.136,ce.lijit.com
52.5.141.0,i.liadm.com
63.251.88.56,aa.agkn.com
107.23.99.139,e.nexac.com
208.100.17.185,de.tynt.com
68.67.179.91,secure.adnxs.com
3.232.64.79,ps.eyeota.net
208.100.17.180,pixel.33across.com
104.193.82.53,eyeota2waycm.netmng.com
34.208.178.19,live.rezync.com
13.225.230.63,cdn.pixelgoo.com
185.59.223.24,load77.exelator.com
52.54.235.45,a.audrte.com
34.232.140.51,tag.crsspxl.com
199.38.167.129,p.rfihub.com
107.178.254.65,pippio.com
209.15.36.33,pixel-sync.sitescout.com
23.43.168.33,init.itunes.apple.com
104.17.188.107,zwyr157wwiu6eior.com
96.6.24.89,xp.apple.com
17.173.66.101,p14-buy.itunes.apple.com
54.235.196.35,e.crashlytics.com
137.221.106.111,cache-cms-ext-us.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
164.52.34.38,data.bilibili.com
192.0.73.2,secure.gravatar.com
162.159.134.233,discordapp.com
17.248.135.203,p42-keyvalueservice.icloud.com
172.217.11.46,app-measurement.com
172.217.11.46,app-measurement.com
40.90.22.186,login.live.com
34.202.3.124,acp-ss-ue1.adobe.io
13.88.28.53,v10.events.data.microsoft.com
172.217.12.163,connectivitycheck.gstatic.com
137.221.106.111,cache-cms-ext-us.battle.net
23.39.44.35,bnetus-a.akamaihd.net
23.39.44.35,bnetus-a.akamaihd.net
108.177.125.157,stats.g.doubleclick.net
17.248.135.116,p42-keyvalueservice.icloud.com
172.217.160.68,www.google.com
13.225.62.119,9zqhb3hba48m0c382uno7k2t74isfi.ext-twitch.tv
130.211.16.53,d.joinhoney.com
23.98.151.170,smartscreen-prod.microsoft.com
130.211.26.229,s.joinhoney.com
172.217.11.19,cloud.bluestacks.com
172.217.11.19,cloud.bluestacks.com
172.217.11.19,cloud.bluestacks.com
13.74.179.117,slscr.update.microsoft.com
172.253.63.188,mtalk.google.com
20.36.218.63,settings-win.data.microsoft.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
40.90.22.186,login.live.com
24.105.29.76,telemetry-in.battle.net
40.117.96.136,manage.devcenter.microsoft.com
172.217.12.163,connectivitycheck.gstatic.com
172.217.11.42,android.googleapis.com
13.225.230.33,static.vrv.co
13.225.230.28,api-cache.blizzcon.com
103.130.100.18,nb.cloudmatrix.com.tw
3.17.209.203,capi.connatix.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
172.217.11.42,android.googleapis.com
172.217.10.78,android.clients.google.com
172.217.10.74,playatoms-pa.googleapis.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
172.217.11.42,android.googleapis.com
52.34.152.98,ekg.riotgames.com
31.13.65.1,graph.facebook.com
31.13.65.1,graph.facebook.com
148.153.38.118,api.vc.bilibili.com
31.13.65.1,graph.facebook.com
52.17.61.134,exceptions.singular.net
20.36.218.63,settings-win.data.microsoft.com
52.179.129.229,arc.msn.com
148.153.38.118,api.bilibili.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
104.110.158.137,ak-live-version.game.playstove.com
17.253.97.201,mesu.apple.com
172.217.11.42,android.googleapis.com
172.217.11.42,android.googleapis.com
172.217.12.130,googleads.g.doubleclick.net
172.217.12.130,googleads.g.doubleclick.net
185.151.204.6,app.adjust.com
52.39.184.153,sdk-api-v1.singular.net
185.151.204.6,app.adjust.com
172.217.7.10,www.googleapis.com
172.217.6.194,googleads.g.doubleclick.net
172.217.7.10,www.googleapis.com
151.101.2.49,www.thekitchn.com
151.101.2.49,www.thekitchn.com
184.50.208.184,cdn.apartmenttherapy.info
172.217.12.130,pagead2.googlesyndication.com
172.217.12.130,securepubads.g.doubleclick.net
192.184.68.242,secure.quantserve.com
104.110.252.252,ct.pinterest.com
151.101.200.84,s.pinimg.com
13.225.230.127,rumcdn.geoedge.be
