31.13.65.49,static.whatsapp.net
148.153.64.18,api.bilibili.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
52.218.246.176,s3-us-west-2.amazonaws.com
172.253.122.188,mtalk.google.com
17.252.226.85,gs-loc.apple.com
34.68.125.225,rpc.znly.co
23.221.201.164,quote.cnbc.com
52.218.201.50,ubp-common-us-prod.s3.amazonaws.com
17.248.187.10,api.apple-cloudkit.com
68.67.179.90,ib.adnxs.com
23.92.190.69,ap.lijit.com
23.92.190.69,ap.lijit.com
52.179.129.229,arc.msn.com
68.67.160.137,nym1-ib.adnxs.com
3.227.62.15,fw.adsafeprotected.com
185.167.164.39,c1.adform.net
18.212.27.161,pixel.moatads.com
34.197.12.75,secure-us.imrworldwide.com
54.147.155.37,mb.moatads.com
23.43.169.146,configuration.ls.apple.com
23.43.168.33,pd.itunes.apple.com
23.43.168.33,init.itunes.apple.com
17.173.66.69,ld-3.itunes.apple.com
23.78.200.111,webql-redesign.cnbcfm.com
35.186.224.47,dealer.spotify.com
23.43.168.33,pd.itunes.apple.com
165.254.0.80,play.itunes.apple.com
52.11.105.241,ekg.riotgames.com
17.173.66.69,ld-3.itunes.apple.com
162.159.136.234,gateway.discord.gg
173.194.68.108,imap.gmail.com
173.194.68.108,imap.gmail.com
165.254.0.99,se2.itunes.apple.com
162.159.128.235,best.discord.media
162.159.129.233,status.discordapp.com
162.159.130.233,discordapp.com
148.153.64.18,www.bilibili.com
148.153.64.18,www.bilibili.com
47.246.46.231,s1.hdslb.com
148.153.64.18,api.bilibili.com
148.153.64.18,message.bilibili.com
45.57.91.1,codex.nflxext.com
162.159.129.233,discordapp.com
162.159.129.233,discordapp.com
162.159.134.232,images-ext-1.discordapp.net
162.159.134.232,images-ext-1.discordapp.net
162.159.134.232,images-ext-1.discordapp.net
162.159.133.232,media.discordapp.net
162.159.133.232,media.discordapp.net
24.105.29.76,telemetry-in.battle.net
69.147.92.12,data.flurry.com
35.188.42.15,sentry.io
31.13.65.1,www.messenger.com
3.226.103.89,api.robinhood.com
31.13.65.1,edge-chat.messenger.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
17.167.194.224,gsp64-ssl.ls.apple.com
39.106.232.147,ldc.lenovo.com.cn
52.20.168.249,www.netflix.com
148.153.64.18,api.vc.bilibili.com
52.114.128.9,mobile.pipe.aria.microsoft.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
39.106.232.147,ldc.lenovo.com.cn
40.69.223.198,array610.prod.do.dsp.mp.microsoft.com
39.106.232.147,ldc.lenovo.com.cn
13.225.218.201,d3i4yxtzktqr9n.cloudfront.net
103.126.92.132,interface.music.163.com
39.106.232.147,ldc.lenovo.com.cn
31.13.65.7,static.xx.fbcdn.net
58.216.16.130,saascdn.lenovo.com.cn
104.110.252.5,gameplay.intel.com
54.209.114.12,datarouter.ol.epicgames.com
192.81.242.130,34acf0414d836d3f8d491c6186153694.my.2k.com
148.153.64.18,api.bilibili.com
58.216.16.130,saascdn.lenovo.com.cn
159.153.190.222,proxy.novafusion.ea.com
151.101.1.194,includemodal.global.ssl.fastly.net
13.225.230.84,static.u.gg
13.225.218.83,d2s8wlbatk24s7.cloudfront.net
3.132.168.252,u.gg
104.16.87.20,cdn.jsdelivr.net
13.225.230.129,js.stripe.com
52.201.200.150,www.netflix.com
172.217.6.232,ssl.google-analytics.com
52.114.132.22,v10.events.data.microsoft.com
52.86.64.86,river.data.ea.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
148.153.64.18,api.bilibili.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
23.92.190.69,ap.lijit.com
68.67.179.90,ib.adnxs.com
23.92.190.69,ap.lijit.com
159.153.190.222,proxy.novafusion.ea.com
5.62.45.28,uib.ff.avast.com
69.192.109.125,as-sec.casalemedia.com
47.246.46.231,s1.hdslb.com
47.246.46.231,s1.hdslb.com
47.246.46.231,s1.hdslb.com
47.246.46.231,s1.hdslb.com
52.179.129.229,arc.msn.com
198.98.22.56,rtb-lb-event-iad-1a-tm.everesttech.net
72.21.81.64,playtime.tubemogul.com
72.21.81.64,playtime.tubemogul.com
75.98.70.37,5d0b6.v.fwmrm.net
52.206.94.13,dpm.demdex.net
54.88.215.225,pixel.advertising.com
156.154.200.36,aa.agkn.com
50.57.31.206,uipglob.semasio.net
3.215.168.236,sync.crwdcntrl.net
52.202.71.214,beacon.krxd.net
8.43.72.98,pixel.rubiconproject.com
52.45.33.138,ups.analytics.yahoo.com
38.134.110.183,ads.stickyadstv.com
54.174.84.64,usermatch.krxd.net
148.153.64.18,api.bilibili.com
68.67.181.207,nym1-ib.adnxs.com
148.153.64.18,api.bilibili.com
148.153.64.18,api.bilibili.com
148.153.64.18,api.bilibili.com
148.153.64.18,api.bilibili.com
104.16.1.92,na.ledge.leagueoflegends.com
54.229.248.56,ws1.dashlane.com
148.153.64.18,api.bilibili.com
148.153.64.18,api.bilibili.com
47.246.46.230,i2.hdslb.com
47.246.46.230,i2.hdslb.com
49.51.74.31,broadcast.chat.bilibili.com
148.153.38.118,cm.bilibili.com
148.153.38.118,cm.bilibili.com
148.153.38.118,cm.bilibili.com
148.153.38.118,cm.bilibili.com
148.153.38.118,cm.bilibili.com
148.153.38.118,cm.bilibili.com
172.217.12.138,firebasestorage.googleapis.com
148.153.38.118,cm.bilibili.com
148.153.38.118,cm.bilibili.com
13.107.3.128,config.edge.skype.com
52.36.169.154,api-new.gocashback.com
148.153.38.118,cm.bilibili.com
148.153.38.118,cm.bilibili.com
148.153.38.118,cm.bilibili.com
148.153.38.118,cm.bilibili.com
40.116.120.16,officehomeblobs.blob.core.windows.net
165.254.0.106,upos-hz-mirrorakam.akamaized.net
222.186.170.158,cloudcfg.yfp2p.net
164.52.33.179,data.bilibili.com
222.186.170.134,api.yfscdn.net
222.186.170.134,api.yfscdn.net
52.86.64.86,river.data.ea.com
20.36.218.208,presence-heartbeat.xboxlive.com
34.196.193.148,receive-lp1.dg.srv.nintendo.net
104.244.42.129,twitter.com
104.244.42.129,twitter.com
104.244.42.129,twitter.com
162.159.135.233,discordapp.com
38.106.231.204,osfsr.lenovomm.com
20.36.218.63,settings-win.data.microsoft.com
52.114.6.46,v10.events.data.microsoft.com
35.186.197.135,app-analytics.snapchat.com
40.90.22.183,login.live.com
35.169.143.198,msmetrics.ws.sonos.com
204.79.197.200,www.bing.com
192.81.242.130,34acf0414d836d3f8d491c6186153694.my.2k.com
69.192.108.223,geo2.adobe.com
13.225.218.200,d1w2poirtb3as9.cloudfront.net
13.225.218.164,duyt4h9nfnj50.cloudfront.net
203.205.219.229,client.show.qq.com
96.17.66.31,fpdownload.macromedia.com
104.244.42.5,t.co
52.179.129.229,arc.msn.com
96.6.22.62,init.itunes.apple.com
96.6.22.62,radio-activity.itunes.apple.com
20.36.218.63,settings-win.data.microsoft.com
52.109.12.18,nexusrules.officeapps.live.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
23.54.184.94,www.rakuten.com
35.186.220.184,collector-pxzyvfoxac.px-cloud.net
162.159.129.235,us-central816.discord.media
34.240.41.135,ws1.dashlane.com
52.18.244.146,ws1.dashlane.com
34.243.109.19,logs.dashlane.com
17.134.127.249,gs-loc.apple.com
3.231.133.20,cc-api-data.adobe.io
35.174.183.161,scss.adobesc.com
52.86.216.67,accounts.adobe.com
17.57.144.164,courier.push.apple.com.
17.248.135.112,gateway.icloud.com.cn
3.217.207.251,public-ubiservices.ubi.com
17.248.135.119,metrics.icloud.com
203.205.255.88,c.y.qq.com
104.110.253.23,gspe1-ssl.ls.apple.com
104.110.253.23,gspe1-ssl.ls.apple.com
