204.79.197.204,analyticspixel.microsoft.com
31.13.71.52,scontent-lga3-1.cdninstagram.com
31.13.71.52,scontent-lga3-1.cdninstagram.com
128.116.112.44,users.roblox.com
35.186.224.53,spclient.wg.spotify.com
52.114.128.9,mobile.pipe.aria.microsoft.com
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
148.153.38.118,api.vc.bilibili.com
31.13.65.174,www.instagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.71.52,scontent-lga3-1.cdninstagram.com
31.13.65.174,www.instagram.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.52,graph.instagram.com
20.36.218.63,settings-win.data.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
152.195.19.97,maps.windows.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
35.186.220.184,collector-pxzyvfoxac.px-cloud.net
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
23.10.83.211,storecatalogrevocation.storequality.microsoft.com
52.34.69.24,api.segment.io
104.214.78.152,telecommand.telemetry.microsoft.com
104.214.78.152,telecommand.telemetry.microsoft.com
96.17.65.225,player.aniview.com
54.208.248.2,track.aniview.com
34.200.39.178,owserv.aniview.com
54.86.162.138,ice.360yield.com
34.197.7.226,ipnvi-v83it.ads.tremorhub.com
18.210.236.177,targeting.unrulymedia.com
3.225.110.25,prebid.technoratimedia.com
74.6.138.75,pr-bh.ybp.yahoo.com
3.93.252.59,match.adsrvr.org
54.197.51.7,pixel.advertising.com
209.204.233.110,a3538.casalemedia.com
3.218.90.66,ups.analytics.yahoo.com
68.67.160.134,nym1-ib.adnxs.com
3.218.90.66,ups.analytics.yahoo.com
3.218.90.66,ups.analytics.yahoo.com
13.225.230.80,ad-cdn.technoratimedia.com
199.127.207.6,sync.1rx.io
172.217.9.229,mail.google.com
52.71.203.228,partners.tremorhub.com
204.13.197.89,rb.adnxs.com
3.20.143.211,rtr.innovid.com
192.35.249.128,js.spotx.tv
18.189.58.129,s.innovid.com
18.189.58.129,s.innovid.com
18.213.45.191,mb.moatads.com
52.201.134.13,ag.innovid.com
52.201.134.13,ag.innovid.com
151.139.128.10,cdn.intergi.com
192.35.249.124,search.spotxchange.com
68.67.153.61,prebid.adnxs.com
192.35.249.127,sync.search.spotxchange.com
192.35.249.112,event.spotxchange.com
192.35.249.112,event.spotxchange.com
192.35.249.112,event.spotxchange.com
52.1.232.25,pxl.iqm.com
170.76.216.244,usersync.videoamp.com
