17.57.144.164,courier.push.apple.com
172.217.11.35,settings.crashlytics.com
192.229.173.16,pbs.twimg.com
192.229.210.163,video.twimg.com
104.244.42.2,api.twitter.com
192.229.210.163,video.twimg.com
192.229.173.16,pbs.twimg.com
54.235.172.239,e.crashlytics.com
52.158.238.42,arc.msn.com
104.18.22.175,csgolounge.com
52.114.128.9,mobile.pipe.aria.microsoft.com
54.243.252.162,e.crashlytics.com
54.191.32.71,api.segment.io
52.158.238.42,arc.msn.com
20.36.218.63,settings-win.data.microsoft.com
13.224.208.13,d3cv4a9a9wh0bt.cloudfront.net
59.111.239.62,httpdns.n.netease.com
103.126.92.132,interface.music.163.com
31.13.65.1,www.messenger.com
148.153.64.18,api.vc.bilibili.com
52.203.213.248,datarouter.ol.epicgames.com
192.81.242.130,34acf0414d836d3f8d491c6186153694.my.2k.com
23.78.209.78,www.origin.com
31.13.65.36,www.facebook.com
159.153.190.222,proxy.novafusion.ea.com
31.13.65.7,static.xx.fbcdn.net
35.169.227.24,river.data.ea.com
52.207.12.211,www.netflix.com
162.159.129.233,discordapp.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
162.159.129.233,discordapp.com
162.159.130.232,dl.discordapp.net
35.186.224.47,dealer.spotify.com
159.153.190.222,proxy.novafusion.ea.com
162.159.137.234,us-east412.discord.media
13.107.3.128,config.edge.skype.com
165.254.49.142,steamcdn-a.akamaihd.net
23.60.68.104,steamstore-a.akamaihd.net
165.254.49.142,steamcdn-a.akamaihd.net
13.225.227.2,c.amazon-adsystem.com
13.225.230.111,na.op.gg
165.254.0.105,opgg-cdn.akamaized.net
52.9.24.249,analytics.developer.riotgames.com
172.217.11.35,settings.crashlytics.com
17.154.67.26,p29-buy.itunes.apple.com
13.225.230.82,cdn-api.scruffapp.com
13.225.230.82,cdn-api.scruffapp.com
13.225.230.82,cdn-api.scruffapp.com
172.217.3.106,firebaseinstallations.googleapis.com
173.223.8.90,bag.itunes.apple.com
13.225.230.82,cdn-api.scruffapp.com
13.225.230.88,cdn-app.scruffapp.com
13.225.230.88,cdn-app.scruffapp.com
13.225.230.88,cdn-app.scruffapp.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
35.169.227.24,river.data.ea.com
20.36.218.208,presence-heartbeat.xboxlive.com
23.5.227.168,smp-device-content.apple.com
23.5.227.168,smp-device-content.apple.com
172.217.11.46,clients1.google.com
52.203.212.125,rtm.tnt-ea.com
38.106.231.204,osfsr.lenovomm.com
162.159.129.233,discordapp.com
152.195.33.69,cdn.cookielaw.org
152.195.33.69,cdn.cookielaw.org
162.159.134.234,gateway.discord.gg
52.158.238.42,arc.msn.com
162.159.130.233,discordapp.com
162.159.133.233,discordapp.com
