184.30.133.34,presence.gog.com
54.148.175.65,R5-ps4-sub.stryder.respawn.com
65.55.44.109,vortex.data.microsoft.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
72.21.81.200,az700632.vo.msecnd.net
72.21.81.200,az700632.vo.msecnd.net
34.68.125.225,rpc.znly.co
17.248.135.145,p25-contacts.icloud.com
52.39.175.236,ps4updptl.us.np.community.playstation.net
13.107.5.88,visualstudio-devdiv-c2s.msedge.net
162.159.133.233,discordapp.com
183.111.25.58,image.donga.com
183.111.25.58,image.donga.com
183.111.25.58,image.donga.com
183.111.25.58,image.donga.com
183.111.25.58,image.donga.com
183.111.25.58,image.donga.com
13.225.230.66,nxl.nxfs.nexon.com
31.13.65.1,graph.facebook.com
54.174.232.127,www.netflix.com
3.221.183.62,datarouter.ol.epicgames.com
172.217.10.138,remotedesktop-pa.googleapis.com
172.217.10.138,remotedesktop-pa.googleapis.com
31.13.71.7,static.xx.fbcdn.net
3.210.59.151,account-public-service-prod03.ol.epicgames.com
211.234.127.21,logs.81plug.com
3.221.245.228,public-ubiservices.ubi.com
23.10.85.13,store.steampowered.com
17.248.135.235,p23-keyvalueservice.icloud.com
23.52.92.88,sb.scorecardresearch.com
183.111.25.58,image.donga.com
211.110.62.148,dimg.donga.com
151.101.66.2,trc.taboola.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
165.254.0.81,steamcommunity-a.akamaihd.net
165.254.0.81,steamcommunity-a.akamaihd.net
52.86.82.146,rtm.tnt-ea.com
165.254.49.140,steamcdn-a.akamaihd.net
165.254.49.140,steamcdn-a.akamaihd.net
165.254.49.140,steamcdn-a.akamaihd.net
72.21.81.200,az667904.vo.msecnd.net
13.225.220.47,api-v2.soundcloud.com
18.189.85.52,capi.connatix.com
52.216.177.21,s3.amazonaws.com
183.111.25.58,image.donga.com
52.200.35.61,api.revenuecat.com
23.21.86.203,e.crashlytics.com
211.110.62.148,dimg.donga.com
35.186.224.47,dealer.spotify.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
216.98.50.146,dmx.upc.ubisoft.com
216.98.50.146,dmx.upc.ubisoft.com
3.221.116.27,public-ubiservices.ubi.com
3.221.116.27,public-ubiservices.ubi.com
20.185.75.141,in.appcenter.ms
3.220.111.143,public-ws-ubiservices.ubi.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
65.55.44.109,vortex.data.microsoft.com
172.217.12.174,google.com
17.248.187.6,gateway.icloud.com
104.18.122.104,america.tas.riotgames.com
3.221.116.27,public-ubiservices.ubi.com
172.217.12.174,calendar.google.com
172.217.12.174,calendar.google.com
172.217.12.174,calendar.google.com
172.217.12.174,calendar.google.com
59.111.0.200,mumu.nie.netease.com
17.248.135.173,gateway.icloud.com
54.186.10.67,ekg.riotgames.com
104.126.112.11,settings-ssl.xboxlive.com
17.248.135.214,gateway-carry.icloud.com
40.121.3.131,wdcp.microsoft.com
65.55.44.109,vortex.data.microsoft.com
65.55.44.109,vortex.data.microsoft.com
183.111.25.58,image.donga.com
211.110.62.148,dimg.donga.com
52.218.232.88,s3-us-west-2.amazonaws.com
65.55.44.109,vortex.data.microsoft.com
172.93.106.42,i.postimg.cc
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
13.107.42.12,bn1303.storage.live.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
40.79.48.16,onedriveclucprodbn20019.blob.core.windows.net
72.21.81.200,az700632.vo.msecnd.net
172.253.63.109,imap.gmail.com
52.218.228.91,ubp-common-us-prod.s3.amazonaws.com
172.217.7.3,update.googleapis.com
35.171.101.168,pr-5c2f1a37a251ff2a6a8c6eab.data.ea.com
203.205.239.171,mp.weixin.qq.com
88.99.186.151,easylist-downloads.adblockplus.org
172.217.10.68,www.google.com
40.90.22.192,login.live.com
104.28.1.221,sih.gainskins.com
40.91.79.216,device.auth.xboxlive.com
23.43.255.98,livetileedge.dsx.mp.microsoft.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
134.170.179.91,title.auth.xboxlive.com
52.109.76.32,nexusrules.officeapps.live.com
52.114.158.91,self.events.data.microsoft.com
148.153.64.18,api.vc.bilibili.com
148.153.64.18,api.vc.bilibili.com
183.111.25.58,image.donga.com
211.110.62.148,dimg.donga.com
31.13.71.1,www.messenger.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
31.13.71.3,edge-mqtt.facebook.com
31.13.71.1,graph.facebook.com
23.60.68.105,steamcdn-a.akamaihd.net
17.248.135.40,p23-caldav.icloud.com
