31.13.71.1,graph.facebook.com
172.217.9.234,play.googleapis.com
52.35.216.157,R5-ps4.stryder.respawn.com
52.35.216.157,R5-ps4.stryder.respawn.com
52.35.216.157,R5-ps4.stryder.respawn.com
65.55.44.109,vortex.data.microsoft.com
103.126.92.133,interface.music.163.com
59.111.239.61,httpdns.n.netease.com
211.110.62.148,dimg.donga.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
52.32.216.74,R5-ps4-sub.stryder.respawn.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
52.32.216.74,R5-ps4-sub.stryder.respawn.com
52.37.97.149,r5-ps4-sub25.stryder.respawn.com
20.36.218.63,settings-win.data.microsoft.com
52.32.216.74,R5-ps4-sub.stryder.respawn.com
183.111.25.58,image.donga.com
52.35.216.157,R5-ps4.stryder.respawn.com
211.152.148.87,mmbiz.qpic.cn
96.6.24.64,us-ivt.np.community.playstation.net
17.167.192.225,gsp64-ssl.ls.apple.com
17.167.194.47,gsp85-ssl.ls.apple.com
54.165.171.83,datarouter.ol.epicgames.com
211.152.148.87,mmbiz.qpic.cn
211.152.148.87,mmbiz.qpic.cn
211.152.148.87,mmbiz.qpic.cn
69.195.166.128,api-21-0-0.twitter.com
40.91.72.120,presence-heartbeat.xboxlive.com
209.237.204.128,api-0-4-8.twitter.com
209.237.194.128,api-3-0-0.twitter.com
69.195.185.128,api-38-0-0.twitter.com
173.223.8.90,init.itunes.apple.com
52.32.216.74,R5-ps4-sub.stryder.respawn.com
35.244.206.129,glbtls.t.co
96.6.24.89,xp.apple.com
52.37.97.149,r5-ps4-sub25.stryder.respawn.com
65.55.44.109,vortex.data.microsoft.com
52.37.97.149,r5-ps4-sub25.stryder.respawn.com
52.37.97.149,r5-ps4-sub25.stryder.respawn.com
96.6.24.64,us-ivt.np.community.playstation.net
52.35.216.157,R5-ps4.stryder.respawn.com
52.35.216.157,R5-ps4.stryder.respawn.com
165.254.0.81,steamcommunity-a.akamaihd.net
96.6.24.64,us-ivt.np.community.playstation.net
96.6.24.64,us-ivt.np.community.playstation.net
159.153.190.222,proxy.novafusion.ea.com
172.217.6.238,clients4.google.com
8.36.80.244,events.gfe.nvidia.com
203.205.239.171,mp.weixin.qq.com
203.205.239.171,mp.weixin.qq.com
203.205.239.171,mp.weixin.qq.com
203.205.239.171,mp.weixin.qq.com
20.36.219.28,activity.windows.com
165.254.0.105,ubisoft-avatars.akamaized.net
3.221.116.27,public-ubiservices.ubi.com
3.221.116.27,public-ubiservices.ubi.com
54.212.192.101,R5-ps4-sub.stryder.respawn.com
34.225.93.73,river.data.ea.com
52.26.30.67,r5-ps4-sub25.stryder.respawn.com
31.13.71.7,static.xx.fbcdn.net
13.68.168.63,spoc.norton.com
54.85.172.124,www.netflix.com
101.79.241.132,image.donga.com
211.110.62.148,dimg.donga.com
17.167.192.225,gsp64-ssl.ls.apple.com
159.153.190.222,proxy.novafusion.ea.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
65.55.44.109,vortex.data.microsoft.com
3.221.116.27,public-ubiservices.ubi.com
