104.244.42.194,api.twitter.com
104.122.79.40,contentstorage.osi.office.net
20.36.218.63,settings-win.data.microsoft.com
65.55.44.109,vortex.data.microsoft.com
65.55.44.109,vortex.data.microsoft.com
54.201.13.152,ekg.riotgames.com
52.32.39.255,R5-ps4-sub.stryder.respawn.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
172.253.63.188,mtalk.google.com
104.16.10.33,store.na2.lol.riotgames.com
172.217.11.36,www.google.com
69.192.108.239,api1.origin.com
172.253.63.188,mtalk.google.com
13.225.230.60,nxl.nxfs.nexon.com
69.192.108.239,api1.origin.com
54.88.211.84,datarouter.ol.epicgames.com
54.201.13.152,ekg.riotgames.com
172.217.9.234,remotedesktop-pa.googleapis.com
172.217.9.234,remotedesktop-pa.googleapis.com
17.171.98.35,iphonesubmissions.apple.com
35.186.224.53,api-partner.spotify.com
17.249.162.38,gsp-ssl.ls.apple.com
104.18.97.33,acs.leagueoflegends.com
17.134.127.250,gs-loc.apple.com
34.202.104.15,account-public-service-prod03.ol.epicgames.com
31.13.65.7,static.xx.fbcdn.net
23.43.168.33,bag.itunes.apple.com
3.217.207.251,public-ubiservices.ubi.com
162.159.135.233,discordapp.com
17.134.127.250,gs-loc.apple.com
157.185.170.144,t1.daumcdn.net
27.0.237.18,developers.kakao.com
211.231.99.250,hyeonstorage.tistory.com
211.231.99.250,hyeonstorage.tistory.com
203.133.166.12,tistory4.daumcdn.net
104.17.65.4,cdnjs.cloudflare.com
23.43.56.192,www.geeksforgeeks.org
40.69.221.239,array608.prod.do.dsp.mp.microsoft.com
172.217.6.202,oauthaccountmanager.googleapis.com
54.201.13.152,ekg.riotgames.com
104.16.35.99,playerpreferences.riotgames.com
172.217.11.36,www.google.com
172.217.10.131,fonts.gstatic.com
172.217.10.131,fonts.gstatic.com
172.217.3.99,www.gstatic.com
172.217.10.131,ssl.gstatic.com
172.217.6.238,clients1.google.com
172.217.10.238,apis.google.com
172.217.10.110,ogs.google.com
172.217.10.66,adservice.google.com
54.239.26.81,ws-na.amazon-adsystem.com
13.225.226.34,images-na.ssl-images-amazon.com
65.55.44.109,vortex.data.microsoft.com
69.192.108.239,api1.origin.com
