34.225.169.10,rtm.tnt-ea.com
3.221.245.228,public-ubiservices.ubi.com
40.67.188.15,userpresence.xboxlive.com
52.52.238.239,analytics.developer.riotgames.com
162.159.134.233,discordapp.com
162.159.130.233,discordapp.com
13.107.42.12,d.docs.live.net
52.250.1.227,aoe-api.reliclink.com
148.153.64.18,api.vc.bilibili.com
23.192.6.54,use.typekit.net
23.192.6.54,p.typekit.net
104.248.60.43,tftactics.gg
52.179.129.229,arc.msn.com
69.192.110.94,px.moatads.com
104.18.22.175,csgolounge.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
13.107.42.12,d.docs.live.net
34.68.125.225,rpc.znly.co
17.134.127.250,gs-loc.apple.com
104.122.146.69,content-system.gog.com
52.109.8.19,nexusrules.officeapps.live.com
104.31.74.156,twitchemotes.com
13.225.230.28,api-cache.blizzcon.com
52.40.103.85,profile.accounts.firefox.com
54.187.92.209,api.accounts.firefox.com
52.38.131.12,sync-632-us-west-2.sync.services.mozilla.com
104.196.190.76,monorail-edge.shopifysvc.com
151.101.64.104,fonts.shopifycdn.com
35.237.184.77,v.shopify.com
24.105.29.76,telemetry-in.battle.net
13.107.42.12,d.docs.live.net
54.158.230.97,catalog-public-service-prod06.ol.epicgames.com
54.158.230.97,catalog-public-service-prod06.ol.epicgames.com
54.158.230.97,catalog-public-service-prod06.ol.epicgames.com
59.111.239.62,httpdns.n.netease.com
103.126.92.132,interface.music.163.com
38.106.23.234,petal.playstone.org
192.229.163.146,cfg.gog.com
104.122.146.69,presence.gog.com
52.54.171.88,dashboard.flappybot.io
52.54.171.88,dashboard.flappybot.io
68.67.160.117,ib.adnxs.com
17.248.216.3,p25-keyvalueservice.icloud.com.cn
203.205.136.169,pub.idqqimg.com
192.184.68.166,pixel.quantserve.com
34.226.70.246,shreyauth.com
52.33.157.25,www.netflix.com
54.148.79.41,video-edge-53c307.pdx01.abs.hls.ttvnw.net
68.67.160.75,nym1-ib.adnxs.com
162.159.133.234,gateway.discord.gg
52.250.1.227,aoe-api.reliclink.com
52.11.105.241,ekg.riotgames.com
35.186.224.47,dealer.spotify.com
52.201.194.33,account-public-service-prod03.ol.epicgames.com
34.226.70.246,shreyauth.com
209.197.3.24,code.jquery.com
209.197.3.15,stackpath.bootstrapcdn.com
209.197.3.15,stackpath.bootstrapcdn.com
104.17.65.4,cdnjs.cloudflare.com
104.17.65.4,cdnjs.cloudflare.com
151.139.128.10,pro.fontawesome.com
52.54.171.88,dashboard.flappybot.io
104.16.123.175,unpkg.com
52.54.171.88,dashboard.flappybot.io
52.54.171.88,dashboard.flappybot.io
172.217.10.40,www.googletagmanager.com
151.101.0.176,js.stripe.com
13.107.42.12,d.docs.live.net
104.19.128.78,www.mobafire.com
31.13.65.7,connect.facebook.net
54.187.159.182,q.stripe.com
13.225.230.4,avatars.io
172.217.11.35,settings.crashlytics.com
52.38.25.206,m.stripe.com
54.243.117.16,e.crashlytics.com
52.71.230.30,datarouter.ol.epicgames.com
104.244.42.1,twitter.com
192.229.173.16,pbs.twimg.com
192.229.210.163,video.twimg.com
104.244.42.194,api.twitter.com
192.229.173.16,pbs.twimg.com
192.229.210.163,video.twimg.com
192.229.173.16,abs.twimg.com
192.229.210.163,video.twimg.com
151.139.128.10,pro.fontawesome.com
192.229.173.16,abs.twimg.com
69.195.182.128,api-23-0-0.twitter.com
52.34.152.98,ekg.riotgames.com
13.107.42.12,d.docs.live.net
104.17.64.4,cdnjs.cloudflare.com
20.36.218.63,settings-win.data.microsoft.com
35.186.224.53,spclient.wg.spotify.com
52.179.129.229,arc.msn.com
172.217.10.142,play.google.com
59.111.239.62,httpdns.n.netease.com
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
104.244.42.129,twitter.com
17.253.15.205,mesu.apple.com
17.33.9.1,guzzoni.apple.com
68.67.160.75,nym1-ib.adnxs.com
172.217.11.19,cloud.bluestacks.com
17.179.252.32,gsas.apple.com
69.195.185.128,api-38-0-0.twitter.com
184.28.206.172,init.itunes.apple.com
96.6.24.89,xp.apple.com
69.195.186.128,api-20-0-0.twitter.com
13.107.42.12,d.docs.live.net
184.28.206.172,radio.itunes.apple.com
52.250.1.227,aoe-api.reliclink.com
17.248.135.73,gateway.icloud.com.cn
34.68.125.225,rpc.znly.co
17.248.135.90,metrics.icloud.com
17.134.127.249,gs-loc.apple.com
54.148.122.222,ekg.riotgames.com
59.111.0.200,mumu.nie.netease.com
104.27.142.37,maranhesduve.club
104.19.249.121,adobviewe.club
165.254.0.104,cdn.rtclx.com
165.254.0.104,cdn.rtclx.com
68.67.160.117,ib.adnxs.com
17.248.187.8,p40-fmfmobile.icloud.com
68.67.160.117,ib.adnxs.com
103.235.46.135,voice.baidu.com
13.225.226.34,images-na.ssl-images-amazon.com
13.225.226.34,m.media-amazon.com
104.110.159.148,www.amazon.com
13.107.42.12,d.docs.live.net
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
34.200.123.226,sync.tidaltv.com
52.250.1.227,aoe-api.reliclink.com
52.250.1.227,aoe-api.reliclink.com
172.217.6.202,remotedesktop-pa.googleapis.com
172.217.6.202,remotedesktop-pa.googleapis.com
52.114.132.20,v10.events.data.microsoft.com
31.13.65.1,www.messenger.com
216.239.34.117,beacons2.gvt2.com
13.107.3.128,config.edge.skype.com
203.205.219.229,client.show.qq.com
23.212.164.90,api.weather.com
13.107.42.12,d.docs.live.net
204.79.197.200,platform.bing.com
13.107.42.12,d.docs.live.net
52.114.132.73,mobile.pipe.aria.microsoft.com
35.166.116.205,r5-pc-sub28.stryder.respawn.com
17.248.216.6,p25-escrowproxy.icloud.com.cn
52.114.88.28,mobile.pipe.aria.microsoft.com
52.250.1.227,aoe-api.reliclink.com
40.67.188.15,presence-heartbeat.xboxlive.com
