17.248.135.243,p56-ckdatabase.icloud.com
52.113.194.132,config.teams.microsoft.com
162.125.4.7,api.dropboxapi.com
162.125.35.135,d.dropbox.com
52.114.6.47,v10.events.data.microsoft.com
162.125.4.3,client.dropbox.com
172.217.6.193,apidata.googleusercontent.com
172.217.11.36,www.google.com
162.125.19.131,bolt.dropbox.com
20.186.114.88,ims-na1.adobelogin.com
162.125.4.3,client.dropbox.com
172.217.6.205,accounts.google.com
13.225.230.33,static.vrv.co
34.237.32.100,scss.adobesc.com
162.125.19.131,bolt.dropbox.com
172.217.6.193,apidata.googleusercontent.com
35.170.254.125,cc-api-data.adobe.io
172.217.11.36,www.google.com
162.159.138.234,best.discord.media
162.159.133.233,status.discordapp.com
13.107.3.128,config.edge.skype.com
35.170.254.125,cc-api-data.adobe.io
34.198.82.20,accounts.adobe.com
40.112.49.67,smartscreen-prod.microsoft.com
35.170.254.125,cc-api-data.adobe.io
52.169.83.3,geo.prod.do.dsp.mp.microsoft.com
13.107.3.128,edge.skype.com
34.233.32.144,notify.adobe.io
52.114.88.29,browser.pipe.aria.microsoft.com
34.237.32.100,scss.adobesc.com
35.170.254.125,cc-api-data.adobe.io
52.23.34.102,na1e-acc.services.adobe.com
52.114.88.29,browser.pipe.aria.microsoft.com
23.54.218.68,kv601.prod.do.dsp.mp.microsoft.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
52.23.34.102,na1e-acc.services.adobe.com
34.199.64.198,acp-ss-ue1.adobe.io
172.253.122.188,mtalk.google.com
34.227.239.196,ss-prod-ue1-notif-1.aws.adobess.com
20.37.137.5,lfghub-anonymous.xboxlive.com
34.199.64.198,acp-ss-ue1.adobe.io
204.79.197.200,www.bing.com
34.227.239.196,ss-prod-ue1-notif-1.aws.adobess.com
52.23.34.102,na1e-acc.services.adobe.com
35.170.254.125,cc-api-data.adobe.io
35.170.254.125,cc-api-data.adobe.io
162.125.19.130,telemetry.dropbox.com
52.114.6.47,v10.events.data.microsoft.com
52.23.34.102,na1e-acc.services.adobe.com
20.36.218.63,settings.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
52.113.194.132,config.teams.microsoft.com
13.225.226.34,images-na.ssl-images-amazon.com
13.225.226.34,m.media-amazon.com
104.110.159.148,www.amazon.com
20.36.218.63,settings-win.data.microsoft.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
68.67.160.24,ib.adnxs.com
24.105.29.76,telemetry-in.battle.net
40.90.22.185,login.live.com
52.41.38.113,ekg.riotgames.com
103.235.46.135,voice.baidu.com
40.126.7.64,login.microsoftonline.com
20.44.82.31,licensing.mp.microsoft.com
162.159.133.233,discordapp.com
52.54.70.243,ss-prod-ue1-notif-27.aws.adobess.com
52.54.70.243,ss-prod-ue1-notif-27.aws.adobess.com
204.154.111.107,tps10228.doubleverify.com
107.23.111.253,t.myvisualiq.net
185.167.164.43,c1.adform.net
63.217.211.90,static.nvidiagrid.net
54.173.145.52,receive-lp1.dg.srv.nintendo.net
23.10.83.211,storecatalogrevocation.storequality.microsoft.com
104.214.78.152,telecommand.telemetry.microsoft.com
104.214.78.152,telecommand.telemetry.microsoft.com
31.13.65.36,www.facebook.com
31.13.65.52,i.instagram.com
31.13.65.52,i.instagram.com
38.106.231.204,osfsr.lenovomm.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
39.96.106.241,hao.lenovo.com.cn
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
182.92.244.228,dsp.lenovo.com.cn
39.96.106.241,hao.lenovo.com.cn
104.16.31.91,na.ledge.leagueoflegends.com
47.95.131.3,nsl.lenovo.com.cn
203.205.248.81,203.205.248.81
148.153.38.118,api.vc.bilibili.com
110.88.157.254,smartdl.lenovo.com.cn
165.254.49.142,steamcdn-a.akamaihd.net
23.43.56.186,steamstore-a.akamaihd.net
165.254.49.142,steamcdn-a.akamaihd.net
182.92.244.228,dsp.lenovo.com.cn
52.25.95.45,ekg.riotgames.com
162.159.133.233,discordapp.com
52.114.32.25,v20.events.data.microsoft.com
182.92.244.228,dsp.lenovo.com.cn
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
52.179.129.229,arc.msn.com
104.16.31.91,na.ledge.leagueoflegends.com
182.92.244.228,dsp.lenovo.com.cn
52.25.95.45,ekg.riotgames.com
182.92.244.228,dsp.lenovo.com.cn
13.225.230.58,www.chegg.com
182.92.244.228,dsp.lenovo.com.cn
52.109.124.20,nexusrules.officeapps.live.com
18.215.58.211,update.avastbrowser.com
182.92.244.228,dsp.lenovo.com.cn
20.36.218.63,settings-win.data.microsoft.com
157.55.212.205,smartscreen-prod.microsoft.com
13.225.218.139,d2nchlq0f2u6vy.cloudfront.net
165.254.49.140,steamcdn-a.akamaihd.net
23.43.56.186,steamstore-a.akamaihd.net
165.254.49.140,steamcdn-a.akamaihd.net
172.217.6.234,addons-pa.clients6.google.com
172.217.12.170,addons-pa.clients6.google.com
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
8.36.80.215,events.gfe.nvidia.com
3.17.209.203,capi.connatix.com
52.34.152.98,ekg.riotgames.com
34.232.247.41,datarouter.ol.epicgames.com
172.217.12.162,pagead2.googlesyndication.com
68.67.160.186,nym1-ib.adnxs.com
192.40.37.164,a1615.casalemedia.com
68.67.160.186,nym1-ib.adnxs.com
13.225.230.61,go.affec.tv
173.231.178.81,cm.adgrx.com
185.167.164.43,c1.adform.net
35.170.14.84,p.placed.com
172.217.12.142,www.youtube.com
13.225.222.223,www.flickr.com
31.13.65.36,www.facebook.com
65.52.198.70,smartscreen-prod.microsoft.com
52.13.229.94,ekg.riotgames.com
172.217.10.238,play.google.com
52.54.70.243,ss-prod-ue1-notif-27.aws.adobess.com
40.67.188.15,presence-heartbeat.xboxlive.com
203.205.239.158,q2.qlogo.cn
52.179.129.229,arc.msn.com
52.25.95.45,ekg.riotgames.com
20.36.218.63,settings-win.data.microsoft.com
68.67.179.113,ib.adnxs.com
68.67.160.114,nym1-ib.adnxs.com
52.52.238.239,analytics.developer.riotgames.com
52.34.148.174,video-edge-53c307.pdx01.abs.hls.ttvnw.net
52.25.95.45,ekg.riotgames.com
13.225.230.14,dps.admission.net
18.235.13.113,cs.choozle.com
137.221.106.14,us.api.blizzard.com
24.105.25.231,us-bnp.voice.battle.net
52.11.105.241,ekg.riotgames.com
52.73.246.59,www.netflix.com
13.225.226.34,m.media-amazon.com
13.225.226.34,images-na.ssl-images-amazon.com
104.110.159.148,www.amazon.com
68.67.160.24,ib.adnxs.com
104.16.0.92,na.ledge.leagueoflegends.com
23.78.208.56,itunes.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
103.235.46.135,voice.baidu.com
104.193.90.80,mss0.bdstatic.com
104.18.97.33,acs.leagueoflegends.com
162.159.136.234,gateway.discord.gg
172.217.6.238,clients3.google.com
17.154.66.79,p25-buy.itunes.apple.com
162.159.137.234,best.discord.media
52.25.95.45,ekg.riotgames.com
162.159.134.233,discordapp.com
35.186.224.53,spclient.wg.spotify.com
54.148.122.222,ekg.riotgames.com
35.201.97.85,s-usc1c-nss-203.firebaseio.com
31.13.65.7,platform-lookaside.fbsbx.com
162.159.130.233,discordapp.com
162.159.133.233,discordapp.com
172.217.10.138,remotedesktop-pa.googleapis.com
172.217.10.138,remotedesktop-pa.googleapis.com
162.159.134.234,gateway.discord.gg
54.148.122.222,ekg.riotgames.com
172.253.63.108,imap.gmail.com
172.217.11.36,www.google.com
172.253.122.188,mtalk.google.com
17.248.187.75,p13-contacts.icloud.com
203.205.179.230,safebrowsing.urlsec.qq.com
68.67.160.186,nym1-ib.adnxs.com
172.253.63.108,imap.gmail.com
3.225.189.161,t.myvisualiq.net
185.167.164.43,c1.adform.net
52.218.229.192,s3-us-west-2.amazonaws.com
162.159.129.235,best.discord.media
162.159.135.233,status.discordapp.com
172.217.6.238,clients4.google.com
104.28.1.221,sih.gainskins.com
130.211.16.53,d.joinhoney.com
216.58.210.195,csi.gstatic.com
172.217.10.106,www.googleapis.com
172.217.7.3,update.googleapis.com
52.218.224.203,ubp-common-us-prod.s3.amazonaws.com
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
31.13.65.52,graph.instagram.com
8.248.221.252,i.kym-cdn.com
151.101.250.49,media1.tenor.com
104.110.252.252,i.pinimg.com
52.179.129.229,arc.msn.com
3.220.3.171,home.hulu.com
172.217.10.110,ogs.google.com
52.54.70.243,ss-prod-ue1-notif-27.aws.adobess.com
52.25.170.114,ekg.riotgames.com
103.126.92.132,interface.music.163.com
162.159.134.232,media.discordapp.net
52.1.184.222,datarouter.ol.epicgames.com
104.92.231.222,service.weather.microsoft.com
54.239.23.88,horizonte.browserapps.amazon.com
52.72.212.54,fls-na.amazon.com
72.55.140.155,nyu-apply.smapply.io
162.247.242.20,bam.nr-data.net
35.190.88.7,sessions.bugsnag.com
172.217.12.142,www.google-analytics.com
162.247.242.20,bam.nr-data.net
23.78.208.56,bag.itunes.apple.com
17.42.254.13,p46-buy.itunes.apple.com
172.217.9.226,googleads.g.doubleclick.net
96.17.66.14,nbcudisplay.s.moatpixel.com
96.17.66.14,nbcudisplay.s.moatpixel.com
72.55.140.155,nyu-apply.smapply.io
104.17.148.7,wikibuy.com
69.192.108.239,api1.origin.com
96.6.24.89,xp.apple.com
23.43.56.203,play.itunes.apple.com
104.17.148.7,track.wikibuy.com
69.192.108.239,api1.origin.com
159.153.190.222,proxy.novafusion.ea.com
52.35.252.98,ekg.riotgames.com
52.4.129.197,river.data.ea.com
34.228.246.164,play.hulu.com
162.159.133.233,discordapp.com
52.109.6.6,roaming.officeapps.live.com
23.78.208.56,init.itunes.apple.com
148.153.38.118,api.vc.bilibili.com
96.6.24.89,xp.apple.com
168.143.241.144,play.itunes.apple.com
13.225.220.47,api-v2.soundcloud.com
159.153.190.222,proxy.novafusion.ea.com
17.248.216.4,p13-keyvalueservice.icloud.com.cn
34.192.148.88,srv-2020-03-01-04.pixel.parsely.com
17.248.135.175,gateway.icloud.com.cn
17.248.135.246,metrics.icloud.com
104.16.37.99,playerpreferences.riotgames.com
52.25.170.114,ekg.riotgames.com
216.165.47.12,www.nyu.edu
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
52.72.64.33,f-log-extension.grammarly.io
20.36.218.63,settings-win.data.microsoft.com
96.17.64.132,cdn.doubleverify.com
204.154.111.120,rtb0.doubleverify.com
205.185.216.42,servedby.flashtalking.com
204.154.111.115,tps600.doubleverify.com
52.21.21.226,tag.device9.com
185.167.164.43,c1.adform.net
204.154.111.115,tps.doubleverify.com
204.154.111.115,tps10273.doubleverify.com
20.44.86.43,watson.telemetry.microsoft.com
13.33.71.81,api-cache.blizzcon.com
3.130.31.206,capi.connatix.com
204.154.111.115,tps10256.doubleverify.com
52.25.233.180,ekg.riotgames.com
52.4.129.197,river.data.ea.com
52.179.129.229,arc.msn.com
68.67.179.113,ib.adnxs.com
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
68.67.160.114,nym1-ib.adnxs.com
34.192.119.184,sync.tidaltv.com
203.205.219.95,mail.qq.com
130.211.16.53,d.joinhoney.com
172.217.10.42,instantmessaging-pa.googleapis.com
172.217.6.202,instantmessaging-pa.googleapis.com
59.111.0.200,mumu.nie.netease.com
209.197.3.15,netdna.bootstrapcdn.com
13.225.230.59,negbar.ad-blocker.org
104.16.89.20,cdn.jsdelivr.net
104.17.65.4,cdnjs.cloudflare.com
54.84.101.93,www.slader.com
35.170.109.123,elektra.slader.com
13.225.230.84,enraiha.slader.com
96.6.24.25,www.paypalobjects.com
24.105.29.76,telemetry-in.battle.net
108.59.3.226,8bbzgj41nl-dsn.algolia.net
34.204.24.67,push.prod.netflix.com
20.36.252.130,fe2cr.update.microsoft.com
104.110.252.64,m.media-amazon.com
104.110.252.64,images-na.ssl-images-amazon.com
13.225.222.227,www.amazon.com
68.67.179.122,ib.adnxs.com
172.217.12.206,play.google.com
40.122.160.14,v10.events.data.microsoft.com
40.91.72.120,userpresence.xboxlive.com
64.4.54.18,fe3cr.delivery.mp.microsoft.com
20.36.219.28,activity.windows.com
103.235.46.135,voice.baidu.com
52.10.101.255,ekg.riotgames.com
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
18.205.44.71,f-log-extension.grammarly.io
40.122.160.14,v10.events.data.microsoft.com
52.54.70.243,ss-prod-ue1-notif-27.aws.adobess.com
23.54.213.99,go.microsoft.com
104.84.148.238,sb.scorecardresearch.com
96.6.27.90,www.microsoft.com
69.192.108.188,definitionupdates.microsoft.com
31.13.65.1,www.messenger.com
40.122.160.14,v10.events.data.microsoft.com
172.217.10.238,play.google.com
31.13.65.36,www.facebook.com
40.122.160.14,v10.events.data.microsoft.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
23.54.184.94,www.rakuten.com
35.172.89.115,engineering.nyu.edu
172.217.10.40,www.googletagmanager.com
31.13.65.7,connect.facebook.net
23.66.214.165,cloud.typography.com
172.217.197.156,stats.g.doubleclick.net
31.13.65.36,www.facebook.com
52.86.82.146,rtm.tnt-ea.com
216.165.47.10,nyu.edu
216.165.47.12,www.nyu.edu
13.225.230.46,tag.getdrip.com
13.225.218.150,d14jnfavjicsbe.cloudfront.net
207.189.124.57,act.online.engineering.nyu.edu
172.217.10.74,play.googleapis.com
17.248.135.149,gateway-carry.icloud.com
172.217.6.234,chat-pa.clients6.google.com
35.186.224.53,spclient.wg.spotify.com
162.159.129.233,discordapp.com
104.16.31.91,na.ledge.leagueoflegends.com
96.6.27.90,www.microsoft.com
35.186.224.53,spclient.wg.spotify.com
203.205.136.169,pub.idqqimg.com
172.217.10.138,wirelessdevicestats.googleapis.com
172.217.10.138,wirelessdevicestats.googleapis.com
204.154.111.115,tps10256.doubleverify.com
204.154.111.115,tps10273.doubleverify.com
