54.197.253.26,traffick.jivox.com
35.174.76.233,rtr.innovid.com
13.107.42.12,d.docs.live.net
42.186.113.26,campus.game.163.com
24.105.29.76,telemetry-in.battle.net
45.57.91.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
52.206.30.127,www.netflix.com
68.67.160.184,ib.adnxs.com
198.27.121.188,bigcdnjs3.funnyjunk.com
13.107.6.158,edge.microsoft.com
54.203.224.170,home.hulu.com
52.114.77.34,browser.pipe.aria.microsoft.com
40.69.216.73,array611.prod.do.dsp.mp.microsoft.com
128.238.155.11,128.238.155.11
74.119.119.145,ads.us.criteo.com
172.217.9.227,ssl.gstatic.com
128.238.155.11,128.238.155.11
121.125.60.249,search.dcinside.com
121.125.60.249,search.dcinside.com
121.125.60.241,gall.dcinside.com
17.248.135.80,p55-ckdatabase.icloud.com
216.165.47.12,www.nyu.edu
52.179.129.229,arc.msn.com
172.217.12.202,wirelessdevicestats.googleapis.com
172.217.12.202,wirelessdevicestats.googleapis.com
137.221.106.14,us.api.blizzard.com
13.107.42.12,d.docs.live.net
3.137.42.155,secure-dcr.imrworldwide.com
13.107.42.12,d.docs.live.net
3.221.116.27,public-ubiservices.ubi.com
60.205.234.210,ldc.lenovo.com.cn
172.217.10.22,i.ytimg.com
34.73.232.153,www.overleaf.com
35.186.224.53,api.spotify.com
162.159.129.233,discordapp.com
52.114.77.164,v20.events.data.microsoft.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
3.224.18.4,receive-lp1.dg.srv.nintendo.net
17.249.162.38,gsp-ssl.ls.apple.com
13.107.42.12,d.docs.live.net
35.186.224.25,login5.spotify.com
35.186.224.53,spclient.wg.spotify.com
45.57.91.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
52.201.200.150,www.netflix.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
52.109.6.6,roaming.officeapps.live.com
18.209.234.124,play.hulu.com
216.98.62.23,msr-public-ubiservices.ubi.com
158.69.228.158,funnyjunk.com
144.217.180.139,bigcdnjs1.funnyjunk.com
13.107.42.12,d.docs.live.net
68.67.160.184,ib.adnxs.com
13.107.42.12,d.docs.live.net
35.169.47.242,polka.typekit.com
198.27.121.189,bigcdnjs4.funnyjunk.com
54.164.56.104,www.netflix.com
198.27.121.188,bigcdnjs3.funnyjunk.com
103.126.92.132,interface.music.163.com
35.186.224.47,dealer.spotify.com
151.101.0.133,raw.githubusercontent.com
13.107.42.12,d.docs.live.net
52.109.6.6,roaming.officeapps.live.com
52.109.6.6,roaming.officeapps.live.com
152.195.33.69,cdn.cookielaw.org
152.195.33.69,cdn.cookielaw.org
23.78.209.172,cdn3.optimizely.com
13.225.221.210,static.chartbeat.com
69.192.110.3,widgets.outbrain.com
35.244.144.168,tag.bounceexchange.com
13.225.225.80,cdn.segment.com
13.107.42.12,d.docs.live.net
52.109.6.6,roaming.officeapps.live.com
211.234.127.21,logs.81plug.com
52.179.129.229,arc.msn.com
192.16.31.139,www.dota2.com
13.107.42.12,d.docs.live.net
3.17.209.203,capi.connatix.com
192.99.103.81,bigcdnjs2.funnyjunk.com
52.25.95.45,ekg.riotgames.com
40.90.22.187,login.live.com
20.150.50.4,steamclouduseast2.blob.core.windows.net
68.67.160.184,ib.adnxs.com
17.134.127.250,gs-loc.apple.com
17.134.127.250,gs-loc.apple.com
31.13.65.1,www.messenger.com
52.3.98.112,api.robinhood.com
23.78.200.111,webql-redesign.cnbcfm.com
144.217.180.139,bigcdnjs1.funnyjunk.com
13.107.42.12,d.docs.live.net
52.114.128.43,mobile.pipe.aria.microsoft.com
52.114.128.43,mobile.pipe.aria.microsoft.com
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
104.17.188.107,zwyr157wwiu6eior.com
172.217.12.138,remotedesktop-pa.googleapis.com
172.217.12.202,remotedesktop-pa.googleapis.com
52.114.128.43,v10.events.data.microsoft.com
198.27.121.188,bigcdnjs3.funnyjunk.com
69.192.108.239,api1.origin.com
13.107.42.12,d.docs.live.net
40.67.188.15,presence-heartbeat.xboxlive.com
173.194.131.139,r5---sn-ab5l6n6l.googlevideo.com
45.57.90.1,codex.nflxext.com
45.57.90.1,assets.nflxext.com
54.174.201.74,www.netflix.com
162.159.129.232,media.discordapp.net
69.192.108.239,api1.origin.com
69.192.108.239,api1.origin.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
172.217.11.36,www.google.com
172.217.11.36,www.google.com
