104.17.143.21,loadouts.na2.leagueoflegends.com
52.87.18.74,push.prod.netflix.com
13.107.42.12,d.docs.live.net
52.40.135.92,ekg.riotgames.com
52.109.6.6,roaming.officeapps.live.com
103.126.92.132,interface.music.163.com
59.111.239.62,httpdns.n.netease.com
104.84.148.238,sb.scorecardresearch.com
115.236.126.253,campus.163.com
52.109.6.6,roaming.officeapps.live.com
96.6.24.89,xp.apple.com
23.43.59.210,play.itunes.apple.com
17.248.135.240,p30-keyvalueservice.icloud.com
115.236.126.253,campus.163.com
42.186.113.26,campus.game.163.com
54.209.53.206,ws.onlyfans.com
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
115.236.121.10,qiyukf.com
115.236.121.10,qiyukf.com
52.40.135.92,ekg.riotgames.com
34.196.193.148,receive-lp1.dg.srv.nintendo.net
13.107.42.12,d.docs.live.net
54.157.68.204,home.hulu.com
17.248.216.1,p13-keyvalueservice.icloud.com.cn
104.16.36.99,playerpreferences.riotgames.com
172.217.7.10,safebrowsing.googleapis.com
172.217.12.142,tools.google.com
172.217.12.170,home-devices.googleapis.com
211.234.127.21,logs.81plug.com
52.25.95.45,ekg.riotgames.com
52.40.135.92,ekg.riotgames.com
35.186.224.47,dealer.spotify.com
52.179.129.229,arc.msn.com
152.195.33.69,cdn.cookielaw.org
152.195.33.69,cdn.cookielaw.org
69.192.110.3,widgets.outbrain.com
192.30.253.113,github.com
192.30.253.113,github.com
13.107.42.12,d.docs.live.net
96.17.64.253,wcs.naver.net
52.52.238.239,analytics.developer.riotgames.com
52.200.109.74,acp-ss-ue1.adobe.io
162.159.129.233,discordapp.com
162.159.135.233,discordapp.com
13.107.42.12,d.docs.live.net
172.217.10.42,remotedesktop-pa.googleapis.com
172.217.10.42,remotedesktop-pa.googleapis.com
23.22.181.213,ss-prod-ue1-notif-27.aws.adobess.com
17.142.171.9,gs-loc.apple.com
17.142.171.8,gs-loc.apple.com
104.16.3.92,na.ledge.leagueoflegends.com
104.18.96.33,acs.leagueoflegends.com
40.67.188.15,presence-heartbeat.xboxlive.com
52.41.8.68,ekg.riotgames.com
13.107.42.12,d.docs.live.net
104.20.10.222,filters.adtidy.org
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
20.36.218.63,settings-win.data.microsoft.com
52.41.8.68,ekg.riotgames.com
115.236.121.10,qiyukf.com
115.236.121.10,qiyukf.com
172.217.6.238,clients6.google.com
172.217.6.238,clients6.google.com
20.36.219.28,activity.windows.com
104.196.12.179,manual.eg.poly.edu
77.88.21.119,mc.yandex.ru
8.36.113.137,events.gfe.nvidia.com
13.225.230.126,clips-media-assets2.twitch.tv
52.41.8.68,ekg.riotgames.com
172.217.12.174,www.youtube.com
13.107.42.12,d.docs.live.net
52.178.192.146,array601.prod.do.dsp.mp.microsoft.com
52.179.129.229,arc.msn.com
68.67.160.132,ib.adnxs.com
18.204.189.76,s.update.rubiconproject.com
3.221.116.27,public-ubiservices.ubi.com
68.67.160.132,nym1-ib.adnxs.com
192.184.68.166,exch.quantserve.com
192.184.68.179,pixel.quantcount.com
34.192.146.205,mb.moatads.com
192.184.68.169,pixel.quantserve.com
96.17.66.14,quantcast584928381.s.moatpixel.com
203.205.248.47,203.205.248.47
52.73.154.230,logx.optimizely.com
45.57.90.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
52.73.246.59,www.netflix.com
52.73.246.59,www.netflix.com
52.158.122.14,array616.prod.do.dsp.mp.microsoft.com
115.236.126.253,campus.163.com
13.107.42.12,d.docs.live.net
69.195.172.128,api-27-0-0.twitter.com
52.114.128.43,v20.events.data.microsoft.com
69.195.162.128,api-42-0-0.twitter.com
35.190.62.200,events.bouncex.net
104.84.148.238,sb.scorecardresearch.com
130.211.16.53,d.joinhoney.com
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
104.244.42.193,twitter.com
192.229.173.16,pbs.twimg.com
192.229.173.16,pbs.twimg.com
192.229.210.163,video.twimg.com
104.244.42.130,api.twitter.com
192.229.210.163,video.twimg.com
104.244.42.130,api.twitter.com
13.225.62.5,www.chegg.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
104.244.42.194,api.twitter.com
69.195.187.128,api-26-0-0.twitter.com
209.237.198.128,api-0-4-3.twitter.com
13.107.42.12,d.docs.live.net
20.36.218.63,settings-win.data.microsoft.com
31.13.65.7,scontent.xx.fbcdn.net
13.107.42.12,d.docs.live.net
115.236.126.253,campus.163.com
54.88.114.225,www.netflix.com
68.67.160.132,nym1-ib.adnxs.com
52.109.6.6,roaming.officeapps.live.com
34.230.154.206,receive-lp1.dg.srv.nintendo.net
13.107.42.12,bn1305.storage.live.com
192.30.253.113,github.com
192.30.253.113,github.com
31.13.65.174,www.instagram.com
115.236.126.253,campus.163.com
172.217.10.42,firebasestorage.googleapis.com
31.13.65.174,www.instagram.com
159.153.191.240,accounts.ea.com
63.116.197.32,instagram.fewr1-3.fna.fbcdn.net
31.13.65.52,scontent-atl3-1.cdninstagram.com
72.21.81.200,r6pcaddons.azureedge.net
52.54.70.243,ss-prod-ue1-notif-27.aws.adobess.com
3.221.245.228,public-ubiservices.ubi.com
31.13.65.52,graph.instagram.com
52.96.15.178,outlook.office365.com
13.107.42.12,d.docs.live.net
52.96.15.178,outlook.office365.com
115.236.121.10,qiyukf.com
3.221.245.228,public-ubiservices.ubi.com
115.236.121.10,qiyukf.com
17.248.135.136,p13-contacts.icloud.com
13.107.18.11,outlook.office.com
13.107.18.11,outlook.office.com
24.105.29.76,telemetry-in.battle.net
17.253.97.201,mesu.apple.com
35.186.224.47,dealer.spotify.com
203.205.179.230,safebrowsing.urlsec.qq.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.42.12,d.docs.live.net
52.109.6.6,roaming.officeapps.live.com
108.174.10.14,ca.linkedin.com
108.174.10.14,ca.linkedin.com
44.230.197.219,ekg.riotgames.com
172.217.7.14,www.youtube.com
13.225.222.223,www.flickr.com
31.13.65.36,www.facebook.com
69.192.109.199,static-exp1.licdn.com
69.192.109.199,static-exp1.licdn.com
69.192.109.199,static-exp1.licdn.com
162.159.130.233,discordapp.com
13.107.42.12,d.docs.live.net
69.192.109.199,static-exp1.licdn.com
69.192.109.199,static-exp1.licdn.com
69.192.109.199,static-exp1.licdn.com
69.192.109.199,static-exp1.licdn.com
69.192.109.199,static-exp1.licdn.com
69.192.109.199,static-exp1.licdn.com
152.199.24.127,platform.linkedin.com
152.199.24.127,platform.linkedin.com
152.195.12.117,media-exp1.licdn.com
152.195.12.117,media-exp1.licdn.com
152.195.12.117,media-exp1.licdn.com
152.195.12.117,media-exp1.licdn.com
152.195.12.117,media-exp1.licdn.com
152.195.12.117,media-exp1.licdn.com
152.195.12.117,media-exp1.licdn.com
152.195.12.117,media-exp1.licdn.com
52.179.129.229,arc.msn.com
54.243.120.80,tracking.overwolf.com
34.225.11.222,acp-ss-ue1.adobe.io
216.98.62.23,msr-public-ubiservices.ubi.com
13.107.42.12,d.docs.live.net
151.101.0.176,js.stripe.com
104.20.19.73,securionpay.com
162.159.129.232,media.discordapp.net
13.225.230.124,m.stripe.network
104.20.18.73,api.securionpay.com
34.200.47.89,api.stripe.com
155.130.131.90,api.inoviopay.com
64.38.212.34,api.ccbill.com
52.34.85.62,m.stripe.com
54.187.159.182,q.stripe.com
13.107.42.12,d.docs.live.net
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
39.96.106.241,hao.lenovo.com.cn
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
39.96.106.241,hao.lenovo.com.cn
182.92.244.228,dsp.lenovo.com.cn
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
125.77.164.198,smartdl.lenovo.com.cn
13.107.42.12,d.docs.live.net
17.167.194.47,gsp85-ssl.ls.apple.com
3.17.209.203,capi.connatix.com
17.174.1.5,guzzoni.apple.com
52.109.6.6,roaming.officeapps.live.com
96.17.64.253,wcs.naver.net
52.52.238.239,analytics.developer.riotgames.com
115.236.121.10,qiyukf.com
23.78.208.56,configuration.apple.com
13.107.42.12,d.docs.live.net
8.249.243.241,http-v-darwin.hulustream.com
96.6.24.65,bcat-list-lp1.cdn.nintendo.net
52.38.103.119,vortex.hulu.com
17.167.194.230,gsp64-ssl.ls.apple.com
68.67.160.132,ib.adnxs.com
13.107.42.12,d.docs.live.net
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
45.57.90.1,assets.nflxext.com
34.192.187.24,www.netflix.com
34.192.187.24,www.netflix.com
45.57.91.1,codex.nflxext.com
8.249.243.241,http-v-darwin.hulustream.com
8.36.113.137,events.gfe.nvidia.com
192.184.68.249,pixel.quantserve.com
13.107.42.12,d.docs.live.net
52.38.103.119,vortex.hulu.com
104.244.42.130,api.twitter.com
52.218.224.208,s3-us-west-2.amazonaws.com
52.109.6.6,roaming.officeapps.live.com
52.179.129.229,arc.msn.com
172.217.7.14,play.google.com
54.156.225.252,home.hulu.com
115.236.121.10,qiyukf.com
115.236.121.10,qiyukf.com
52.218.228.171,ubp-common-us-prod.s3.amazonaws.com
151.101.202.248,i.scdn.co
52.109.6.6,roaming.officeapps.live.com
13.107.42.12,d.docs.live.net
17.253.15.207,mesu.apple.com
103.126.92.132,interface.music.163.com
13.225.226.153,slack.com
115.236.126.253,campus.163.com
191.232.139.2,fe3cr.delivery.mp.microsoft.com
3.218.199.108,datarouter.ol.epicgames.com
54.239.23.88,horizonte.browserapps.amazon.com
54.210.204.187,fls-na.amazon.com
52.114.32.7,v10.events.data.microsoft.com
52.109.6.6,roaming.officeapps.live.com
52.109.6.6,roaming.officeapps.live.com
42.186.113.26,campus.game.163.com
52.35.252.98,ekg.riotgames.com
13.107.42.12,d.docs.live.net
13.107.42.12,d.docs.live.net
216.239.36.126,mvm.snapchat.com
52.20.51.110,www.netflix.com
20.36.219.28,activity.windows.com
104.196.12.179,manual.eg.poly.edu
69.192.108.239,api1.origin.com
159.153.190.222,proxy.novafusion.ea.com
69.192.108.239,api1.origin.com
172.217.10.42,remotedesktop-pa.googleapis.com
172.217.10.42,remotedesktop-pa.googleapis.com
52.114.32.7,v10.events.data.microsoft.com
52.73.31.177,river.data.ea.com
35.186.224.47,dealer.spotify.com
159.153.190.222,proxy.novafusion.ea.com
13.107.42.12,d.docs.live.net
162.247.242.20,bam.nr-data.net
20.36.218.63,settings-win.data.microsoft.com
52.109.6.6,roaming.officeapps.live.com
182.92.244.228,dsp.lenovo.com.cn
216.165.47.12,www.nyu.edu
3.82.71.146,play.hulu.com
13.107.42.12,d.docs.live.net
13.107.42.12,d.docs.live.net
20.36.218.63,settings-win.data.microsoft.com
52.179.129.229,arc.msn.com
20.36.218.63,settings-win.data.microsoft.com
13.35.99.18,api-cache.blizzcon.com
8.249.243.241,http-v-darwin.hulustream.com
151.101.1.67,www.cnn.com
151.101.1.67,registry.api.cnn.io
152.195.33.69,cdn.cookielaw.org
151.101.65.67,www.i.cdn.cnn.com
152.195.33.69,cdn.cookielaw.org
69.192.110.3,widgets.outbrain.com
151.101.65.67,www.i.cdn.cnn.com
52.45.67.40,logx.optimizely.com
23.10.93.204,cdn.cnn.com
23.10.93.204,dynaimage.cdn.cnn.com
23.10.93.204,i.cdn.cnn.com
104.16.119.50,auth.riotgames.com
23.78.199.149,a125375509.cdn.optimizely.com
104.16.198.132,entitlements.auth.riotgames.com
104.18.25.250,pas.geo.si.riotgames.com
24.105.29.76,telemetry-in.battle.net
115.236.121.10,qiyukf.com
52.73.31.177,river.data.ea.com
104.84.148.238,sb.scorecardresearch.com
52.45.67.40,logx.optimizely.com
209.237.194.128,api-3-0-0.twitter.com
151.101.2.2,odb.outbrain.com
70.42.32.95,log.outbrainimg.com
52.13.229.94,ekg.riotgames.com
52.54.70.243,ss-prod-ue1-notif-27.aws.adobess.com
3.234.31.129,agility.cnn.com
54.191.2.73,api.segment.io
70.42.32.95,mcdp-nydc1.outbrain.com
96.17.66.46,images.outbrainimg.com
96.17.66.46,images.outbrainimg.com
96.17.66.46,images.outbrainimg.com
96.17.66.46,images.outbrainimg.com
192.229.163.25,platform.twitter.com
192.229.163.25,platform.twitter.com
104.244.42.200,syndication.twitter.com
35.227.229.34,cnn.bounceexchange.com
192.229.163.25,platform.twitter.com
192.229.163.25,platform.twitter.com
35.169.54.60,secure-us.imrworldwide.com
72.21.91.70,cdn.syndication.twimg.com
72.21.91.70,cdn.syndication.twimg.com
18.235.25.252,t.myvisualiq.net
52.205.199.154,smetrics.cnn.com
69.192.110.3,widgets.outbrain.com
69.192.110.3,widgets.outbrain.com
3.93.89.69,secure-dcr.imrworldwide.com
69.192.110.3,widgets.outbrain.com
69.192.110.3,widgets.outbrain.com
69.192.110.3,widgets.outbrain.com
192.229.163.25,platform.twitter.com
192.229.163.25,platform.twitter.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
72.21.91.70,ton.twimg.com
72.21.91.70,ton.twimg.com
72.21.91.70,ton.twimg.com
72.21.91.70,ton.twimg.com
34.227.153.53,errors.client.optimizely.com
69.31.76.96,cnnios-f.akamaihd.net
199.127.193.103,a6709203f34992a5095d2bc7ceaf2ec504f651a8.cws.conviva.com
199.127.193.103,cws-hulu.conviva.com
69.31.76.96,cnnios-f.akamaihd.net
69.31.76.96,cnnios-f.akamaihd.net
13.107.42.12,d.docs.live.net
104.196.12.179,manual.eg.poly.edu
38.106.231.204,osfsr.lenovomm.com
52.109.6.6,roaming.officeapps.live.com
47.95.131.3,nsl.lenovo.com.cn
88.198.33.89,license.theoplayer.com
182.92.244.228,dsp.lenovo.com.cn
96.17.64.253,wcs.naver.net
52.52.238.239,analytics.developer.riotgames.com
13.107.42.12,d.docs.live.net
216.239.36.126,mvm.snapchat.com
172.217.10.238,play.google.com
35.169.45.33,www.netflix.com
182.92.244.228,dsp.lenovo.com.cn
115.236.121.10,qiyukf.com
52.114.132.73,v10.events.data.microsoft.com
68.67.160.132,ib.adnxs.com
172.217.11.19,cloud.bluestacks.com
192.184.68.248,pixel.quantcount.com
68.67.179.153,nym1-ib.adnxs.com
192.184.68.245,exch.quantserve.com
