151.101.200.158,video.twimg.com
68.67.181.211,ib.adnxs.com
68.67.160.186,nym1-ib.adnxs.com
104.64.214.21,cdn2.inner-active.mobi
23.78.208.56,itunes.apple.com
172.217.11.35,settings.crashlytics.com
192.184.68.211,exch.quantserve.com
192.184.68.191,pixel.quantcount.com
172.217.11.10,play.googleapis.com
17.125.249.6,p70-buy.itunes.apple.com
96.17.66.14,quantcast584928381.s.moatpixel.com
192.184.68.203,pixel.quantserve.com
13.107.42.12,d.docs.live.net
104.26.11.82,configs.nabstudio.com
74.119.119.139,gum.criteo.com
54.235.199.177,e.crashlytics.com
31.13.65.1,graph.facebook.com
3.221.116.27,public-ubiservices.ubi.com
172.217.6.202,iid.googleapis.com
34.228.96.138,detect.rayjump.com
34.237.29.40,setting.rayjump.com
47.252.24.171,analytics.rayjump.com
172.217.6.202,securetoken.googleapis.com
34.237.29.40,setting.rayjump.com
31.13.65.1,graph.facebook.com
54.145.18.97,api.mangarockhd.com
13.225.221.230,api.branch.io
172.217.6.202,securetoken.googleapis.com
34.237.29.40,setting.rayjump.com
34.237.29.40,setting.rayjump.com
34.237.29.40,setting.rayjump.com
34.237.29.40,setting.rayjump.com
192.48.236.10,ads.mopub.com
172.217.11.10,play.googleapis.com
47.89.136.247,net.rayjump.com
172.217.3.110,app-measurement.com
172.217.6.234,cloudconfig.googleapis.com
47.89.136.247,net.rayjump.com
47.89.136.247,net.rayjump.com
47.252.24.171,analytics.rayjump.com
13.225.230.5,cdn.branch.io
47.252.24.171,analytics.rayjump.com
104.26.11.82,mrthumb.nabstudio.com
104.26.11.82,mrthumb.nabstudio.com
104.18.0.126,cdn-adn-https-baidu.rayjump.com
104.18.0.126,cdn-adn-https-baidu.rayjump.com
172.217.6.202,securetoken.googleapis.com
192.48.236.12,cb.mopub.com
47.252.24.171,analytics.rayjump.com
172.217.3.110,app-measurement.com
85.195.119.218,prod-03.escapefromtarkov.com
23.78.208.56,itunes.apple.com
23.78.208.56,itunes.apple.com
45.57.90.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
54.85.82.162,www.netflix.com
172.217.10.10,www.googleapis.com
17.154.66.159,sandbox.itunes.apple.com
54.243.108.13,reports.crashlytics.com
172.217.10.74,firestore.googleapis.com
40.90.22.188,login.live.com
216.165.47.12,www.nyu.edu
13.107.18.11,substrate.office.com
172.217.11.19,cloud.bluestacks.com
13.107.42.12,d.docs.live.net
52.113.194.132,config.teams.microsoft.com
52.114.6.47,mobile.pipe.aria.microsoft.com
52.114.132.73,mobile.pipe.aria.microsoft.com
52.114.132.73,mobile.pipe.aria.microsoft.com
216.98.62.72,msr-public-ubiservices.ubi.com
20.36.218.63,settings-win.data.microsoft.com
96.6.25.56,www.ebay.com
52.109.6.6,roaming.officeapps.live.com
96.6.24.89,xp.apple.com
23.43.59.139,play.itunes.apple.com
96.6.25.56,i.ebayimg.com
152.199.24.42,ir.ebaystatic.com
152.199.24.42,ir.ebaystatic.com
152.199.24.42,ir.ebaystatic.com
152.199.24.42,ir.ebaystatic.com
69.192.110.48,p.ebaystatic.com
66.135.214.209,rover.ebay.com
130.211.26.229,s.joinhoney.com
104.28.11.65,iservice.fuzelfiles.com
66.135.201.59,srv.main.ebayrtm.com
92.223.23.202,wguscs-wgceu.wargaming.net
152.195.55.192,service.cmp.oath.com
152.195.55.192,service.cmp.oath.com
69.192.110.94,z.moatads.com
52.5.240.186,init.supersonicads.com
54.173.194.197,ads.nexage.com
92.223.21.27,cat.wargaming.net
18.215.177.193,api.mangarockhd.com
52.94.236.25,mads.amazon-adsystem.com
13.225.230.44,outcome-ssp.supersonicads.com
13.225.227.131,networksdk.ssacdn.com
13.225.230.44,outcome-ssp.supersonicads.com
104.20.107.2,cdn.quantummetric.com
35.227.255.136,v.joinhoney.com
23.10.89.229,stags.bluekai.com
66.135.200.43,ocsrest.ebay.com
66.135.200.171,gha.ebay.com
52.46.134.16,aax-us-east.amazon-adsystem.com
72.21.206.140,s.amazon-adsystem.com
3.216.219.239,fls-na.amazon.com
69.192.109.111,assets.adobedtm.com
52.21.44.227,dpm.demdex.net
34.197.9.232,fls-na.amazon.com
52.46.134.16,aax-us-east.amazon-adsystem.com
