13.92.244.135,i.w.inmobi.com
17.120.254.5,p70-buy.itunes.apple.com
35.169.163.19,api.gameanalytics.com
205.185.208.142,di.phncdn.com
205.185.208.142,di.phncdn.com
205.185.208.142,di.phncdn.com
205.185.208.142,di.phncdn.com
52.109.92.24,roaming.officeapps.live.com
172.217.12.202,www.googleapis.com
54.145.18.97,api.mangarockhd.com
192.48.236.10,ads.mopub.com
96.6.22.62,itunes.apple.com
13.225.230.84,ow-gateway.supersonicads.com
74.119.119.139,gum.criteo.com
99.84.121.170,api.branch.io
69.147.82.60,data.flurry.com
47.89.136.247,net.rayjump.com
50.16.218.133,e.crashlytics.com
104.26.10.82,configs.nabstudio.com
47.252.92.64,analytics.rayjump.com
47.252.24.171,analytics.rayjump.com
35.241.52.229,cdp.cloud.unity3d.com
52.179.129.229,arc.msn.com
136.243.62.212,easylist-downloads.adblockplus.org
35.186.224.47,dealer.spotify.com
85.195.119.218,prod-03.escapefromtarkov.com
172.217.10.106,wirelessdevicestats.googleapis.com
172.217.10.106,wirelessdevicestats.googleapis.com
31.13.65.52,i.instagram.com
31.13.65.52,graph.instagram.com
31.13.65.3,edge-mqtt.facebook.com
31.13.65.1,graph.facebook.com
31.13.65.1,graph.facebook.com
31.13.65.1,graph.facebook.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
69.16.175.10,dw.phncdn.com
69.16.175.10,dw.phncdn.com
107.21.1.140,home.hulu.com
172.217.6.225,lh3.googleusercontent.com
172.217.7.13,accounts.google.com
52.25.170.114,ekg.riotgames.com
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
207.244.120.163,my.mobfox.com
34.234.248.61,ads.nexage.com
54.156.151.197,play.hulu.com
13.107.42.12,dm2305.storage.live.com
52.239.177.100,onedriveclucproddm20023.blob.core.windows.net
17.167.194.47,gsp85-ssl.ls.apple.com
13.88.28.53,v10.events.data.microsoft.com
13.107.42.12,d.docs.live.net
17.253.15.201,mesu.apple.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
13.225.230.67,api-cache.blizzcon.com
23.22.181.213,ss-prod-ue1-notif-27.aws.adobess.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
52.109.6.5,officeclient.microsoft.com
13.107.3.128,config.edge.skype.com
