23.194.118.213,quantcast584928381.s.moatpixel.com
216.98.62.72,msr-public-ubiservices.ubi.com
20.36.218.63,settings-win.data.microsoft.com
52.22.137.21,prd-collector-anon.playbuzz.com
104.64.220.252,c.evidon.com
23.60.68.82,166vod-adaptive.akamaized.net
3.221.245.228,public-ubiservices.ubi.com
52.179.129.229,arc.msn.com
104.31.80.149,sponsor.ajay.app
3.221.245.228,public-ubiservices.ubi.com
52.71.213.9,datarouter.ol.epicgames.com
172.217.12.132,www.google.com
3.12.45.13,capi.connatix.com
72.21.81.200,r6pcaddons.azureedge.net
3.136.68.97,secure-dcr.imrworldwide.com
137.135.96.104,wdcp.microsoft.com
23.63.76.51,lol.secure.dyn.riotcdn.net
23.63.76.75,am-a.akamaihd.net
23.63.76.75,am-a.akamaihd.net
52.40.135.92,ekg.riotgames.com
3.222.212.165,home.hulu.com
184.28.207.194,sb.scorecardresearch.com
13.224.253.69,api-cache.blizzcon.com
