172.217.12.206,drive.google.com
172.217.10.142,play.google.com
31.13.65.36,www.facebook.com
31.13.65.7,static.xx.fbcdn.net
172.217.12.142,www.google-analytics.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
52.179.129.229,arc.msn.com
52.114.128.10,v10.events.data.microsoft.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
172.217.3.106,remotedesktop-pa.googleapis.com
172.217.3.106,remotedesktop-pa.googleapis.com
172.253.63.188,mtalk.google.com
172.253.63.188,mtalk.google.com
185.230.60.163,www.wix.com
185.230.60.163,www.wix.com
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
185.230.60.163,www.wix.com
17.57.144.8,courier.push.apple.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
23.60.68.104,play.itunes.apple.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
18.205.44.71,f-log-extension.grammarly.io
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
34.195.40.12,www.netflix.com
172.253.63.108,imap.gmail.com
13.225.230.67,api-cache.blizzcon.com
52.36.169.154,api-new.gocashback.com
172.217.11.46,app-measurement.com
69.28.62.188,chassis-cdn.appcloudcdn.com
69.28.62.188,app-cdn.2q10.com
172.217.11.46,app-measurement.com
173.222.102.152,api1.origin.com
173.222.102.152,secure.download.dm.origin.com
173.222.102.152,secure.download.dm.origin.com
173.222.102.152,secure.download.dm.origin.com
104.88.15.35,fus01.ps4.update.playstation.net
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
52.179.129.229,arc.msn.com
96.6.24.172,commerce.api.np.km.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
23.78.209.78,www.origin.com
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
52.179.129.229,arc.msn.com
52.42.69.173,cas.samsungcloud.com
151.101.66.167,static.twitchcdn.net
151.101.202.167,www.twitch.tv
151.101.202.167,www.twitch.tv
151.101.202.167,polyfill.twitchsvc.net
23.78.210.178,configuration.ls.apple.com
23.78.210.178,configuration.ls.apple.com
172.217.7.10,safebrowsing.googleapis.com
52.179.129.229,arc.msn.com
17.57.12.11,gsp64-ssl.ls.apple.com
18.190.123.54,capi.connatix.com
31.13.65.7,static.xx.fbcdn.net
52.22.137.21,prd-collector-anon.playbuzz.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
172.217.9.229,mail.google.com
52.39.26.2,www.netflix.com
52.179.129.229,arc.msn.com
23.10.92.253,csla.np.community.playstation.net
104.88.15.35,fus01.ps4.update.playstation.net
184.28.206.104,fswitch.dl.playstation.net
172.217.6.234,firebasestorage.googleapis.com
31.13.65.1,www.messenger.com
104.88.15.35,fus01.ps4.update.playstation.net
23.78.210.51,auth.api.np.ac.playstation.net
96.6.24.172,vl.api.np.km.playstation.net
96.6.24.64,asm.np.community.playstation.net
96.6.24.64,asm.np.community.playstation.net
96.6.24.64,asm.np.community.playstation.net
96.6.24.64,asm.np.community.playstation.net
96.6.24.12,upchk.api.playstation.com
52.40.246.202,us-push.np.communication.playstation.net
104.88.15.35,fus01.ps4.update.playstation.net
96.6.24.172,commerce.api.np.km.playstation.net
34.208.187.200,34-208-187-200-pushcl.np.communication.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
23.78.210.51,auth.api.np.ac.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
96.6.24.172,vl.api.np.km.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
52.36.169.154,api-new.gocashback.com
104.88.20.223,gs-sec.ww.np.dl.playstation.net
96.6.24.64,asm.np.community.playstation.net
96.6.24.12,upchk.api.playstation.com
17.248.135.172,gateway-carry.icloud.com
17.248.135.10,metrics.icloud.com
13.107.6.158,edge.microsoft.com
24.105.29.76,telemetry-in.battle.net
151.101.66.167,static.twitchcdn.net
151.101.202.167,polyfill.twitchsvc.net
151.101.202.167,www.twitch.tv
151.101.202.167,www.twitch.tv
192.229.173.16,pbs.twimg.com
192.229.173.16,pbs.twimg.com
172.217.12.138,wirelessdevicestats.googleapis.com
172.217.12.138,wirelessdevicestats.googleapis.com
172.217.10.142,play.google.com
34.73.232.153,www.overleaf.com
52.179.129.229,arc.msn.com
52.22.137.21,prd-collector-anon.playbuzz.com
40.69.216.73,array611.prod.do.dsp.mp.microsoft.com
151.101.129.28,mypetflamingo.bandcamp.com
23.52.4.136,api.weather.com
31.13.65.7,static.xx.fbcdn.net
52.109.124.22,nexus.officeapps.live.com
17.167.194.47,gsp85-ssl.ls.apple.com
13.107.3.128,config.edge.skype.com
52.109.124.20,nexusrules.officeapps.live.com
23.78.208.56,bag.itunes.apple.com
172.217.11.36,www.google.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
