96.6.24.134,settings-ssl.xboxlive.com
40.90.22.183,login.live.com
13.107.18.11,substrate.office.com
13.107.18.11,substrate.office.com
52.114.132.74,mobile.pipe.aria.microsoft.com
52.179.129.229,arc.msn.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
31.13.65.7,static.xx.fbcdn.net
172.217.10.232,ssl.google-analytics.com
69.28.62.188,app-cdn.2q10.com
23.22.181.213,ss-prod-ue1-notif-27.aws.adobess.com
172.217.12.214,i.ytimg.com
52.27.14.57,sn.webrootcloudav.com
172.217.12.193,lh3.googleusercontent.com
52.27.14.57,sn.webrootcloudav.com
172.217.10.225,yt3.ggpht.com
54.84.109.188,staticcdn.duckduckgo.com
104.102.95.196,store.steampowered.com
23.219.19.167,api.steampowered.com
31.13.65.1,www.messenger.com
128.238.155.11,128.238.155.11
128.238.155.11,128.238.155.11
23.78.179.109,recruitment.2020census.gov
52.114.158.92,v20.events.data.microsoft.com
52.179.129.229,arc.msn.com
17.248.135.170,gateway-carry.icloud.com
17.248.135.246,metrics.icloud.com
34.68.125.225,rpc.znly.co
17.142.171.8,gs-loc.apple.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
52.40.103.85,profile.accounts.firefox.com
52.27.184.130,token.services.mozilla.com
54.187.92.209,api.accounts.firefox.com
54.164.254.216,www.netflix.com
52.38.131.12,sync-632-us-west-2.sync.services.mozilla.com
3.12.45.13,capi.connatix.com
52.179.129.229,arc.msn.com
52.22.137.21,prd-collector-anon.playbuzz.com
172.217.10.234,safebrowsing.googleapis.com
23.78.179.109,recruitment.2020census.gov
23.22.181.213,ss-prod-ue1-notif-27.aws.adobess.com
35.186.224.53,spclient.wg.spotify.com
31.13.65.7,static.xx.fbcdn.net
52.218.252.64,s3-us-west-2.amazonaws.com
52.218.244.106,ubp-common-us-prod.s3.amazonaws.com
172.253.63.109,imap.gmail.com
172.217.6.238,clients6.google.com
172.217.6.238,clients6.google.com
96.6.24.89,xp.apple.com
23.43.57.57,play.itunes.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
173.194.204.108,imap.gmail.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.252.226.85,gs-loc.apple.com
17.252.226.85,gs-loc.apple.com
172.217.10.78,play.google.com
17.253.97.202,cdn.smoot.apple.com
52.179.129.229,arc.msn.com
17.253.97.202,cdn.smoot.apple.com
17.253.97.202,cdn.smoot.apple.com
17.253.97.202,cdn.smoot.apple.com
17.253.97.202,cdn.smoot.apple.com
17.253.97.202,cdn.smoot.apple.com
17.253.97.202,cdn.smoot.apple.com
17.253.97.202,cdn.smoot.apple.com
17.253.97.202,cdn.smoot.apple.com
17.253.97.202,cdn.smoot.apple.com
17.253.97.202,cdn.smoot.apple.com
172.217.12.206,clients6.google.com
172.217.12.206,clients6.google.com
172.217.11.42,chat-pa.clients6.google.com
23.43.169.242,api.weather.com
172.217.10.42,people-pa.clients6.google.com
172.217.10.234,safebrowsing.googleapis.com
172.217.10.238,play.google.com
203.205.179.231,safebrowsing.urlsec.qq.com
104.16.1.92,na.ledge.leagueoflegends.com
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
17.167.194.149,gs-loc.apple.com
17.167.192.128,gs-loc.apple.com
52.206.23.236,www.netflix.com
52.109.120.23,nexus.officeapps.live.com
52.20.110.113,play.hulu.com
52.179.129.229,arc.msn.com
17.248.135.206,p40-fmfmobile.icloud.com
172.217.6.234,wirelessdevicestats.googleapis.com
172.217.6.234,wirelessdevicestats.googleapis.com
52.22.137.21,prd-collector-anon.playbuzz.com
13.225.220.48,api-v2.soundcloud.com
31.13.65.7,static.xx.fbcdn.net
31.13.65.36,www.facebook.com
130.211.16.53,d.joinhoney.com
17.56.48.13,query.ess.apple.com
3.130.31.206,capi.connatix.com
13.225.230.67,api-cache.blizzcon.com
35.186.224.53,spclient.wg.spotify.com
172.217.12.202,fonts.googleapis.com
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
52.179.129.229,arc.msn.com
52.36.169.154,api-new.gocashback.com
185.230.60.179,www.wix.com
17.249.105.246,api.smoot.apple.com
172.217.12.214,i.ytimg.com
172.217.10.234,safebrowsing.googleapis.com
52.40.191.177,video-edge-53c307.pdx01.abs.hls.ttvnw.net
