35.170.1.113,play.hulu.com
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
40.67.188.15,presence-heartbeat.xboxlive.com
52.36.169.154,api-new.gocashback.com
40.90.22.189,login.live.com
24.105.29.76,telemetry-in.battle.net
18.205.47.109,prd-collector-anon.playbuzz.com
31.13.65.1,www.messenger.com
162.159.135.233,discordapp.com
162.159.129.233,discordapp.com
172.217.10.106,www.googleapis.com
172.217.6.202,remotedesktop-pa.googleapis.com
172.217.6.202,remotedesktop-pa.googleapis.com
17.32.194.2,gsa.apple.com
17.137.166.35,gsas.apple.com
17.137.166.4,gsas.apple.com
52.179.129.229,arc.msn.com
130.211.16.53,d.joinhoney.com
17.248.135.12,p42-keyvalueservice.icloud.com
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
17.248.135.234,keyvalueservice.icloud.com
17.248.135.234,p42-keyvalueservice.icloud.com
13.107.18.11,substrate.office.com
172.217.11.14,docs.google.com
52.114.88.28,mobile.pipe.aria.microsoft.com
3.12.45.13,capi.connatix.com
52.179.129.229,arc.msn.com
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
13.107.3.128,config.edge.skype.com
31.13.65.36,www.facebook.com
31.13.65.7,static.xx.fbcdn.net
172.217.6.206,tools.google.com
172.217.6.206,tools.google.com
172.217.6.206,tools.google.com
172.217.11.46,clients4.google.com
52.109.88.37,nexus.officeapps.live.com
172.217.10.238,play.google.com
172.217.11.10,addons-pa.clients6.google.com
172.217.10.234,addons-pa.clients6.google.com
104.84.148.238,sb.scorecardresearch.com
52.36.169.154,api-new.gocashback.com
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
192.16.31.139,www.dota2.com
128.238.155.11,128.238.155.11
128.238.155.11,128.238.155.11
52.179.129.229,arc.msn.com
172.217.7.3,update.googleapis.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
144.76.100.145,easylist-downloads.adblockplus.org
20.36.218.63,settings-win.data.microsoft.com
34.68.125.225,rpc.znly.co
17.134.127.249,gs-loc.apple.com
52.22.137.21,prd-collector-anon.playbuzz.com
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
17.167.194.47,gsp85-ssl.ls.apple.com
31.13.65.36,www.facebook.com
31.13.65.7,static.xx.fbcdn.net
17.178.101.8,p24-mailws.icloud.com
17.178.101.8,p24-mailws.icloud.com
52.179.129.229,arc.msn.com
52.218.244.216,s3-us-west-2.amazonaws.com
52.218.196.58,ubp-common-us-prod.s3.amazonaws.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
192.229.173.16,pbs.twimg.com
192.229.210.163,video.twimg.com
192.229.173.16,pbs.twimg.com
192.229.210.163,video.twimg.com
104.244.42.66,api.twitter.com
35.244.206.129,glbtls.t.co
35.190.90.182,glbtls-na.t.co
209.237.199.128,api-0-4-4.twitter.com
17.57.12.11,gsp64-ssl.ls.apple.com
216.239.36.126,mvm.snapchat.com
35.186.197.135,app-analytics.snapchat.com
35.190.43.134,gcp.api.snapchat.com
17.167.192.128,gs-loc.apple.com
17.167.194.149,gs-loc.apple.com
172.217.197.92,pay.google.com
40.69.221.239,array608.prod.do.dsp.mp.microsoft.com
52.36.169.154,api-new.gocashback.com
69.195.172.128,api-27-0-0.twitter.com
52.114.74.45,v10.events.data.microsoft.com
69.192.108.239,api1.origin.com
172.217.3.110,play.google.com
168.62.24.23,shasta-rrs.symantec.com
52.179.129.229,arc.msn.com
52.71.236.26,msmetrics.ws.sonos.com
172.217.11.46,app-measurement.com
172.217.10.68,www.google.com
23.22.181.213,ss-prod-ue1-notif-27.aws.adobess.com
96.6.22.62,bag.itunes.apple.com
172.217.10.10,play.googleapis.com
172.217.6.234,play.googleapis.com
52.22.137.21,prd-collector-anon.playbuzz.com
