172.217.6.202,fcm.googleapis.com
3.223.250.182,rtm.tnt-ea.com
17.167.194.224,gsp64-ssl.ls.apple.com
17.167.194.224,gsp64-ssl.ls.apple.com
17.167.192.94,gsp85-ssl.ls.apple.com
54.243.120.80,tracking.overwolf.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
31.13.65.7,static.xx.fbcdn.net
52.4.42.220,prd-collector-anon.playbuzz.com
17.167.194.224,gsp64-ssl.ls.apple.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
72.21.91.70,abs.twimg.com
72.21.91.70,abs.twimg.com
72.21.91.70,abs.twimg.com
72.21.91.70,abs.twimg.com
72.21.91.70,abs.twimg.com
72.21.91.70,abs.twimg.com
52.114.132.73,v10.events.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
52.55.206.59,www.netflix.com
13.88.28.53,v10.events.data.microsoft.com
52.179.129.229,arc.msn.com
52.179.129.229,arc.msn.com
35.160.172.35,client-event-reporter.twitch.tv
3.12.45.13,capi.connatix.com
31.13.65.1,www.messenger.com
17.167.194.47,gsp85-ssl.ls.apple.com
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
17.248.187.134,gateway-carry.icloud.com
65.52.198.70,smartscreen-prod.microsoft.com
65.52.198.70,smartscreen-prod.microsoft.com
35.186.224.53,spclient.wg.spotify.com
172.217.12.206,drive.google.com
17.167.192.94,gsp85-ssl.ls.apple.com
17.167.192.225,gsp64-ssl.ls.apple.com
52.72.42.117,spocs.getpocket.com
96.17.65.84,getpocket.cdn.mozilla.net
96.17.64.192,iphone-ld.apple.com
17.167.192.225,gsp64-ssl.ls.apple.com
52.179.129.229,arc.msn.com
172.217.10.238,play.google.com
31.13.65.52,graph.instagram.com
157.255.196.66,access-sngapm.qcloud.com
31.13.65.52,i.instagram.com
52.4.42.220,prd-collector-anon.playbuzz.com
17.248.135.90,gateway.icloud.com
31.13.72.53,scontent-arn2-1.cdninstagram.com
31.13.72.53,scontent-arn2-1.cdninstagram.com
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
17.167.192.94,gsp85-ssl.ls.apple.com
17.167.192.94,gsp85-ssl.ls.apple.com
40.79.65.237,array504.prod.do.dsp.mp.microsoft.com
52.169.123.48,geo.prod.do.dsp.mp.microsoft.com
172.217.9.238,play.google.com
3.92.255.187,app-a05.lp1.npns.srv.nintendo.net
54.173.145.52,receive-lp1.dg.srv.nintendo.net
13.225.230.49,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
96.6.24.65,bcat-topics-lp1.cdn.nintendo.net
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
54.175.59.106,app.lp1.five.nintendo.net
13.225.230.92,api-cache.blizzcon.com
17.167.194.230,gsp64-ssl.ls.apple.com
172.217.11.36,www.google.com
52.55.206.59,www.netflix.com
69.192.108.239,api1.origin.com
69.192.108.239,secure.download.dm.origin.com
69.192.108.239,secure.download.dm.origin.com
69.192.108.239,secure.download.dm.origin.com
35.186.224.53,spclient.wg.spotify.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
52.179.129.229,arc.msn.com
13.225.230.127,broker.lp1.npns.srv.nintendo.net
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
3.19.216.74,capi.connatix.com
3.87.172.170,app-a05.lp1.npns.srv.nintendo.net
17.167.194.47,gsp85-ssl.ls.apple.com
23.78.209.78,www.origin.com
17.253.15.202,mesu.apple.com
172.217.7.3,update.googleapis.com
17.167.192.231,gsp64-ssl.ls.apple.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
