52.33.177.71,test-apis.quantcast.mgr.consensu.org
159.127.42.108,purch-match.dotomi.com
151.101.194.2,trc.taboola.com
3.94.63.211,srv-2020-03-01-17.pixel.parsely.com
34.199.1.149,sync.intentiq.com
104.106.253.215,tags.bluekai.com
35.190.72.21,idsync.rlcdn.com
141.226.224.32,cds.taboola.com
147.75.39.192,loadm.exelator.com
3.229.233.195,sync.crwdcntrl.net
3.225.53.242,i.liadm.com
34.193.175.208,ml314.com
156.154.200.36,aa.agkn.com
38.106.10.132,pxl.connexity.net
3.215.39.43,i6.liadm.com
151.101.130.2,images.taboola.com
151.101.130.2,images.taboola.com
151.101.130.2,images.taboola.com
151.101.130.2,images.taboola.com
151.101.130.2,images.taboola.com
151.101.130.2,images.taboola.com
107.178.254.65,pippio.com
130.211.29.114,cdn.perfdrive.com
172.217.7.2,cm.g.doubleclick.net
185.113.25.53,gizmos.future-price.co.uk
185.113.25.53,widgets.future-fie-assets.co.uk
35.241.15.240,cas.avalon.perfdrive.com
34.234.61.170,assets.purch.com
162.223.54.6,tag.apxlv.com
13.225.230.50,cdn.jwplayer.com
52.6.51.2,tag.cogocast.net
151.101.210.114,ssl.p.jwpcdn.com
99.84.32.17,content.jwplatform.com
172.217.10.234,imasdk.googleapis.com
72.21.81.189,entitlements.jwplayer.com
172.253.63.188,mtalk.google.com
52.206.200.225,ads2.servebom.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
151.101.210.114,g.jwpsrv.com
151.101.210.114,videos-fms.jwpsrv.com
172.217.10.102,s0.2mdn.net
13.33.87.30,static.adsafeprotected.com
104.119.31.240,tags.bkrtx.com
192.35.249.129,js.spotx.tv
172.217.11.33,cdn.ampproject.org
172.217.12.129,tpc.googlesyndication.com
172.217.12.129,tpc.googlesyndication.com
172.217.12.129,tpc.googlesyndication.com
52.0.102.5,ads.celtra.com
151.101.65.194,clarium.global.ssl.fastly.net
151.101.65.194,clarium.global.ssl.fastly.net
18.235.4.134,pixel.adsafeprotected.com
172.217.10.66,pagead2.googlesyndication.com
3.213.246.223,protected-by.clarium.io
3.213.246.223,protected-by.clarium.io
69.192.108.158,aka.spotxcdn.com
172.217.10.66,googleads.g.doubleclick.net
172.217.10.2,partner.googleadservices.com
13.33.87.72,cache-ssl.celtra.com
172.217.10.230,ad.doubleclick.net
52.4.91.75,piazza.com
159.180.84.2,cdn.digitru.st
192.35.249.120,sync.search.spotxchange.com
104.244.36.20,dt.adsafeprotected.com
172.217.10.141,accounts.google.com
104.106.253.215,stags.bluekai.com
185.113.25.54,search-api.fie.future.net.uk
104.244.36.20,dt.adsafeprotected.com
35.186.224.53,spclient.wg.spotify.com
