35.186.224.47,dealer.spotify.com
13.225.230.28,api-cache.blizzcon.com
52.203.212.125,rtm.tnt-ea.com
17.142.171.7,gsp64-ssl.ls.apple.com
35.186.224.53,spclient.wg.spotify.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
52.72.132.159,www.netflix.com
13.225.220.46,l9bjkkhaycw6f8f4.soundcloud.com
172.217.10.234,people-pa.clients6.google.com
104.31.80.149,sponsor.ajay.app
198.148.27.132,ads.contextweb.com
38.134.110.195,ads.stickyadstv.com
38.134.110.195,ads.stickyadstv.com
38.134.110.195,ads.stickyadstv.com
38.134.110.195,ads.stickyadstv.com
38.134.110.195,ads.stickyadstv.com
38.134.110.195,ads.stickyadstv.com
192.35.249.124,search.spotxchange.com
192.35.249.124,search.spotxchange.com
68.67.160.23,ib.adnxs.com
68.67.160.23,ib.adnxs.com
52.204.121.209,h250p-nj545.ads.tremorhub.com
185.86.138.121,www14.smartadserver.com
198.148.27.140,bh.contextweb.com
31.13.65.3,edge-mqtt.facebook.com
31.13.65.1,web.facebook.com
34.224.133.183,acds.prod.vidible.tv
54.146.148.121,trk.vidible.tv
152.199.24.47,dtm.advertising.com
152.199.24.47,dtm.advertising.com
54.146.148.121,trk.vidible.tv
54.146.148.121,trk.vidible.tv
54.146.148.121,trk.vidible.tv
52.203.99.84,log.adaptv.advertising.com
52.203.99.84,log.adaptv.advertising.com
52.203.99.84,log.adaptv.advertising.com
69.147.92.12,s.yimg.com
165.227.102.12,vast.doubleverify.com
74.6.138.192,pr.ybp.yahoo.com
18.214.203.87,service.idsync.analytics.yahoo.com
204.154.111.127,rtb0.doubleverify.com
3.218.90.66,ups.analytics.yahoo.com
204.154.111.127,tps.doubleverify.com
172.217.12.130,pubads.g.doubleclick.net
173.194.185.105,r3---sn-ab5sznle.c.2mdn.net
18.211.234.56,geo.moatads.com
54.83.139.94,mb.moatads.com
96.17.66.14,yahoovpaidtwoint215831825037.s.moatpixel.com
96.17.66.14,yahoovpaidtwoint215831825037.s.moatpixel.com
96.17.66.14,yahoovpaidtwoint215831825037.s.moatpixel.com
96.17.66.14,yahoovpaidtwoint215831825037.s.moatpixel.com
34.236.210.83,s.update.wtag.adaptv.advertising.com
204.154.111.127,tps.doubleverify.com
104.84.148.238,sb.scorecardresearch.com
204.79.197.200,dps.bing.com
151.101.2.2,trc.taboola.com
3.229.163.124,secure-us.imrworldwide.com
104.20.252.85,router.infolinks.com
74.119.119.150,dis.criteo.com
34.233.220.87,conversions.adaptv.advertising.com
34.205.121.232,onevideosync.uplynk.com
204.2.197.211,idpix.media6degrees.com
66.70.164.17,onetag-sys.com
35.186.225.119,public-prod-dspcookiematching.dmxleo.com
54.152.30.174,pixel.advertising.com
34.194.138.67,sync.aniview.com
52.144.45.15,live.sekindo.com
3.224.107.171,exchange.mediavine.com
18.211.206.161,cs.rtb-seller.com
52.73.58.90,sync.springserve.com
209.205.217.82,sync.spotim.market
3.225.110.25,sync.technoratimedia.com
157.230.184.22,openrtb.cootlogix.com
34.236.210.83,s.update.wtag.adaptv.advertising.com
3.218.90.66,ups.analytics.yahoo.com
157.230.184.22,openrtb.cootlogix.com
52.38.43.8,track.eyeviewads.com
209.205.217.82,sync.sync.viewdeos.com
3.218.90.66,ups.analytics.yahoo.com
213.155.156.182,d5p.de17a.com
35.231.41.163,bidder.9mediaonline.com
34.206.105.252,ads.adap.tv
52.1.232.25,pxl.iqm.com
13.225.220.34,api-v2.soundcloud.com
13.225.220.34,api-v2.soundcloud.com
13.225.230.123,i1.sndcdn.com
13.225.230.16,cf-hls-media.sndcdn.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
54.84.32.14,f-log-extension.grammarly.io
35.186.224.53,spclient.wg.spotify.com
13.225.220.46,l9bjkkhaycw6f8f4.soundcloud.com
34.236.91.189,etl.tindersparks.com
13.225.230.43,images-ssl.gotinder.com
13.225.230.43,images-ssl.gotinder.com
40.79.65.235,array502.prod.do.dsp.mp.microsoft.com
69.192.110.94,px.moatads.com
69.192.110.94,px.moatads.com
104.88.7.192,apptrailers-ssl.itunes.apple.com
52.203.99.200,alkutbay.starbolt.io
172.217.10.42,www.googleapis.com
18.215.177.193,api.mangarockhd.com
192.48.236.12,ads.mopub.com
96.6.22.62,itunes.apple.com
13.225.221.230,api.branch.io
13.225.230.26,ow-gateway.supersonicads.com
69.192.110.94,z.moatads.com
31.13.65.1,graph.facebook.com
17.125.249.8,p70-buy.itunes.apple.com
69.147.92.11,data.flurry.com
69.192.110.94,z.moatads.com
104.26.11.82,configs.nabstudio.com
47.89.136.247,net.rayjump.com
47.89.136.247,net.rayjump.com
