172.217.10.238,play.google.com
148.153.64.18,api.vc.bilibili.com
69.192.108.239,api1.origin.com
35.186.224.47,dealer.spotify.com
35.186.224.53,spclient.wg.spotify.com
172.217.10.42,firebasestorage.googleapis.com
52.114.88.28,v10.events.data.microsoft.com
35.186.224.53,spclient.wg.spotify.com
65.52.198.70,smartscreen-prod.microsoft.com
172.217.12.202,remotedesktop-pa.googleapis.com
172.217.12.202,remotedesktop-pa.googleapis.com
52.73.237.45,www.netflix.com
13.225.220.34,api-v2.soundcloud.com
35.186.224.53,spclient.wg.spotify.com
172.217.7.10,play.googleapis.com
198.148.27.132,ads.contextweb.com
38.134.110.170,ads.stickyadstv.com
38.134.110.170,ads.stickyadstv.com
38.134.110.170,ads.stickyadstv.com
38.134.110.170,ads.stickyadstv.com
38.134.110.170,ads.stickyadstv.com
38.134.110.170,ads.stickyadstv.com
192.35.249.124,search.spotxchange.com
192.35.249.124,search.spotxchange.com
68.67.179.154,ib.adnxs.com
68.67.179.154,ib.adnxs.com
52.86.83.182,h250p-nj545.ads.tremorhub.com
185.86.138.79,www14.smartadserver.com
69.192.108.239,api1.origin.com
34.193.54.191,trk.vidible.tv
34.193.54.191,trk.vidible.tv
35.168.89.112,log.adaptv.advertising.com
54.198.62.19,service.idsync.analytics.yahoo.com
104.67.6.93,qa2-origin.acuityplatform.com
3.225.102.19,match.adsrvr.org
74.121.138.88,sync.mathtag.com
69.192.109.125,ssum-sec.casalemedia.com
54.208.15.78,cs.emxdgt.com
209.15.36.32,pixel-sync.sitescout.com
52.45.33.138,ups.analytics.yahoo.com
52.45.33.138,ups.analytics.yahoo.com
52.45.33.138,ups.analytics.yahoo.com
52.45.33.138,ups.analytics.yahoo.com
34.238.196.83,rtr.innovid.com
52.45.33.138,ups.analytics.yahoo.com
52.45.33.138,ups.analytics.yahoo.com
104.193.83.157,csm2waycm-atl.netmng.com
173.231.178.83,cm.adgrx.com
104.16.119.50,auth.riotgames.com
104.16.198.132,entitlements.auth.riotgames.com
104.18.25.250,pas.geo.si.riotgames.com
104.16.198.132,entitlements.auth.riotgames.com
13.225.220.46,l9bjkkhaycw6f8f4.soundcloud.com
52.25.170.114,ekg.riotgames.com
172.217.3.106,wirelessdevicestats.googleapis.com
172.217.3.106,wirelessdevicestats.googleapis.com
35.186.224.53,spclient.wg.spotify.com
38.65.9.35,serve-east.acuityplatform.com
165.254.6.51,steampipe.akamaized.net
165.254.6.51,steampipe.akamaized.net
165.254.6.51,steampipe.akamaized.net
165.254.6.51,steampipe.akamaized.net
13.225.226.153,slack.com
165.254.0.82,opgg-cdn.akamaized.net
13.225.230.17,cdn.exelator.com
195.181.169.2,a1.vdna-assets.com
52.9.24.249,analytics.developer.riotgames.com
107.167.110.211,sitecheck.opera.com
162.159.135.233,discordapp.com
52.40.206.234,www.gradescope.com
172.217.9.229,mail.google.com
172.217.12.142,tools.google.com
172.217.3.106,home-devices.googleapis.com
35.186.224.53,spclient.wg.spotify.com
69.192.108.239,api1.origin.com
52.114.128.43,v10.events.data.microsoft.com
13.225.218.61,d2wy8f7a9ursnm.cloudfront.net
52.40.206.234,www.gradescope.com
52.25.170.114,ekg.riotgames.com
35.186.224.53,spclient.wg.spotify.com
40.90.22.189,login.live.com
52.109.6.5,officeclient.microsoft.com
52.109.6.5,officeclient.microsoft.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
52.109.4.5,mrodevicemgr.officeapps.live.com
40.84.43.40,cs.dds.microsoft.com
204.79.197.200,platform.bing.com
104.16.3.92,na.ledge.leagueoflegends.com
13.225.220.46,l9bjkkhaycw6f8f4.soundcloud.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
52.218.233.17,production-gradescope-uploads.s3-us-west-2.amazonaws.com
52.218.233.17,production-gradescope-uploads.s3-us-west-2.amazonaws.com
52.218.233.17,production-gradescope-uploads.s3-us-west-2.amazonaws.com
52.218.233.17,production-gradescope-uploads.s3-us-west-2.amazonaws.com
52.218.233.17,production-gradescope-uploads.s3-us-west-2.amazonaws.com
52.218.233.17,production-gradescope-uploads.s3-us-west-2.amazonaws.com
35.170.86.102,cognito-identity.us-east-1.amazonaws.com
35.186.224.53,spclient.wg.spotify.com
31.13.65.36,www.facebook.com
31.13.65.7,static.xx.fbcdn.net
52.22.137.21,prd-collector-anon.playbuzz.com
52.113.194.132,config.teams.microsoft.com
