144.217.242.150,pog.frankerfacez.com
31.13.65.36,www.facebook.com
31.13.65.7,static.xx.fbcdn.net
13.225.230.111,api-cache.blizzcon.com
35.186.224.53,spclient.wg.spotify.com
172.217.10.46,i9.ytimg.com
165.254.6.51,steampipe.akamaized.net
165.254.6.51,steampipe.akamaized.net
165.254.6.51,steampipe.akamaized.net
165.254.6.51,steampipe.akamaized.net
172.217.10.234,safebrowsing.googleapis.com
17.253.97.206,mesu.apple.com
35.186.224.47,dealer.spotify.com
172.217.11.46,clients4.google.com
172.217.7.3,update.googleapis.com
17.248.187.143,api.apple-cloudkit.com
107.167.110.211,sitecheck.opera.com
107.167.110.211,sitecheck.opera.com
104.88.1.164,www.origin.com
216.165.78.35,housing.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.78.35,housing.nyu.edu
151.101.192.104,cdn.shopify.com
52.114.77.34,self.events.data.microsoft.com
96.17.64.124,cdn11.bigcommerce.com
104.236.203.61,www.jeffgeerling.com
148.153.38.118,api.vc.bilibili.com
216.165.78.35,housing.nyu.edu
216.165.78.35,housing.nyu.edu
216.165.78.35,housing.nyu.edu
216.165.78.35,housing.nyu.edu
172.217.12.195,beacons.gcp.gvt2.com
172.217.12.195,beacons.gcp.gvt2.com
172.217.11.3,p2-grbfpm3bypbci-3gosr3fwy2amn5vi-if-v6exp3-v4.metric.gstatic.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
13.225.226.153,slack.com
52.114.77.34,v10.events.data.microsoft.com
54.165.246.104,www.netflix.com
172.217.6.238,clients4.google.com
13.225.220.37,l9bjkkhaycw6f8f4.soundcloud.com
3.12.45.13,capi.connatix.com
162.159.135.233,discordapp.com
31.13.65.3,edge-mqtt.facebook.com
31.13.65.1,web.facebook.com
70.37.74.6,smartscreen-prod.microsoft.com
70.37.74.6,smartscreen-prod.microsoft.com
70.37.74.6,smartscreen-prod.microsoft.com
18.205.47.109,prd-collector-anon.playbuzz.com
172.217.10.50,p2-grbfpm3bypbci-3gosr3fwy2amn5vi-106303-i1.unicast.metric.gstatic.com
216.239.32.62,p2-grbfpm3bypbci-3gosr3fwy2amn5vi-106303-i2.stbcast.metric.gstatic.com
59.111.0.200,mumu.nie.netease.com
104.67.12.13,kv601.prod.do.dsp.mp.microsoft.com
20.36.219.28,activity.windows.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
20.36.218.63,settings-win.data.microsoft.com
144.217.180.139,bigcdnjs1.funnyjunk.com
52.177.165.30,client.wns.windows.com
40.90.22.191,login.live.com
172.217.7.3,update.googleapis.com
20.44.82.31,licensing.mp.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
13.107.3.128,config.edge.skype.com
52.109.6.5,officeclient.microsoft.com
23.54.176.133,gspe35-ssl.ls.apple.com
52.109.120.17,nexusrules.officeapps.live.com
52.109.16.2,ols.officeapps.live.com
8.36.80.215,events.gfe.nvidia.com
13.107.3.128,config.edge.skype.com
23.47.222.80,contentstorage.osi.office.net
40.90.22.183,login.live.com
165.254.0.178,templatesmetadata.office.net
52.109.6.6,roaming.officeapps.live.com
52.109.6.6,roaming.officeapps.live.com
35.186.224.53,spclient.wg.spotify.com
17.167.194.230,gsp64-ssl.ls.apple.com
172.217.12.202,addons-pa.clients6.google.com
216.165.47.16,shibboleth.nyu.edu
52.109.12.70,pptsgs.officeapps.live.com
216.165.78.35,housing.nyu.edu
104.17.64.4,cdnjs.cloudflare.com
52.114.88.29,v10.events.data.microsoft.com
