31.13.65.1,web.facebook.com
203.205.255.248,q2.qlogo.cn
148.153.38.118,api.vc.bilibili.com
69.195.179.128,api-24-0-0.twitter.com
203.205.239.158,q3.qlogo.cn
209.237.204.128,api-0-4-8.twitter.com
69.192.108.239,api1.origin.com
203.205.255.248,q4.qlogo.cn
52.4.128.184,www.netflix.com
104.244.36.20,dt.adsafeprotected.com
172.217.6.202,firebasestorage.googleapis.com
107.155.58.98,s1.url.cn
52.73.134.74,locations-prod.tile-api.com
52.0.247.113,push.prod.netflix.com
107.155.58.98,s1.url.cn
20.36.218.63,settings-win.data.microsoft.com
203.205.253.184,sweet.snsapp.qq.com
107.155.58.98,s1.url.cn
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
107.155.58.98,s1.url.cn
107.155.58.98,s1.url.cn
20.36.219.28,activity.windows.com
209.237.195.128,api-0-5-0.twitter.com
107.155.58.98,s1.url.cn
172.217.9.229,mail.google.com
107.155.58.98,s1.url.cn
107.155.58.98,s1.url.cn
172.217.7.10,remotedesktop-pa.googleapis.com
172.217.7.10,remotedesktop-pa.googleapis.com
173.194.68.109,imap.gmail.com
107.155.58.98,s1.url.cn
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
52.114.88.29,v10.events.data.microsoft.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
172.217.10.74,play.googleapis.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
69.192.108.239,api1.origin.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
35.186.224.53,spclient.wg.spotify.com
203.205.235.68,cgi.qqweb.qq.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
35.186.224.47,dealer.spotify.com
203.205.254.167,cgi.find.qq.com
172.253.63.109,imap.gmail.com
216.165.47.12,www.nyu.edu
203.205.235.68,cgi.qqweb.qq.com
52.35.35.175,shavar.services.mozilla.com
172.253.63.109,imap.gmail.com
203.205.254.167,cgi.find.qq.com
172.217.12.142,tools.google.com
172.217.10.234,home-devices.googleapis.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
13.225.230.92,css.isidewith.com
3.224.18.4,receive-lp1.dg.srv.nintendo.net
172.253.63.109,imap.gmail.com
172.217.10.42,www.googleapis.com
172.217.11.36,www.google.com
104.26.10.22,api.getmalus.com
172.217.6.205,accounts.google.com
172.217.12.142,www.google-analytics.com
172.217.10.138,oauthaccountmanager.googleapis.com
104.26.10.22,api.getmalus.com
172.217.6.195,fonts.gstatic.com
172.217.12.202,fonts.googleapis.com
124.156.189.121,ssl.ptlogin2.qq.com
124.156.189.121,ssl.ptlogin2.qq.com
13.107.3.128,config.edge.skype.com
124.156.189.121,ssl.ptlogin2.qq.com
40.116.120.16,officehomeblobs.blob.core.windows.net
172.253.63.109,imap.gmail.com
183.3.225.72,ssl.ptlogin2.mail.qq.com
172.217.3.99,www.gstatic.com
172.217.3.99,www.gstatic.com
172.217.11.35,clientservices.googleapis.com
183.3.225.72,ssl.ptlogin2.mail.qq.com
203.205.219.95,mail.qq.com
203.205.219.95,mail.qq.com
172.253.63.109,imap.gmail.com
172.217.12.203,m.google.com
172.253.63.109,imap.gmail.com
54.186.10.67,ekg.riotgames.com
192.99.103.81,bigcdnjs2.funnyjunk.com
203.205.137.227,js.aq.qq.com
203.205.137.227,js.aq.qq.com
172.217.6.238,clients4.google.com
172.253.63.109,imap.gmail.com
40.79.65.78,array508.prod.do.dsp.mp.microsoft.com
165.254.6.43,steampipe.akamaized.net
165.254.6.43,steampipe.akamaized.net
165.254.6.43,steampipe.akamaized.net
13.225.230.33,desktop.tidal.com
69.192.108.239,api1.origin.com
165.254.6.43,steampipe.akamaized.net
172.217.10.131,ssl.gstatic.com
172.217.10.131,ssl.gstatic.com
172.217.10.234,safebrowsing.googleapis.com
14.18.245.239,wp.mail.qq.com
172.253.122.188,mtalk.google.com
172.217.7.3,update.googleapis.com
172.217.6.193,clients2.googleusercontent.com
23.78.200.179,image.emdeals.michaels.com
23.78.200.179,image.emdeals.michaels.com
23.78.200.179,image.emdeals.michaels.com
23.78.200.179,image.emdeals.michaels.com
13.111.154.117,click.emdeals.michaels.com
23.78.200.179,image.emdeals.michaels.com
23.78.200.179,image.emdeals.michaels.com
18.215.18.117,nova.collect.igodigital.com
52.188.78.106,na5.thunderhead.com
192.0.80.240,cn.gravatar.com
52.188.78.106,na5.thunderhead.com
14.18.245.239,wp.mail.qq.com
52.205.100.189,events-production.tile-api.com
52.114.88.29,v10.events.data.microsoft.com
172.253.63.109,imap.gmail.com
113.96.233.142,stockweb.mail.qq.com
17.253.15.208,mesu.apple.com
17.248.135.238,gateway.icloud.com
150.109.206.38,imgcache.qq.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
54.84.32.14,f-log-extension.grammarly.io
17.248.135.172,gateway.icloud.com
172.217.11.46,google.com
172.217.10.234,safebrowsing.googleapis.com
23.43.168.33,init.itunes.apple.com
165.254.0.65,se2.itunes.apple.com
165.254.0.80,play.itunes.apple.com
17.120.254.33,carrierbundle.itunes.apple.com
