144.76.20.58,notification.adblockplus.org
94.130.73.101,easylist-downloads.adblockplus.org
52.114.128.44,v10.events.data.microsoft.com
13.225.230.16,cf-hls-media.sndcdn.com
115.238.74.251,sdk-log-scdn.yfdts.net
52.20.51.110,www.netflix.com
52.109.12.70,pptsgs.officeapps.live.com
94.130.73.101,easylist-downloads.adblockplus.org
94.130.73.101,easylist-downloads.adblockplus.org
94.130.73.101,easylist-downloads.adblockplus.org
52.114.128.44,v10.events.data.microsoft.com
13.88.23.8,checkappexec.microsoft.com
49.51.65.181,account.sogou.com
49.51.65.181,account.sogou.com
49.51.65.181,account.sogou.com
49.51.65.181,account.sogou.com
148.153.38.118,api.bilibili.com
31.13.65.36,www.facebook.com
34.214.128.159,device.mycloud.com
31.13.65.3,edge-mqtt.facebook.com
31.13.65.1,web.facebook.com
31.13.65.1,web.facebook.com
172.217.11.10,wirelessdevicestats.googleapis.com
172.217.11.10,wirelessdevicestats.googleapis.com
40.69.221.239,array608.prod.do.dsp.mp.microsoft.com
104.31.94.129,www.smashladder.com
52.10.101.255,ekg.riotgames.com
49.51.65.181,account.sogou.com
104.16.1.92,na.ledge.leagueoflegends.com
49.51.65.181,account.sogou.com
31.13.65.1,web.facebook.com
172.217.6.205,accounts.google.com
203.205.219.95,mail.qq.com
165.254.0.106,upos-hz-mirrorakam.akamaized.net
3.85.153.135,kessel-ws.parsecgaming.com
52.179.129.229,arc.msn.com
52.168.20.22,client.teamviewer.com
172.217.10.4,www.google.com
17.253.15.202,mesu.apple.com
31.13.65.3,edge-mqtt.facebook.com
31.13.65.1,web.facebook.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
164.52.33.179,data.bilibili.com
107.20.240.232,ac.duckduckgo.com
148.153.38.118,api.bilibili.com
31.13.65.1,www.messenger.com
164.52.33.179,data.bilibili.com
13.107.246.10,pti.store.microsoft.com
40.84.43.40,cs.dds.microsoft.com
172.217.7.14,clients1.google.com
107.167.110.216,af.opera.com
69.192.108.239,api1.origin.com
31.13.65.1,web.facebook.com
13.225.220.46,l9bjkkhaycw6f8f4.soundcloud.com
69.192.108.239,api1.origin.com
172.217.10.238,play.google.com
31.13.65.3,edge-mqtt.facebook.com
3.17.209.203,capi.connatix.com
165.254.6.51,steampipe.akamaized.net
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
165.254.6.51,steampipe.akamaized.net
165.254.6.51,steampipe.akamaized.net
31.13.65.7,static.xx.fbcdn.net
31.13.65.36,www.facebook.com
47.246.24.225,i1.hdslb.com
47.246.24.226,i0.hdslb.com
165.254.6.51,steampipe.akamaized.net
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
165.254.6.51,steampipe.akamaized.net
148.153.64.18,api.vc.bilibili.com
13.225.230.92,api-cache.blizzcon.com
17.248.187.69,gateway-carry.icloud.com
35.186.224.53,api.spotify.com
40.90.22.188,login.live.com
165.254.49.140,steamcdn-a.akamaihd.net
165.254.49.140,steamcdn-a.akamaihd.net
165.254.49.140,steamcdn-a.akamaihd.net
162.159.134.233,discordapp.com
69.192.108.239,api1.origin.com
130.211.16.53,d.joinhoney.com
162.159.128.232,images-ext-1.discordapp.net
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
13.225.230.122,na.op.gg
13.225.227.2,c.amazon-adsystem.com
165.254.0.82,opgg-cdn.akamaized.net
13.225.230.17,cdn.exelator.com
195.181.169.2,a1.vdna-assets.com
52.9.24.249,analytics.developer.riotgames.com
93.158.134.119,mc.yandex.ru
52.4.42.220,prd-collector-anon.playbuzz.com
52.179.129.229,arc.msn.com
37.228.108.132,autoupdate.geo.opera.com
37.228.108.132,autoupdate.geo.opera.com
148.153.38.118,api.bilibili.com
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
148.153.64.18,www.bilibili.com
148.153.64.18,www.bilibili.com
203.205.179.231,c.gsc.qq.com
47.246.24.226,s1.hdslb.com
150.109.206.115,cdn.ark.qq.com
58.250.136.19,cgi.ark.qq.com
