38.106.23.234,petal.playstone.org
17.248.135.142,gateway.icloud.com
20.44.82.31,licensing.mp.microsoft.com
35.168.198.30,river.data.ea.com
17.248.216.5,p25-keyvalueservice.icloud.com.cn
34.227.0.168,prd-collector-anon.playbuzz.com
23.43.57.144,oneclass.com
104.102.91.104,storecatalogrevocation.storequality.microsoft.com
204.79.197.200,www.bing.com
172.217.12.142,www.google-analytics.com
31.13.65.36,www.facebook.com
172.217.197.155,stats.g.doubleclick.net
172.217.9.229,mail.google.com
172.253.122.109,imap.gmail.com
172.253.122.109,imap.gmail.com
173.194.68.109,smtp.gmail.com
31.13.65.7,static.xx.fbcdn.net
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
173.194.68.109,smtp.gmail.com
31.13.65.7,external-atl3-1.xx.fbcdn.net
13.107.18.11,substrate.office.com
13.107.18.11,substrate.office.com
52.114.128.9,mobile.pipe.aria.microsoft.com
66.254.114.41,www.pornhub.com
66.254.114.38,ads.trafficjunky.net
66.254.114.32,hubt.pornhub.com
130.211.5.208,cdn.mxpnl.com
205.185.208.142,cdn1d-static-shared.phncdn.com
205.185.208.142,di.phncdn.com
66.254.114.38,ads.trafficjunky.net
216.18.168.166,a.adtng.com
205.185.208.142,cdn1d-static-shared.phncdn.com
205.185.208.142,cdn1d-static-shared.phncdn.com
205.185.208.142,cdn1d-static-shared.phncdn.com
66.254.114.41,www.pornhub.com
209.197.3.25,hw-cdn2.adtng.com
205.185.208.85,hw-cdn2.trafficjunky.net
64.210.137.106,ev-h.phncdn.com
205.185.208.142,di.phncdn.com
69.16.175.10,dw.phncdn.com
66.254.114.62,etahub.com
69.16.175.10,dw.phncdn.com
205.185.208.142,cdn1d-static-shared.phncdn.com
205.185.208.142,cdn1d-static-shared.phncdn.com
52.114.32.8,mobile.pipe.aria.microsoft.com
52.114.32.8,mobile.pipe.aria.microsoft.com
24.105.29.76,telemetry-in.battle.net
52.179.129.229,arc.msn.com
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
17.249.121.246,api-glb-nyc.smoot.apple.com
172.217.6.238,clients1.google.com
31.13.65.1,www.messenger.com
23.78.206.142,www.bmwusa.com
23.78.206.142,www.bmwusa.com
151.101.2.217,cdn.speedcurve.com
172.217.3.98,www.googleadservices.com
13.107.21.200,bat.bing.com
52.200.111.173,bmwmini.demdex.net
23.0.224.231,s.btstatic.com
69.192.109.111,assets.adobedtm.com
151.101.1.73,www.bloomberg.com
162.125.19.130,telemetry.dropbox.com
40.90.136.163,skyapi.live.net
23.221.202.56,s.go-mpulse.net
52.206.94.13,dpm.demdex.net
34.234.23.242,sbmwmotor.sc.omtrdc.net
18.188.130.66,s.thebrighttag.com
192.243.250.58,cm.everesttech.net
66.235.147.233,bmwofnorthamericallc.tt.omtrdc.net
66.235.147.233,bmwofnorthamericallc.tt.omtrdc.net
23.221.202.56,c.go-mpulse.net
151.101.250.248,i.scdn.co
104.110.252.252,ct.pinterest.com
172.217.11.36,www.google.com
151.101.130.217,browser.sentry-cdn.com
13.225.211.200,js.adsrvr.org
72.21.206.140,s.amazon-adsystem.com
13.226.36.166,d1cerpgff739r9.cloudfront.net
151.101.2.109,pt.ispot.tv
31.13.65.7,connect.facebook.net
35.167.219.70,insight.adsrvr.org
23.15.93.155,secure-ds.serving-sys.com
151.101.66.217,lux.speedcurve.com
23.60.68.89,trial-eum-clientnsv4-s.akamaihd.net
66.110.98.66,trial-eum-clienttons-s.akamaihd.net
23.15.93.155,secure-ds.serving-sys.com
172.217.7.10,play.googleapis.com
66.110.98.58,128-238-155-37_s-66-110-98-66_ts-1583109354-clienttons-s.akamaihd.net
23.196.188.131,c1.rfihub.net
50.116.194.21,r.turn.com
34.236.165.152,match.adsrvr.org
23.60.68.75,qdxjwjixhrcfsxs4ktva-pltwo0-2b3107250-clientnsv4-s.akamaihd.net
50.116.194.21,r.turn.com
198.8.70.129,a.rfihub.com
208.185.50.90,pixel.rubiconproject.com
13.226.29.201,d1eoo1tco6rr5e.cloudfront.net
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
198.8.70.129,20764030p.rfihub.com
45.57.90.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
107.21.17.118,www.netflix.com
63.241.108.104,bs.serving-sys.com
172.217.10.226,cm.g.doubleclick.net
68.67.179.154,ib.adnxs.com
23.10.89.229,stags.bluekai.com
69.192.109.125,dsum-sec.casalemedia.com
52.206.94.13,dpm.demdex.net
3.220.165.243,pixel.advertising.com
96.17.64.29,contextual.media.net
69.147.92.12,ads.yahoo.com
100.25.233.129,x.dlx.addthis.com
192.35.249.120,sync.search.spotxchange.com
107.23.102.13,partners.tremorhub.com
34.194.131.14,beacon.krxd.net
63.251.88.56,aa.agkn.com
151.101.2.49,sync-tm.everesttech.net
3.214.13.22,bpi.rtactivate.com
35.211.114.141,x.bidswitch.net
34.232.154.91,soma.smaato.net
34.208.178.19,live.rezync.com
198.8.70.129,20738914p.rfihub.com
198.8.70.129,p.rfihub.com
198.8.70.129,p.rfihub.com
198.8.70.129,p.rfihub.com
198.8.70.129,p.rfihub.com
107.178.254.65,pippio.com
198.8.70.129,a.rfihub.com
20.36.218.63,settings-win.data.microsoft.com
23.78.206.142,www.bmwusa.com
52.109.12.24,nexus.officeapps.live.com
74.125.192.108,imap.gmail.com
151.101.2.110,cdn.evbstatic.com
18.235.224.167,www.eventbrite.com
18.235.224.167,www.eventbrite.com
40.97.190.2,outlook.office365.com
52.96.32.2,outlook.office365.com
104.17.186.177,api-v3.tinypass.com
34.204.32.255,srv-2020-02-29-02.pixel.parsely.com
35.190.62.200,events.bouncex.net
74.119.119.149,csm.va.us.criteo.net
104.244.37.20,dt.adsafeprotected.com
172.217.12.130,securepubads.g.doubleclick.net
108.177.120.94,csi.gstatic.com
120.92.218.109,api.vc.bilibili.com
17.248.187.205,gateway.icloud.com
20.36.218.208,presence-heartbeat.xboxlive.com
96.17.66.14,nbcudisplay.s.moatpixel.com
23.20.19.72,m.dlx.addthis.com
13.226.39.72,tagan.adlightning.com
172.217.12.166,s0.2mdn.net
69.192.110.94,z.moatads.com
96.17.64.132,cdn.doubleverify.com
52.96.87.226,outlook.office365.com
69.192.110.94,px.moatads.com
23.221.202.56,173c5b06.akstat.io
34.234.23.242,sbmwmotor.sc.omtrdc.net
172.217.197.156,stats.g.doubleclick.net
17.137.163.2,humb.apple.com
23.202.38.73,sb.scorecardresearch.com
172.217.10.129,tpc.googlesyndication.com
96.17.66.14,nbcudisplay.s.moatpixel.com
23.20.19.72,m.dlx.addthis.com
23.20.19.72,m.dlx.addthis.com
204.154.111.145,tps30.doubleverify.com
66.254.114.62,etahub.com
96.17.66.14,nbcudisplay.s.moatpixel.com
17.248.187.205,gateway.icloud.com
172.217.10.131,fonts.gstatic.com
172.217.12.202,fonts.googleapis.com
17.154.66.73,p29-buy.itunes.apple.com
204.154.111.142,tps10214.doubleverify.com
104.16.3.92,na.ledge.leagueoflegends.com
13.107.3.128,config.edge.skype.com
172.217.9.229,mail.google.com
69.16.175.10,dw.phncdn.com
171.161.207.44,tilt.bankofamerica.com
20.36.218.63,settings-win.data.microsoft.com
17.248.135.47,p31-fmfmobile.icloud.com
23.196.177.40,content-system.gog.com
69.16.175.10,dw.phncdn.com
23.192.18.217,itunes.apple.com
69.16.175.10,dw.phncdn.com
69.16.175.10,dw.phncdn.com
172.217.6.193,s2.googleusercontent.com
31.13.66.35,www.facebook.com
198.8.70.129,a.rfihub.com
52.72.244.150,srv-2020-03-01-23.pixel.parsely.com
13.226.210.171,d3cv4a9a9wh0bt.cloudfront.net
40.67.188.15,presence-heartbeat.xboxlive.com
104.17.168.30,downloads.nordcdn.com
17.253.97.207,c.apple.news
165.254.0.83,weather-data.apple.com
165.254.0.83,weather-data.apple.com
66.254.114.41,www.pornhub.com
205.185.208.142,di.phncdn.com
205.185.208.142,di.phncdn.com
205.185.208.142,di.phncdn.com
205.185.208.142,di.phncdn.com
205.185.208.142,di.phncdn.com
205.185.208.142,di.phncdn.com
66.254.114.38,ads.trafficjunky.net
66.254.114.38,ads.trafficjunky.net
66.254.114.38,ads.trafficjunky.net
216.18.168.166,a.adtng.com
209.197.3.25,hw-cdn2.adtng.com
66.254.114.41,www.pornhub.com
192.99.16.132,www.yterxv.com
205.185.216.42,www.imglnkd.com
107.178.242.109,t.frtyn.com
34.232.27.114,v.vfghc.com
205.185.208.142,di.phncdn.com
205.185.208.142,di.phncdn.com
20.36.219.28,activity.windows.com
162.159.130.232,media.discordapp.net
69.192.110.94,px.moatads.com
52.45.62.37,srv-2020-03-01-23.pixel.parsely.com
204.154.111.142,tps10214.doubleverify.com
23.78.208.225,www.cnbc.com
104.244.37.20,dt.adsafeprotected.com
172.217.12.130,pagead2.googlesyndication.com
23.78.200.111,static-redesign.cnbcfm.com
104.17.147.7,track.wikibuy.com
104.17.147.7,wikibuy.com
104.17.184.177,dashboard.tinypass.com
23.221.201.164,mps.cnbc.com
69.192.108.168,fm.cnbc.com
96.6.25.233,surf.nbcuni.com
69.192.109.125,js-sec.indexww.com
104.17.183.177,cdn.tinypass.com
52.71.97.80,st.dynamicyield.com
23.21.136.36,usasync01.admantx.com
209.234.224.18,ad.wsod.com
35.244.144.168,tag.bounceexchange.com
96.6.25.233,mps.nbcuni.com
13.225.212.45,ak.sail-horizon.com
192.184.68.246,pixel.quantserve.com
104.24.104.190,api.96ba816c4a353953b8361486095b2ff793610164.com
13.225.70.217,c.amazon-adsystem.com
3.219.244.74,osimg.nbcuni.com
52.206.94.13,nbcu.demdex.net
162.208.117.47,api.sail-track.com
162.208.117.45,api.sail-personalize.com
34.231.75.255,nbcu.demdex.net
162.208.117.45,api.sail-personalize.com
162.208.117.47,api.sail-track.com
34.200.112.171,srv-2020-03-02-00.config.parsely.com
104.17.182.177,experience.tinypass.com
107.21.26.134,async-px.dynamicyield.com
172.217.6.200,ssl.google-analytics.com
74.119.119.139,gum.criteo.com
69.28.62.188,chassis-cdn.appcloudcdn.com
69.28.62.188,app-cdn.2q10.com
13.226.25.248,c.amazon-adsystem.com
96.6.25.233,pix.nbcuni.com
34.204.32.255,srv-2020-03-02-00.pixel.parsely.com
35.186.249.84,acidpigs.com
35.227.229.34,api.bounceexchange.com
104.19.248.126,static.polarcdn.com
31.13.65.36,www.facebook.com
35.190.62.200,events.bouncex.net
104.17.192.78,polarcdn-pentos.com
104.17.221.15,bw-prod.plrsrvcs.com
13.225.210.32,d3i4yxtzktqr9n.cloudfront.net
17.56.48.13,query.ess.apple.com
104.17.65.50,polarcdn-terrax.com
17.248.187.200,gateway.icloud.com
104.17.65.50,polarcdn-terrax.com
34.232.170.197,api.parsely.com
52.179.129.229,arc.msn.com
3.135.175.54,geo.moatads.com
66.254.114.62,etahub.com
54.83.139.94,mb.moatads.com
96.17.66.14,nbcudisplay.s.moatpixel.com
96.17.66.14,nbcudisplay.s.moatpixel.com
23.20.19.72,m.dlx.addthis.com
23.20.19.72,m.dlx.addthis.com
208.80.154.224,en.wikipedia.org
208.80.154.240,upload.wikimedia.org
17.249.105.246,api.smoot.apple.com
151.101.204.193,i.imgur.com
96.6.24.89,xp.apple.com
23.60.68.88,play.itunes.apple.com
104.18.33.108,platform.iteratehq.com
104.18.32.108,iteratehq.com
23.211.233.71,use.typekit.net
35.186.249.84,acidpigs.com
104.17.209.9,api.golinkapi.com
162.208.117.47,api.sail-track.com
162.208.117.45,api.sail-personalize.com
162.208.117.45,api.sail-personalize.com
141.226.224.32,cds.taboola.com
35.172.45.252,pixel.adsafeprotected.com
13.225.212.24,static.adsafeprotected.com
69.192.109.115,secure.insightexpressai.com
205.185.208.142,di.phncdn.com
13.64.188.245,wdcp.microsoft.com
52.114.6.46,browser.pipe.aria.microsoft.com
52.109.6.6,roaming.officeapps.live.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
172.217.12.142,www.google-analytics.com
172.217.11.33,ci5.googleusercontent.com
172.217.11.42,people-pa.clients6.google.com
172.217.6.193,lh3.googleusercontent.com
24.105.29.76,telemetry-in.battle.net
172.217.12.197,mail.google.com
172.217.9.229,mail.google.com
3.214.154.203,datarouter.ol.epicgames.com
31.13.65.7,static.xx.fbcdn.net
31.13.65.7,external-atl3-1.xx.fbcdn.net
59.111.0.200,mumu.nie.netease.com
165.254.49.140,steamcdn-a.akamaihd.net
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
35.164.116.34,ekg.riotgames.com
13.225.210.120,d3cv4a9a9wh0bt.cloudfront.net
13.225.210.177,d3cv4a9a9wh0bt.cloudfront.net
52.179.129.229,arc.msn.com
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
13.107.3.128,edge.skype.com
40.90.22.189,login.live.com
45.57.90.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
35.168.183.177,www.netflix.com
13.107.3.128,edge.skype.com
52.114.142.67,api.asm.skype.com
52.114.77.28,prod.registrar.skype.com
13.225.206.153,slack.com
52.114.158.92,mobile.pipe.aria.microsoft.com
172.253.122.108,imap.gmail.com
17.248.187.200,gateway.icloud.com
52.22.137.21,prd-collector-anon.playbuzz.com
40.79.65.235,array502.prod.do.dsp.mp.microsoft.com
13.78.179.199,geo.prod.do.dsp.mp.microsoft.com
17.248.187.141,p27-ckdatabase.icloud.com
52.3.117.36,rtm.tnt-ea.com
172.217.10.131,fonts.gstatic.com
172.217.12.202,fonts.googleapis.com
52.109.12.25,mrodevicemgr.officeapps.live.com
52.96.87.226,outlook.office365.com
52.96.69.2,outlook.office365.com
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
