40.90.136.163,windows.policies.live.net
52.23.34.102,na1e-acc.services.adobe.com
40.90.22.185,login.live.com
104.17.209.9,api.golinkapi.com
104.17.209.9,api.golinkapi.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
52.218.232.10,ubp-common-us-prod.s3.amazonaws.com
72.21.81.200,onecs-live.azureedge.net
204.79.197.200,www.bing.com
120.92.218.109,api.vc.bilibili.com
120.92.218.109,api.vc.bilibili.com
104.16.9.61,www.peertransfer.com
198.187.196.25,secure.touchnet.com
198.187.196.25,secure.touchnet.com
198.187.196.25,secure.touchnet.com
198.187.196.25,secure.touchnet.com
198.187.196.25,secure.touchnet.com
130.211.16.53,d.joinhoney.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
52.6.252.13,river.data.ea.com
23.221.200.117,iphone-ld.apple.com
190.2.138.19,fantasy.hlssrv.com
65.55.44.109,vortex.data.microsoft.com
162.159.130.233,discordapp.com
172.217.9.229,mail.google.com
20.36.218.208,presence-heartbeat.xboxlive.com
52.114.132.73,v10.events.data.microsoft.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
65.55.44.109,vortex.data.microsoft.com
216.98.62.72,msr-public-ubiservices.ubi.com
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
31.13.65.7,static.xx.fbcdn.net
35.160.15.72,ekg.riotgames.com
52.114.32.8,mobile.pipe.aria.microsoft.com
52.114.32.8,mobile.pipe.aria.microsoft.com
172.217.9.229,mail.google.com
24.105.29.76,telemetry-in.battle.net
172.217.10.238,support.google.com
172.217.10.238,support.google.com
70.37.74.6,checkappexec.microsoft.com
172.217.10.74,scone-pa.clients6.google.com
172.217.12.170,realtimesupport.clients6.google.com
31.13.71.36,www.facebook.com
172.217.9.228,www.google.com
190.2.138.19,fantasy.hlssrv.com
8.36.80.192,events.gfe.nvidia.com
172.217.10.74,wirelessdevicestats.googleapis.com
172.217.10.74,wirelessdevicestats.googleapis.com
52.179.129.229,arc.msn.com
45.57.91.1,assets.nflxext.com
