23.192.17.167,configuration.ls.apple.com
17.253.15.201,mesu.apple.com
17.174.1.5,guzzoni.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
23.192.18.217,itunes.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
52.179.129.229,arc.msn.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
65.55.44.109,vortex.data.microsoft.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
23.192.18.217,init.itunes.apple.com
17.253.15.201,mesu.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
31.13.65.1,www.messenger.com
17.249.121.246,api-glb-nyc.smoot.apple.com
172.217.10.42,www.googleapis.com
17.249.121.246,api-glb-nyc.smoot.apple.com
172.217.10.42,www.googleapis.com
17.248.187.204,p48-contacts.icloud.com
17.249.121.246,api-glb-nyc.smoot.apple.com
172.217.10.238,play.google.com
17.174.1.5,guzzoni.apple.com
173.194.204.109,imap.gmail.com
173.194.204.109,imap.gmail.com
104.100.235.52,api.gog.com
104.100.235.52,gameplay.gog.com
104.100.235.52,gameplay.gog.com
104.100.235.52,gameplay.gog.com
104.100.235.52,gameplay.gog.com
23.221.200.12,gameplay.intel.com
104.100.235.52,api.gog.com
104.100.235.52,content-system.gog.com
162.159.135.233,discordapp.com
31.13.65.52,graph.instagram.com
104.100.235.52,content-system.gog.com
104.100.235.52,api.gog.com
104.100.235.52,cdn-api.gog.com
104.100.235.52,presence.gog.com
144.217.224.38,cdn-edge-2j-bhs-ca-ovh.gogcdn.net
104.100.235.52,content-system.gog.com
40.118.235.113,ipm-klca.kaspersky.com
40.118.235.113,ipmcloud.kaspersky.com
4.59.181.141,refresh-bkg.activation-v2.kaspersky.com
192.229.210.97,cdn.gog.com
172.217.11.46,clients4.google.com
104.100.235.52,content-system.gog.com
17.142.169.200,gsp64-ssl.ls.apple.com
192.229.210.97,cdn.gog.com
104.100.235.52,content-system.gog.com
192.229.210.97,cdn.gog.com
104.100.235.52,content-system.gog.com
31.13.65.3,edge-mqtt.facebook.com
128.238.155.11,128.238.155.11
17.173.66.102,p59-buy.itunes.apple.com
17.248.135.109,gateway-carry.icloud.com
192.229.210.97,cdn.gog.com
13.107.42.12,ch3301.storage.live.com
104.100.235.52,content-system.gog.com
13.107.42.12,api.onedrive.com
128.116.112.44,users.roblox.com
192.229.210.97,cdn.gog.com
40.77.224.11,skydrivesync.policies.live.net
128.238.155.11,128.238.155.11
13.225.69.153,slack.com
13.107.42.12,ch3301.storage.live.com
13.107.42.12,ch3301.storage.live.com
52.176.224.96,onedriveclucproddm20003.blob.core.windows.net
193.182.15.115,audio-sp-dca.spotifycdn.net
52.114.88.29,mobile.pipe.aria.microsoft.com
52.114.88.29,mobile.pipe.aria.microsoft.com
17.167.192.225,gsp64-ssl.ls.apple.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
172.217.12.202,fonts.googleapis.com
172.217.10.131,fonts.gstatic.com
172.217.12.142,www.youtube.com
52.114.158.50,mobile.pipe.aria.microsoft.com
52.114.158.50,mobile.pipe.aria.microsoft.com
52.179.129.229,arc.msn.com
216.98.62.46,msr-public-ubiservices.ubi.com
172.217.6.193,apidata.googleusercontent.com
172.217.6.193,apidata.googleusercontent.com
172.217.6.193,apidata.googleusercontent.com
172.217.11.36,www.google.com
172.217.11.36,www.google.com
172.217.11.36,www.google.com
172.217.6.205,accounts.google.com
