192.124.249.11,twist.moe
52.109.120.23,nexus.officeapps.live.com
140.82.113.4,github.com
140.82.113.4,github.com
20.36.218.63,settings.data.microsoft.com
52.179.129.229,arc.msn.com
203.205.136.105,pub.idqqimg.com
31.13.65.1,www.messenger.com
172.217.9.229,mail.google.com
203.205.136.105,pub.idqqimg.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
107.167.110.211,af.opera.com
52.21.13.19,datarouter.ol.epicgames.com
35.186.224.47,dealer.spotify.com
198.41.30.195,help.eclipse.org
198.41.30.195,help.eclipse.org
198.41.30.195,help.eclipse.org
198.41.30.195,help.eclipse.org
198.41.30.195,help.eclipse.org
198.41.30.195,help.eclipse.org
52.109.6.6,roaming.officeapps.live.com
52.114.128.10,v10.events.data.microsoft.com
96.115.198.242,xtvapi.cloudtv.comcast.net
198.41.30.195,help.eclipse.org
20.44.121.140,ims-prod06.adobelogin.com
34.233.139.100,lcs-ulecs.adobe.io
45.57.91.1,codex.nflxext.com
54.173.169.115,www.netflix.com
211.234.127.21,logs.81plug.com
52.36.169.154,api-new.gocashback.com
52.36.169.154,api-new.gocashback.com
122.228.77.82,api.vc.bilibili.com
104.17.209.9,api.golinkapi.com
52.4.42.220,prd-collector-anon.playbuzz.com
162.159.133.233,discordapp.com
151.101.193.69,stackoverflow.com
151.101.65.69,cdn.sstatic.net
141.226.224.32,cds.taboola.com
192.0.73.2,www.gravatar.com
104.16.29.34,i.stack.imgur.com
104.16.249.48,dota2lounge.com
192.184.68.215,secure.quantserve.com
141.226.224.32,cds.taboola.com
151.101.66.49,15.taboola.com
104.93.160.102,sb.scorecardresearch.com
69.192.108.239,api1.origin.com
13.225.62.117,rules.quantcount.com
192.184.68.235,pixel.quantserve.com
151.101.2.49,imprchmp.taboola.com
3.219.244.74,osimg.nbcuni.com
52.23.116.187,match.adsrvr.org
3.220.165.243,pixel.advertising.com
216.200.232.221,sync.mathtag.com
192.35.249.124,search.spotxchange.com
192.35.249.124,search.spotxchange.com
172.217.10.129,geo0.ggpht.com
172.217.10.110,hangouts.google.com
172.217.12.170,play.googleapis.com
172.217.12.138,people-pa.clients6.google.com
172.217.6.238,clients6.google.com
172.217.10.138,chat-pa.clients6.google.com
172.217.10.10,people-pa.clients6.google.com
172.217.6.238,clients6.google.com
172.217.11.42,chat-pa.clients6.google.com
172.217.9.246,i.ytimg.com
172.217.9.246,i.ytimg.com
174.138.51.131,onemanhattansquare.com
74.125.174.135,r1---sn-ab5sznl7.googlevideo.com
74.125.174.135,r1---sn-ab5sznl7.googlevideo.com
174.138.51.131,onemanhattansquare.com
174.138.51.131,onemanhattansquare.com
174.138.51.131,onemanhattansquare.com
174.138.51.131,onemanhattansquare.com
174.138.51.131,onemanhattansquare.com
31.13.65.7,connect.facebook.net
172.217.12.198,6141201.fls.doubleclick.net
38.68.201.139,mpp.mxptint.net
34.193.184.144,dpm.demdex.net
52.73.145.140,insight.adsrvr.org
151.101.2.49,opps.taboola.com
54.173.202.101,usermatch.krxd.net
54.209.235.67,match.adsrvr.org
50.57.31.206,uipglob.semasio.net
34.226.29.7,beacon.krxd.net
192.35.249.124,search.spotxchange.com
96.6.24.64,us-prof.np.community.playstation.net
209.197.3.15,maxcdn.bootstrapcdn.com
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
23.78.97.156,go.microsoft.com
52.114.132.73,v10.events.data.microsoft.com
20.36.219.28,activity.windows.com
13.248.131.92,metrics-collector.s-onetag.com
78.46.39.215,easylist-downloads.adblockplus.org
78.46.39.215,easylist-downloads.adblockplus.org
95.216.14.30,notification.adblockplus.org
180.97.8.120,q1.qlogo.cn
216.165.47.12,www.nyu.edu
13.225.210.76,d3cv4a9a9wh0bt.cloudfront.net
162.159.129.233,discordapp.com
172.253.122.109,imap.gmail.com
172.253.122.109,imap.gmail.com
23.78.68.88,presence.gog.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
52.179.129.229,arc.msn.com
104.193.90.88,ss1.bdstatic.com
130.211.26.229,s.joinhoney.com
104.193.88.91,dss1.bdstatic.com
172.217.10.42,signaler-pa.clients6.google.com
104.193.88.77,www.baidu.com
104.193.88.77,www.baidu.com
