20.36.218.63,settings-win.data.microsoft.com
52.204.41.15,datarouter.ol.epicgames.com
38.106.231.204,osfsr.lenovomm.com
128.116.112.44,games.roblox.com
52.109.6.5,officeclient.microsoft.com
40.84.43.40,cs.dds.microsoft.com
52.109.6.5,officeclient.microsoft.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
23.60.68.89,steamcommunity-a.akamaihd.net
23.60.68.89,steamcommunity-a.akamaihd.net
159.153.190.222,proxy.novafusion.ea.com
104.110.218.195,steamcommunity.com
23.43.59.210,steamcdn-a.akamaihd.net
104.77.69.164,api.steampowered.com
172.217.3.106,safebrowsing.googleapis.com
13.225.210.120,d3cv4a9a9wh0bt.cloudfront.net
34.232.15.246,river.data.ea.com
128.116.112.44,users.roblox.com
52.179.129.229,arc.msn.com
172.217.10.238,play.google.com
149.56.126.49,funnyjunk.com
159.153.190.222,proxy.novafusion.ea.com
31.13.65.52,graph.instagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
96.115.198.115,xtvapi.cloudtv.comcast.net
172.217.9.228,www.google.com
13.225.62.15,abc7ny.com
151.139.237.32,embed-prod.vemba.io
13.225.212.57,assets-cdn.abcotvs.net
192.229.210.181,storage.uplynk.com
192.229.210.181,storage.uplynk.com
104.244.37.20,dt.adsafeprotected.com
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
52.218.241.88,s3-us-west-2.amazonaws.com
172.217.197.189,20.client-channel.google.com
45.57.90.1,codex.nflxext.com
54.85.175.142,www.netflix.com
52.218.252.123,ubp-common-us-prod.s3.amazonaws.com
67.231.154.66,urldefense.proofpoint.com
34.205.126.7,www.eventbrite.com
151.101.1.169,img.evbuc.com
151.101.2.110,cdn.evbstatic.com
151.101.2.110,cdn.evbstatic.com
151.101.2.110,cdn.evbstatic.com
151.101.2.110,cdn.evbstatic.com
151.101.2.110,cdn.evbstatic.com
151.101.2.110,cdn.evbstatic.com
13.225.63.38,d2wy8f7a9ursnm.cloudfront.net
35.190.88.7,sessions.bugsnag.com
34.232.15.246,river.data.ea.com
104.18.15.176,s.pinimg.com
151.101.2.2,cdn.taboola.com
54.87.59.254,api.clearbrain.com
172.217.3.110,maps.google.com
141.226.224.32,cds.taboola.com
104.110.252.252,ct.pinterest.com
34.205.126.7,www.eventbrite.com
31.13.65.7,connect.facebook.net
172.217.10.234,safebrowsing.googleapis.com
104.112.10.99,as-sec.casalemedia.com
68.67.179.133,secure.adnxs.com
74.119.119.151,bidder.criteo.com
35.211.168.6,sofia.trustx.org
68.67.160.23,secure.adnxs.com
17.248.135.206,gateway.icloud.com
23.221.203.181,as-sec.casalemedia.com
17.253.15.204,mesu.apple.com
172.217.6.226,ade.googlesyndication.com
13.225.62.117,d.agkn.com
13.225.212.85,secure-gl.imrworldwide.com
13.226.39.13,choices.truste.com
69.192.110.94,z.moatads.com
209.204.233.116,a3544.casalemedia.com
209.15.224.17,use-tor.adsrvr.org
35.167.219.70,insight.adsrvr.org
172.217.6.238,clients3.google.com
23.221.201.161,sejs.moatads.com
107.21.192.234,pixel.moatads.com
172.217.10.129,tpc.googlesyndication.com
17.154.66.155,p25-buy.itunes.apple.com
162.159.130.234,gateway.discord.gg
162.159.134.233,discordapp.com
96.17.66.14,nbcudisplay.s.moatpixel.com
96.17.66.14,nbcudisplay.s.moatpixel.com
18.232.223.28,m.dlx.addthis.com
