17.248.187.137,api.apple-cloudkit.com
68.67.160.184,ib.adnxs.com
68.67.160.184,ib.adnxs.com
134.209.129.254,e.serverbid.com
63.251.114.137,ap.lijit.com
69.192.109.125,as-sec.casalemedia.com
34.197.222.17,btlr.sharethrough.com
68.67.160.184,ib.adnxs.com
63.251.114.137,ap.lijit.com
68.67.160.184,ib.adnxs.com
69.192.109.125,as-sec.casalemedia.com
34.197.222.17,btlr.sharethrough.com
31.13.65.36,www.facebook.com
63.251.114.137,ap.lijit.com
69.192.109.125,as-sec.casalemedia.com
18.212.174.171,c.deployads.com
68.67.160.184,ib.adnxs.com
34.197.222.17,btlr.sharethrough.com
63.251.114.137,ap.lijit.com
69.192.109.125,as-sec.casalemedia.com
34.197.222.17,btlr.sharethrough.com
134.209.129.254,sync.serverbid.com
104.17.119.107,biddr.brealtime.com
70.42.32.63,b1sync.zemanta.com
198.148.27.140,bh.contextweb.com
209.15.36.31,pixel-sync.sitescout.com
192.132.33.46,bttrack.com
35.153.223.8,match.sharethrough.com
68.67.179.133,secure.adnxs.com
50.16.38.94,sync.srv.stackadapt.com
52.45.33.138,ups.analytics.yahoo.com
199.127.207.6,sync.1rx.io
70.42.32.63,sync.outbrain.com
52.254.129.149,beacon.walmart.com
202.241.208.100,tg.socdm.com
52.4.1.167,datarouter.ol.epicgames.com
52.254.129.149,beacon.walmart.com
52.254.129.149,beacon.walmart.com
52.254.129.149,beacon.walmart.com
52.254.129.149,beacon.walmart.com
52.254.129.149,beacon.walmart.com
151.101.1.194,clarium.global.ssl.fastly.net
13.226.39.99,c.gumgum.com
68.67.181.202,nym1-ib.adnxs.com
23.221.201.252,s.adroll.com
23.221.201.252,s.adroll.com
52.2.255.14,apn-winners-us-east-1-rtb.adroll.com
13.226.39.108,js.gumgum.com
18.215.61.169,d.adroll.com
23.221.201.252,s.adroll.com
176.32.98.109,aan.amazon.com
199.250.160.129,usw-ca2.adsrvr.org
209.191.163.209,vap3sfo1.lijit.com
13.225.62.55,aba.gumgum.com
13.225.212.19,gumgum.com
138.201.63.157,ad.ad-srv.net
34.231.58.45,va-g2.gumgum.com
176.32.98.109,aan.amazon.com
54.156.10.4,s.update.wo.gumgum.com
52.46.157.171,aax-us-east.amazon-adsystem.com
13.225.62.55,aba.gumgum.com
50.115.92.11,use-va1.adsrvr.org
54.156.10.4,s.update.wo.gumgum.com
23.10.103.249,c.betrad.com
138.201.63.157,ad.ad-srv.net
172.217.11.37,mail.google.com
104.109.62.250,c.evidon.com
52.206.210.43,l.betrad.com
138.201.63.117,ad3.ad-srv.net
136.243.54.217,ad35.ad-srv.net
138.201.63.117,ad3.ad-srv.net
63.251.114.137,ap.lijit.com
162.223.54.6,sovrn.apxlv.com
23.92.190.74,ce.lijit.com
63.251.88.56,aa.agkn.com
34.198.48.188,api.intentiq.com
63.251.114.137,ap.lijit.com
34.233.13.129,dx.bigsea.weborama.com
136.243.54.217,ad35.ad-srv.net
23.92.190.74,ce.lijit.com
23.92.190.74,ce.lijit.com
18.191.0.93,s.thebrighttag.com
63.251.88.56,aa.agkn.com
40.117.168.241,bc.ixiaa.com
52.55.144.0,ps.eyeota.net
24.105.29.76,telemetry-in.battle.net
23.221.200.236,asset.swarovski.com
23.10.89.229,tags.bluekai.com
52.254.129.149,beacon.walmart.com
203.205.137.12,d.url.cn
58.222.35.205,api.vc.bilibili.com
203.205.137.12,d.url.cn
52.114.132.74,v10.events.data.microsoft.com
203.205.137.12,d.url.cn
52.46.157.171,aax-us-east.amazon-adsystem.com
40.119.2.214,settings-win.data.microsoft.com
59.111.239.62,httpdns.n.netease.com
52.250.1.227,aoe-api.reliclink.com
20.36.219.28,activity.windows.com
52.114.132.22,v20.events.data.microsoft.com
203.205.158.52,hbd.url.cn
31.13.65.7,scontent.xx.fbcdn.net
203.205.137.232,sqimg.qq.com
17.167.192.94,gsp85-ssl.ls.apple.com
52.109.6.6,roaming.officeapps.live.com
54.156.10.4,s.update.wo.gumgum.com
151.101.0.207,www.urbandictionary.com
104.17.65.4,cdnjs.cloudflare.com
13.226.39.101,desktop.tidal.com
63.251.114.137,ap.lijit.com
68.67.178.10,ib.adnxs.com
52.71.59.128,btlr.sharethrough.com
52.71.59.128,btlr.sharethrough.com
63.251.114.137,ap.lijit.com
68.67.178.10,ib.adnxs.com
68.67.178.10,ib.adnxs.com
23.221.203.181,as-sec.casalemedia.com
23.221.203.181,as-sec.casalemedia.com
63.251.114.137,ap.lijit.com
23.221.203.181,as-sec.casalemedia.com
52.71.59.128,btlr.sharethrough.com
23.221.203.181,as-sec.casalemedia.com
68.67.178.10,ib.adnxs.com
63.251.114.137,ap.lijit.com
52.71.59.128,btlr.sharethrough.com
17.57.12.11,gsp64-ssl.ls.apple.com
104.17.120.107,biddr.brealtime.com
52.55.4.67,sync.srv.stackadapt.com
198.148.27.139,bh.contextweb.com
192.132.33.46,bttrack.com
52.4.241.231,match.sharethrough.com
64.202.112.95,b1sync.zemanta.com
199.127.207.6,sync.1rx.io
209.15.36.31,pixel-sync.sitescout.com
54.175.87.114,ups.analytics.yahoo.com
63.251.114.137,ap.lijit.com
63.251.114.137,vap6ewr1.lijit.com
63.251.114.137,vap6ewr1.lijit.com
138.201.63.157,ad.ad-srv.net
8.43.72.54,beacon-us-iad2.rubiconproject.com
162.223.54.6,sovrn.apxlv.com
34.233.13.129,dx.bigsea.weborama.com
63.251.88.56,aa.agkn.com
34.198.48.188,api.intentiq.com
63.251.88.56,aa.agkn.com
52.46.157.171,aax-us-east.amazon-adsystem.com
40.117.168.241,bc.ixiaa.com
151.101.250.49,track.reson8.com
138.201.135.164,ad15.ad-srv.net
104.16.121.97,www.webassign.net
104.16.121.97,www.webassign.net
199.38.167.128,p.rfihub.com
52.46.157.171,aax-us-east.amazon-adsystem.com
165.254.0.83,weather-data.apple.com
165.254.0.83,weather-data.apple.com
138.201.135.164,ad15.ad-srv.net
54.69.66.94,api.segment.io
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
65.52.198.70,smartscreen-prod.microsoft.com
23.221.200.15,dellupdater.dell.com
3.234.156.96,datarouter.ol.epicgames.com
17.248.135.170,p29-keyvalueservice.icloud.com
17.248.135.13,p29-escrowproxy.icloud.com
17.248.135.182,gateway.icloud.com
23.221.200.209,us-prof.np.community.playstation.net
128.116.112.44,users.roblox.com
104.17.209.9,api.golinkapi.com
172.217.12.202,remotedesktop-pa.googleapis.com
172.217.12.202,remotedesktop-pa.googleapis.com
23.221.200.209,us-ivt.np.community.playstation.net
23.221.201.23,activity.api.np.km.playstation.net
151.101.250.214,api.twitch.tv
162.125.36.1,d.dropbox.com
13.225.212.24,www.chegg.com
13.225.62.42,heartbeat-gateway.cheggnet.com
172.217.10.234,safebrowsing.googleapis.com
172.253.122.109,imap.gmail.com
172.253.63.109,imap.gmail.com
8.36.80.195,gfe.nvidia.com
8.36.113.137,events.gfe.nvidia.com
172.253.63.109,imap.gmail.com
17.57.12.11,gsp64-ssl.ls.apple.com
85.195.119.218,prod-03.escapefromtarkov.com
104.20.19.239,www.crunchyroll.com
152.195.33.69,cdn.cookielaw.org
152.195.33.69,cdn.cookielaw.org
149.56.126.49,funnyjunk.com
40.69.223.39,array612.prod.do.dsp.mp.microsoft.com
17.248.187.135,keyvalueservice.icloud.com
172.217.10.142,play.google.com
23.221.200.209,us-prof.np.community.playstation.net
52.250.1.227,aoe-api.reliclink.com
104.17.147.7,wikibuy.com
104.17.147.7,track.wikibuy.com
172.217.6.238,clients6.google.com
172.217.3.106,people-pa.clients6.google.com
52.114.75.79,v20.events.data.microsoft.com
172.217.10.10,chat-pa.clients6.google.com
172.217.10.138,people-pa.clients6.google.com
52.179.129.229,arc.msn.com
18.205.44.71,f-log-extension.grammarly.io
172.217.197.189,21.client-channel.google.com
23.221.200.35,xp.apple.com
52.113.194.132,config.teams.microsoft.com
23.60.68.104,play.itunes.apple.com
52.54.70.243,ss-prod-ue1-notif-27.aws.adobess.com
13.226.36.20,d3cv4a9a9wh0bt.cloudfront.net
54.85.82.162,www.netflix.com
17.249.162.38,gsp-ssl.ls.apple.com
151.101.2.110,mobile-collector.newrelic.com
17.120.254.7,p72-buy.itunes.apple.com
151.101.1.200,api-gtm.grubhub.com
35.190.10.112,collector-pxo97ybh4j.perimeterx.net
13.225.206.239,api.branch.io
31.13.65.1,graph.facebook.com
173.0.93.179,api-m.paypal.com
54.72.47.162,events.appsflyer.com
17.248.216.4,p13-keyvalueservice.icloud.com.cn
3.248.145.242,t.appsflyer.com
104.22.3.109,builds.parsecgaming.com
104.22.3.109,builds.parsecgaming.com
148.153.38.118,message.bilibili.com
148.153.38.118,message.bilibili.com
104.16.121.97,www.webassign.net
104.16.121.97,www.webassign.net
51.143.111.7,watson.telemetry.microsoft.com
17.57.144.7,courier.push.apple.com
104.20.114.14,prod.escapefromtarkov.com
104.20.114.14,prod.escapefromtarkov.com
104.20.114.14,prod.escapefromtarkov.com
148.153.38.118,api.vc.bilibili.com
52.70.223.47,dauth-lp1.ndas.srv.nintendo.net
52.70.223.47,dauth-lp1.ndas.srv.nintendo.net
3.217.207.251,public-ubiservices.ubi.com
13.226.39.50,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
13.226.39.50,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
13.226.39.50,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
172.217.9.232,ssl.google-analytics.com
151.101.250.214,api.twitch.tv
172.217.12.202,signaler-pa.clients6.google.com
31.13.65.51,graph.oculus.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
3.221.116.27,public-ubiservices.ubi.com
128.116.112.44,users.roblox.com
24.105.29.76,telemetry-in.battle.net
35.186.224.47,dealer.spotify.com
52.250.1.227,aoe-api.reliclink.com
104.16.31.91,na.ledge.leagueoflegends.com
13.249.134.45,api-cache.blizzcon.com
13.225.210.4,d3cv4a9a9wh0bt.cloudfront.net
17.142.169.200,gsp64-ssl.ls.apple.com
40.91.72.120,presence-heartbeat.xboxlive.com
23.221.200.209,us-prof.np.community.playstation.net
24.105.29.76,telemetry-in.battle.net
23.221.200.111,www.paypal.com
168.61.180.132,phoenix.maelstrom.gameservices.xboxlive.com
151.101.2.133,www.paypalobjects.com
128.116.112.44,users.roblox.com
13.225.62.50,heartbeat-gateway.cheggnet.com
31.13.65.36,www.facebook.com
162.125.36.1,d.dropbox.com
20.36.252.129,g.live.com
69.192.109.196,oneclient.sfx.ms
157.255.196.66,access-sngapm.qcloud.com
52.179.129.229,arc.msn.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
52.114.132.23,mobile.pipe.aria.microsoft.com
52.114.132.23,mobile.pipe.aria.microsoft.com
172.217.12.202,remotedesktop-pa.googleapis.com
172.217.12.202,remotedesktop-pa.googleapis.com
52.114.77.34,browser.pipe.aria.microsoft.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
34.226.34.191,ping.taplytics.com
35.186.224.53,spclient.wg.spotify.com
52.250.1.227,aoe-api.reliclink.com
96.7.197.128,remote-config.gog.com
72.55.140.155,nyu-apply.smapply.io
58.222.35.205,api.vc.bilibili.com
72.55.140.155,nyu-apply.smapply.io
162.247.242.21,bam.nr-data.net
17.248.135.242,p25-contacts.icloud.com
35.190.88.7,sessions.bugsnag.com
3.211.167.19,f-log-extension.grammarly.io
172.217.12.142,www.google-analytics.com
58.222.35.205,api.vc.bilibili.com
162.247.242.21,bam.nr-data.net
151.101.0.207,www.urbandictionary.com
23.111.9.57,twemoji.maxcdn.com
104.17.64.4,cdnjs.cloudflare.com
24.105.29.76,telemetry-in.battle.net
38.106.231.204,osfsr.lenovomm.com
17.249.162.38,gsp-ssl.ls.apple.com
52.54.70.243,ss-prod-ue1-notif-27.aws.adobess.com
104.16.121.97,www.webassign.net
104.16.121.97,www.webassign.net
23.54.179.102,gspe19-ssl.ls.apple.com
72.21.91.70,pbs.twimg.com
93.184.215.217,video.twimg.com
72.21.91.70,pbs.twimg.com
93.184.215.217,video.twimg.com
104.244.42.2,api.twitter.com
93.184.215.217,video.twimg.com
93.184.215.217,video.twimg.com
149.56.126.49,funnyjunk.com
52.109.120.18,nexusrules.officeapps.live.com
52.109.6.7,ocws.officeapps.live.com
52.109.6.6,roaming.officeapps.live.com
52.109.6.7,ocws.officeapps.live.com
52.109.6.7,ocws.officeapps.live.com
52.109.6.7,ocws.officeapps.live.com
52.109.6.7,ocws.officeapps.live.com
128.116.112.44,users.roblox.com
69.195.180.128,api-30-0-0.twitter.com
69.195.162.128,api-42-0-0.twitter.com
69.195.187.128,api-26-0-0.twitter.com
209.237.199.128,api-0-4-4.twitter.com
184.28.206.172,is5-ssl.mzstatic.com
128.238.155.11,128.238.155.11
184.28.206.172,init.itunes.apple.com
184.28.206.172,init.itunes.apple.com
