52.114.7.36,browser.pipe.aria.microsoft.com
34.195.227.190,datarouter.ol.epicgames.com
35.186.224.53,spclient.wg.spotify.com
96.6.24.64,us-ivt.np.community.playstation.net
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
96.17.66.14,beeswaxdisplay108801632049.s.moatpixel.com
69.192.110.94,px.moatads.com
69.192.110.94,px.moatads.com
104.244.37.20,dt.adsafeprotected.com
104.244.37.20,dt.adsafeprotected.com
104.244.37.20,dt.adsafeprotected.com
52.9.75.202,hbxlp.media.net
172.217.10.2,www.googleadservices.com
3.227.192.89,adult.yourblocksite.com
52.114.76.34,v10.events.data.microsoft.com
172.217.10.2,www.googleadservices.com
35.237.241.100,abusedinscouting.com
108.161.188.228,2vz9of4dzbpg2r4s2b3hc137-wpengine.netdna-ssl.com
108.161.188.228,2vz9of4dzbpg2r4s2b3hc137-wpengine.netdna-ssl.com
108.161.188.228,2vz9of4dzbpg2r4s2b3hc137-wpengine.netdna-ssl.com
108.161.188.228,2vz9of4dzbpg2r4s2b3hc137-wpengine.netdna-ssl.com
108.161.188.228,2vz9of4dzbpg2r4s2b3hc137-wpengine.netdna-ssl.com
108.161.188.228,2vz9of4dzbpg2r4s2b3hc137-wpengine.netdna-ssl.com
151.101.2.62,uw-media.usatoday.com
23.78.210.101,www.nbcnews.com
172.217.11.14,www.youtube.com
172.217.11.14,www.youtube.com
23.78.165.242,www.msnbc.com
151.101.249.188,www.cbsnews.com
69.192.176.82,www.today.com
69.192.109.187,players.brightcove.net
108.161.188.228,2vz9of4dzbpg2r4s2b3hc137-wpengine.netdna-ssl.com
23.78.165.242,www.msnbc.com
104.76.110.135,nodeassets.nbcnews.com
23.192.73.55,ndassets.s-nbcnews.com
23.192.73.55,ndassets.s-nbcnews.com
23.192.73.55,ndassets.s-nbcnews.com
23.192.73.55,ndassets.s-nbcnews.com
23.192.73.55,ndassets.s-nbcnews.com
23.192.73.55,ndassets.s-nbcnews.com
69.192.109.111,assets.adobedtm.com
151.101.2.109,cdn.polyfill.io
35.244.232.184,metrics.brightcove.com
35.244.232.184,metrics.brightcove.com
52.114.76.34,v10.events.data.microsoft.com
151.101.2.217,vjs.zencdn.net
151.101.2.62,cpt-static.gannettdigital.com
34.206.57.250,edge.api.brightcove.com
151.101.202.133,vidtech.cbsinteractive.com
152.195.33.69,cdn.cookielaw.org
152.195.33.69,cdn.cookielaw.org
172.217.7.6,static.doubleclick.net
151.101.201.188,production-cmp.isgprivacy.cbsi.com
151.101.201.188,cbsn-us-cedexis.cbsnstream.cbsnews.com
151.101.202.133,vidtech.cbsinteractive.com
13.225.62.19,public.vilynx.com
152.195.33.69,cdn.cookielaw.org
172.217.12.130,pubads.g.doubleclick.net
104.20.184.68,geolocation.onetrust.com
152.195.33.69,cdn.cookielaw.org
69.192.110.94,z.moatads.com
13.225.62.21,cdn.adsafeprotected.com
69.192.109.125,js-sec.indexww.com
13.225.62.103,native.sharethrough.com
13.226.25.248,c.amazon-adsystem.com
172.217.12.161,yt3.ggpht.com
172.217.9.246,i.ytimg.com
3.214.153.177,match.adsrvr.org
13.225.62.65,static.adsafeprotected.com
35.190.72.21,api.rlcdn.com
52.205.105.204,mid.rkdms.com
35.153.47.141,dpm.demdex.net
151.101.130.217,jssdkcdns.mparticle.com
151.101.130.217,jssdkcdns.mparticle.com
13.225.62.29,ak.sail-horizon.com
13.226.39.71,cdn-gl.imrworldwide.com
13.226.39.71,cdn-gl.imrworldwide.com
13.225.63.3,d1z2jf7jlzjs58.cloudfront.net
35.236.218.183,static.hotjar.com
35.236.218.183,static.hotjar.com
31.13.65.7,connect.facebook.net
13.225.62.4,cdn-v3.conductrics.com
13.225.62.4,cdn-v3.conductrics.com
3.93.89.69,secure-us.imrworldwide.com
35.153.47.141,dpm.demdex.net
23.221.202.56,c.go-mpulse.net
23.78.192.124,media1.s-nbcnews.com
23.192.73.55,ndassets.s-nbcnews.com
13.226.39.128,static.vilynx.com
104.76.110.135,nodeassets.nbcnews.com
35.245.181.246,script.hotjar.com
151.101.2.133,identity.mparticle.com
3.208.14.195,nbcume.sc.omtrdc.net
68.67.179.121,ib.adnxs.com
151.101.2.133,identity.mparticle.com
52.94.236.8,sqs.us-east-1.amazonaws.com
52.86.137.228,www.vilynx.com
151.101.250.217,static.scroll.com
52.86.137.228,www.vilynx.com
96.6.27.20,pixel.mathtag.com
31.13.65.36,www.facebook.com
151.101.2.2,cdn.taboola.com
13.225.205.210,static.chartbeat.com
23.43.56.192,timeincsecure-a.akamaihd.net
34.226.145.82,srv-2020-03-02-05.config.parsely.com
34.226.145.82,srv-2020-03-02-05.config.parsely.com
162.208.117.45,api.sail-personalize.com
162.208.117.45,api.sail-personalize.com
35.199.38.205,vars.hotjar.com
172.217.6.198,8168974.fls.doubleclick.net
172.217.6.198,8168974.fls.doubleclick.net
31.13.65.2,cx.atdmt.com
31.13.65.2,cx.atdmt.com
23.221.202.56,c.go-mpulse.net
162.208.117.45,api.sail-personalize.com
162.208.117.45,api.sail-personalize.com
68.67.181.202,ib.adnxs.com
104.36.115.111,hbopenbid.pubmatic.com
35.244.186.129,gannett-d.openx.net
34.205.150.220,ads.adaptv.advertising.com
151.101.2.110,js-agent.newrelic.com
18.208.82.216,pixel.adsafeprotected.com
162.247.242.21,bam.nr-data.net
192.35.249.124,search.spotxchange.com
54.87.41.147,prebid-server.rubiconproject.com
52.2.154.73,nbcu.demdex.net
34.239.222.203,nbcuni.demdex.net
52.40.135.92,ekg.riotgames.com
13.225.63.3,d1z2jf7jlzjs58.cloudfront.net
13.226.39.20,ovp.iris.tv
107.178.246.49,pixel.tapad.com
52.2.154.73,nbcu.demdex.net
162.208.117.45,api.sail-personalize.com
64.74.101.79,secure.brightcove.com
162.208.117.45,api.sail-personalize.com
18.205.118.46,pixel.advertising.com
50.57.31.206,uipus.semasio.net
54.175.87.114,ups.analytics.yahoo.com
192.243.250.58,cm.everesttech.net
192.243.250.58,cm.everesttech.net
50.57.31.206,uipglob.semasio.net
