204.79.197.200,platform.bing.com
172.217.11.35,clientservices.googleapis.com
34.230.234.167,spocs.getpocket.com
54.201.13.152,ekg.riotgames.com
96.17.65.84,getpocket.cdn.mozilla.net
96.6.24.64,us-prof.np.community.playstation.net
52.10.101.255,ekg.riotgames.com
52.89.48.8,shavar.services.mozilla.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
40.79.65.78,array508.prod.do.dsp.mp.microsoft.com
52.161.15.246,geo.prod.do.dsp.mp.microsoft.com
68.67.179.173,ib.adnxs.com
52.9.24.249,analytics.developer.riotgames.com
13.225.62.56,api-cache.blizzcon.com
52.218.209.50,ubp-common-us-prod.s3.amazonaws.com
52.218.252.104,s3-us-west-2.amazonaws.com
208.185.50.26,beacon-us-iad3.rubiconproject.com
68.67.179.164,nym1-ib.adnxs.com
172.217.10.130,googleads.g.doubleclick.net
192.184.68.235,pixel.quantcount.com
192.184.68.231,exch.quantserve.com
34.200.39.244,geo.moatads.com
3.214.228.175,mb.moatads.com
192.184.68.211,pixel.quantserve.com
96.17.66.14,quantcast584928381.s.moatpixel.com
96.17.66.14,quantcast584928381.s.moatpixel.com
96.17.66.14,quantcast584928381.s.moatpixel.com
13.226.39.67,segments.company-target.com
104.16.122.97,www.webassign.net
104.16.122.97,www.webassign.net
172.217.6.238,clients6.google.com
78.47.138.56,easylist-downloads.adblockplus.org
23.248.167.13,static.zhihu.com
173.222.100.177,www.zhihu.com
148.153.64.18,api.vc.bilibili.com
69.192.108.239,api1.origin.com
69.195.181.128,api-40-0-0.twitter.com
69.195.182.128,api-23-0-0.twitter.com
35.190.90.182,glbtls-na.t.co
40.112.49.67,smartscreen-prod.microsoft.com
40.112.49.67,smartscreen-prod.microsoft.com
209.237.192.128,api-2-0-0.twitter.com
52.35.108.73,video-edge-27bce6.pdx01.abs.hls.ttvnw.net
54.201.13.152,ekg.riotgames.com
35.160.15.72,ekg.riotgames.com
13.225.63.35,d3cv4a9a9wh0bt.cloudfront.net
52.114.132.20,v20.events.data.microsoft.com
128.116.112.44,users.roblox.com
130.211.16.53,d.joinhoney.com
172.217.11.2,www.googleadservices.com
35.186.224.47,dealer.spotify.com
104.196.12.179,eg.poly.edu
184.87.48.42,content-system.gog.com
69.192.110.94,px.moatads.com
52.113.194.132,config.teams.microsoft.com
13.225.62.86,www.timeout.com
23.221.201.164,mps.cnbc.com
13.225.212.120,media.timeout.com
151.101.130.109,polyfill.io
172.217.12.130,securepubads.g.doubleclick.net
172.217.197.156,stats.g.doubleclick.net
151.139.128.10,s.skimresources.com
99.84.32.116,quantcast.mgr.consensu.org
69.192.110.3,widgets.outbrain.com
104.126.113.173,images.outbrain.com
172.217.10.130,www.googletagservices.com
3.208.14.195,smetrics.timeout.com
104.244.37.20,dt.adsafeprotected.com
204.154.111.110,tps10250.doubleverify.com
204.154.111.110,tps10250.doubleverify.com
52.18.96.86,auth.timeout.com
52.114.128.43,mobile.pipe.aria.microsoft.com
52.114.128.43,mobile.pipe.aria.microsoft.com
18.210.53.133,m.dlx.addthis.com
52.18.96.86,auth.timeout.com
204.154.111.116,tps10260.doubleverify.com
204.154.111.116,tps10260.doubleverify.com
96.17.66.14,nbcudisplay.s.moatpixel.com
18.210.53.133,m.dlx.addthis.com
96.17.66.14,nbcudisplay.s.moatpixel.com
96.17.66.14,nbcudisplay.s.moatpixel.com
18.210.53.133,m.dlx.addthis.com
18.210.53.133,m.dlx.addthis.com
172.217.3.106,people-pa.clients6.google.com
204.154.111.116,tps30.doubleverify.com
204.154.111.116,tps10218.doubleverify.com
13.225.63.117,d3cv4a9a9wh0bt.cloudfront.net
104.17.142.21,loadouts.na2.leagueoflegends.com
204.154.111.116,tps10249.doubleverify.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
52.179.129.229,arc.msn.com
192.229.163.146,cfg.gog.com
23.78.208.56,init.itunes.apple.com
172.217.3.106,safebrowsing.googleapis.com
23.78.208.56,init.itunes.apple.com
23.78.208.56,is5-ssl.mzstatic.com
23.78.208.56,is2-ssl.mzstatic.com
23.78.208.56,bag.itunes.apple.com
172.217.10.42,wirelessdevicestats.googleapis.com
172.217.10.42,wirelessdevicestats.googleapis.com
52.25.170.114,ekg.riotgames.com
23.78.208.56,init.itunes.apple.com
23.52.4.136,api.weather.com
34.73.232.153,www.overleaf.com
23.78.208.56,bag.itunes.apple.com
23.78.208.56,init.itunes.apple.com
96.6.24.89,xp.apple.com
23.192.17.167,configuration.ls.apple.com
23.78.208.56,bookkeeper.itunes.apple.com
96.6.24.89,xp.apple.com
23.78.208.56,bookkeeper.itunes.apple.com
17.248.187.206,gateway.icloud.com
17.42.254.12,p59-buy.itunes.apple.com
40.97.188.226,outlook.office365.com
35.186.224.53,spclient.wg.spotify.com
13.107.18.11,outlook.office.com
52.25.170.114,ekg.riotgames.com
31.13.65.36,www.facebook.com
13.225.63.55,d3cv4a9a9wh0bt.cloudfront.net
17.248.135.14,gateway.icloud.com
17.248.135.14,gateway.icloud.com
103.126.92.132,interface.music.163.com
17.248.135.14,gateway.icloud.com
45.57.90.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
52.20.168.249,www.netflix.com
52.20.168.249,www.netflix.com
23.78.208.56,bookkeeper.itunes.apple.com
17.179.252.32,gsa.apple.com
104.64.217.145,pic4.zhimg.com
192.144.195.62,zhihu-web-analytics.zhihu.com
104.16.122.97,www.webassign.net
104.16.122.97,www.webassign.net
96.17.66.31,fpdownload.macromedia.com
17.57.12.11,gsp64-ssl.ls.apple.com
13.225.210.177,d3cv4a9a9wh0bt.cloudfront.net
52.33.245.178,ekg.riotgames.com
172.217.7.3,update.googleapis.com
