204.154.111.110,tps10224.doubleverify.com
31.13.65.7,scontent.xx.fbcdn.net
31.13.65.36,www.facebook.com
31.13.65.36,www.facebook.com
162.159.129.233,discordapp.com
31.13.65.7,static.xx.fbcdn.net
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
96.6.24.64,us-ivt.np.community.playstation.net
172.217.10.106,play.googleapis.com
165.254.49.142,steamcdn-a.akamaihd.net
165.254.49.142,steamcdn-a.akamaihd.net
13.107.6.254,b-ring.msedge.net
131.253.33.254,a-ring-fallback.msedge.net
69.192.108.94,ow1.res.office365.com
52.27.36.44,shavar.services.mozilla.com
204.79.197.222,fp.msedge.net
35.186.224.53,spclient.wg.spotify.com
162.159.129.233,discordapp.com
104.255.107.132,nba2k20-ws.2ksports.com
69.192.110.94,px.moatads.com
52.114.77.34,browser.pipe.aria.microsoft.com
45.57.90.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
54.152.239.3,www.netflix.com
54.152.239.3,www.netflix.com
52.179.129.229,arc.msn.com
13.68.92.143,ris.api.iris.microsoft.com
162.159.129.233,discordapp.com
31.13.65.7,scontent.xx.fbcdn.net
66.110.98.51,img-prod-cms-rt-microsoft-com.akamaized.net
24.105.29.76,telemetry-in.battle.net
128.116.112.44,users.roblox.com
172.217.11.40,ssl.google-analytics.com
172.217.12.142,www.google-analytics.com
54.243.120.80,tracking.overwolf.com
23.60.68.74,steamuserimages-a.akamaihd.net
17.167.192.94,gsp85-ssl.ls.apple.com
13.225.63.117,d3cv4a9a9wh0bt.cloudfront.net
23.60.68.74,steamuserimages-a.akamaihd.net
23.60.68.74,steamuserimages-a.akamaihd.net
151.101.204.193,i.imgur.com
151.101.204.193,i.imgur.com
151.101.204.193,i.imgur.com
172.217.7.10,firebasestorage.googleapis.com
151.101.0.133,raw.githubusercontent.com
151.101.0.133,raw.githubusercontent.com
151.101.0.133,raw.githubusercontent.com
17.142.171.6,gsp64-ssl.ls.apple.com
13.225.210.4,d3cv4a9a9wh0bt.cloudfront.net
50.17.219.236,api.overwolf.com
162.159.129.233,discordapp.com
