148.153.64.18,api.vc.bilibili.com
104.16.122.97,www.webassign.net
104.16.122.97,www.webassign.net
40.79.65.237,array504.prod.do.dsp.mp.microsoft.com
40.79.65.235,array502.prod.do.dsp.mp.microsoft.com
13.225.203.62,l9bjkkhaycw6f8f4.soundcloud.com
13.248.131.92,metrics-collector.s-onetag.com
13.225.59.51,api-v2.soundcloud.com
104.16.0.92,na.ledge.leagueoflegends.com
54.213.165.231,video-edge-27bce6.pdx01.abs.hls.ttvnw.net
172.217.11.46,s.ytimg.com
52.200.224.11,adult.yourblocksite.com
173.194.31.232,r2---sn-ab5l6nsr.googlevideo.com
173.194.31.232,r2---sn-ab5l6nsr.googlevideo.com
13.226.39.60,cf-hls-media.sndcdn.com
52.10.101.255,ekg.riotgames.com
52.37.144.240,ece4.playfabapi.com
69.192.108.239,api1.origin.com
23.98.151.170,smartscreen-prod.microsoft.com
128.116.112.44,users.roblox.com
69.147.92.11,s1.yimg.com
152.195.12.131,edgecast-vod.yahoo.net
152.195.12.131,edgecast-vod.yahoo.net
69.147.92.12,media.zenfs.com
151.101.201.36,www.kongregate.com
184.87.48.42,content-system.gog.com
23.98.151.170,smartscreen-prod.microsoft.com
34.204.228.16,instagram.com
52.179.129.229,arc.msn.com
31.13.65.174,www.instagram.com
31.13.65.52,scontent.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
69.192.110.94,px.moatads.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.174,www.instagram.com
13.225.63.55,d3cv4a9a9wh0bt.cloudfront.net
31.13.65.52,graph.instagram.com
52.114.132.22,mobile.pipe.aria.microsoft.com
52.114.132.22,mobile.pipe.aria.microsoft.com
13.226.39.46,normandy.cdn.mozilla.net
34.98.75.36,classify-client.services.mozilla.com
13.225.212.126,cf-hls-media.sndcdn.com
172.217.6.238,clients4.google.com
172.217.3.99,update.googleapis.com
69.192.108.19,fswitch.dl.playstation.net
128.116.112.44,users.roblox.com
185.86.138.78,www14.smartadserver.com
13.226.36.61,d3cv4a9a9wh0bt.cloudfront.net
52.20.169.87,river.data.ea.com
198.27.75.147,ads.stickyadstv.com
198.27.75.147,ads.stickyadstv.com
216.58.199.3,beacons2.gvt2.com
204.79.197.200,www.bing.com
198.148.27.131,ads.contextweb.com
192.229.163.146,cfg.gog.com
198.27.75.147,ads.stickyadstv.com
172.217.11.42,wirelessdevicestats.googleapis.com
172.217.11.42,wirelessdevicestats.googleapis.com
59.111.239.61,httpdns.n.netease.com
52.7.219.178,h250p-nj545.ads.tremorhub.com
104.18.181.233,search.proquest.com
209.237.199.128,api-0-4-4.twitter.com
69.195.184.128,api-32-0-0.twitter.com
209.237.204.128,api-0-4-8.twitter.com
13.225.212.126,cf-hls-media.sndcdn.com
69.195.172.128,api-27-0-0.twitter.com
52.37.144.240,ece4.playfabapi.com
69.195.177.128,api-43-0-0.twitter.com
104.20.78.94,www.advantagemedical.com
128.116.112.44,users.roblox.com
130.211.16.53,d.joinhoney.com
130.211.26.229,s.joinhoney.com
52.114.6.46,self.events.data.microsoft.com
52.109.120.20,nexus.officeapps.live.com
172.217.10.46,i9.ytimg.com
35.186.224.53,spclient.wg.spotify.com
13.225.212.108,cdn-scripts.signifyd.com
172.217.3.106,fonts.googleapis.com
172.217.10.72,www.googletagmanager.com
31.13.65.7,connect.facebook.net
172.217.10.78,www.google-analytics.com
23.10.80.182,snip.bronto.com
31.13.65.7,connect.facebook.net
74.125.192.155,stats.g.doubleclick.net
216.27.63.9,maw.bronto.com
192.225.158.69,imgs.signifyd.com
13.225.203.62,l9bjkkhaycw6f8f4.soundcloud.com
172.217.10.131,fonts.gstatic.com
12.133.121.224,aesearch.americaneagle.com
12.133.122.170,manage.hawksearch.com
35.194.93.109,static.hotjar.com
59.111.181.38,interface.music.163.com
59.111.239.61,httpdns.n.netease.com
35.245.201.149,script.hotjar.com
35.194.93.109,vars.hotjar.com
147.75.75.78,vc.hotjar.io
52.1.232.25,pxl.iqm.com
72.21.91.66,platform.twitter.com
72.21.91.66,platform.twitter.com
104.244.42.8,syndication.twitter.com
72.21.91.66,platform.twitter.com
72.21.91.66,platform.twitter.com
185.167.164.42,c1.adform.net
68.67.160.74,ib.adnxs.com
35.169.45.106,sync.ipredictive.com
51.161.117.180,gu.dyntrk.com
50.116.194.21,ad.turn.com
23.78.210.184,a.tribalfusion.com
173.231.178.85,cm.adgrx.com
192.229.173.16,cdn.syndication.twimg.com
192.229.173.16,cdn.syndication.twimg.com
