52.179.129.229,arc.msn.com
162.125.4.3,client.dropbox.com
35.160.15.72,ekg.riotgames.com
65.52.198.70,smartscreen-prod.microsoft.com
162.125.19.131,bolt.dropbox.com
24.105.29.76,telemetry-in.battle.net
208.185.50.80,pixel.rubiconproject.com
128.116.112.44,users.roblox.com
52.25.154.57,ece4.playfabapi.com
185.86.138.78,www14.smartadserver.com
151.101.20.193,imgur.com
24.105.29.76,telemetry-in.battle.net
151.101.200.193,m.imgur.com
172.217.7.10,safebrowsing.googleapis.com
103.41.167.234,sugar.zhihu.com
172.217.10.72,www.googletagmanager.com
34.95.69.49,i.clean.gg
13.225.63.164,dw7nrwnn2bkh1.cloudfront.net
152.195.54.20,services.gfe.nvidia.com
34.213.211.119,api.amplitude.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
151.101.200.193,api.imgur.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
172.217.12.142,www.google-analytics.com
152.195.54.20,services.gfe.nvidia.com
72.246.108.224,sb.scorecardresearch.com
152.195.54.20,services.gfe.nvidia.com
31.13.65.7,connect.facebook.net
13.225.62.7,quantcast.mgr.consensu.org
152.195.54.20,services.gfe.nvidia.com
13.226.39.106,rules.quantcount.com
13.226.39.70,certify.alexametrics.com
104.84.148.238,sb.scorecardresearch.com
208.185.50.80,pixel.rubiconproject.com
13.225.212.66,static.quantcast.mgr.consensu.org
192.184.68.215,pixel.quantserve.com
199.187.193.166,sync.smartadserver.com
31.13.65.36,www.facebook.com
18.234.188.235,e1.emxdgt.com
104.255.107.132,nba2k20-ws.2ksports.com
167.114.174.13,ads.stickyadstv.com
167.114.174.13,ads.stickyadstv.com
167.114.174.13,ads.stickyadstv.com
13.226.27.57,l9bjkkhaycw6f8f4.soundcloud.com
167.114.174.13,ads.stickyadstv.com
8.36.80.244,events.gfe.nvidia.com
31.13.65.36,www.facebook.com
52.114.6.46,v10.events.data.microsoft.com
8.36.80.244,events.gfe.nvidia.com
35.160.15.72,ekg.riotgames.com
198.148.27.132,ads.contextweb.com
45.57.90.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
52.54.154.226,www.netflix.com
3.211.205.226,datarouter.ol.epicgames.com
128.116.112.44,users.roblox.com
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
34.233.46.218,h250p-nj545.ads.tremorhub.com
52.113.194.132,config.teams.microsoft.com
216.165.46.10,newclasses.nyu.edu
68.67.160.23,ib.adnxs.com
69.175.41.32,ap.lijit.com
52.114.32.7,mobile.pipe.aria.microsoft.com
52.114.32.7,mobile.pipe.aria.microsoft.com
68.67.160.23,ib.adnxs.com
172.217.9.234,remotedesktop-pa.googleapis.com
172.217.9.234,remotedesktop-pa.googleapis.com
104.16.122.97,www.webassign.net
104.16.122.97,www.webassign.net
68.67.160.23,ib.adnxs.com
52.34.152.98,ekg.riotgames.com
184.29.93.119,secure.insightexpressai.com
204.154.111.111,tps30.doubleverify.com
31.13.65.1,graph.facebook.com
69.192.108.158,cdn.spotxcdn.com
52.25.233.180,ekg.riotgames.com
52.1.232.25,pxl.iqm.com
46.4.115.44,easylist-downloads.adblockplus.org
52.114.132.22,v10.events.data.microsoft.com
34.225.236.62,sync.ipredictive.com
85.114.159.93,dsp.adfarm1.adition.com
20.44.82.31,licensing.mp.microsoft.com
185.167.164.43,c1.adform.net
173.231.178.83,cm.adgrx.com
68.67.160.137,ib.adnxs.com
50.116.194.21,ad.turn.com
50.116.194.23,d.turn.com
51.161.117.180,gu.dyntrk.com
128.116.112.44,users.roblox.com
17.249.162.38,gsp-ssl.ls.apple.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
184.29.93.119,secure.insightexpressai.com
204.154.111.122,tps10257.doubleverify.com
68.67.160.137,ib.adnxs.com
173.231.178.83,cm.adgrx.com
50.116.194.21,ad.turn.com
111.221.29.40,fe3cr.delivery.mp.microsoft.com
184.29.93.119,secure.insightexpressai.com
52.114.132.22,v10.events.data.microsoft.com
17.252.194.199,gs-loc.apple.com
52.25.154.57,ece4.playfabapi.com
51.161.117.180,gu.dyntrk.com
104.17.142.21,loadouts.na2.leagueoflegends.com
17.252.194.199,gs-loc.apple.com
204.154.111.122,tps10257.doubleverify.com
104.16.1.92,na.ledge.leagueoflegends.com
40.69.216.129,geo.prod.do.dsp.mp.microsoft.com
13.225.206.153,slack.com
184.87.50.148,kv801.prod.do.dsp.mp.microsoft.com
184.87.50.148,cp801.prod.do.dsp.mp.microsoft.com
184.87.50.148,disc801.prod.do.dsp.mp.microsoft.com
13.78.180.90,array805.prod.do.dsp.mp.microsoft.com
216.165.46.10,newclasses.nyu.edu
204.79.197.200,www.bing.com
172.253.122.109,imap.gmail.com
172.253.122.109,imap.gmail.com
172.253.122.109,imap.gmail.com
172.253.122.109,imap.gmail.com
172.253.122.109,imap.gmail.com
172.253.122.109,imap.gmail.com
52.34.152.98,ekg.riotgames.com
173.194.68.108,smtp.gmail.com
173.194.68.108,smtp.gmail.com
173.194.68.108,smtp.gmail.com
173.194.68.108,smtp.gmail.com
204.154.111.122,tps10253.doubleverify.com
69.192.108.133,livetileedge.dsx.mp.microsoft.com
204.154.111.122,tps10207.doubleverify.com
204.154.111.122,tps10207.doubleverify.com
173.194.68.108,smtp.gmail.com
173.194.68.108,smtp.gmail.com
204.154.111.122,tps10207.doubleverify.com
173.194.68.108,smtp.gmail.com
