162.159.134.233,discordapp.com
198.54.12.127,sync.search.spotxchange.com
216.58.220.195,fonts.gstatic.com
172.217.161.170,ajax.googleapis.com
172.217.25.14,apis.google.com
68.67.160.26,ib.adnxs.com
199.38.167.129,p.rfihub.com
13.226.39.65,api-cache.blizzcon.com
172.217.31.234,fonts.googleapis.com
216.58.200.67,www.gstatic.com
69.175.41.32,ap.lijit.com
52.8.194.15,policy.system-usage-report.intel.com
199.187.193.164,prg.smartadserver.com
52.203.157.109,s.update.rubiconproject.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
104.36.115.109,image2.pubmatic.com
3.210.222.230,sync.tidaltv.com
68.67.179.90,ib.adnxs.com
199.187.193.164,prg.smartadserver.com
18.209.186.85,t.myvisualiq.net
23.194.168.120,impssl.constantcontact.com
4.78.226.232,oxp.mxptint.net
107.178.246.49,tapestry.tapad.com
104.124.12.160,contextual.media.net
107.178.246.49,tapestry.tapad.com
104.16.122.97,www.webassign.net
104.16.122.97,www.webassign.net
23.194.168.120,impssl.constantcontact.com
107.178.246.49,tapestry.tapad.com
13.226.27.64,l9bjkkhaycw6f8f4.soundcloud.com
52.202.136.43,match.prod.bidr.io
34.96.105.8,tr.blismedia.com
35.244.216.234,openx.adhaven.com
17.173.66.179,p14-buy.itunes.apple.com
4.78.226.232,oxp.mxptint.net
152.199.6.11,aka-cdn.adtechus.com
152.199.6.11,aka-cdn.adtechus.com
17.248.135.148,p42-keyvalueservice.icloud.com
52.202.175.5,analytics.carambo.la
13.33.61.63,api-v2.soundcloud.com
198.148.27.139,bh.contextweb.com
204.154.111.128,rtb2.doubleverify.com
184.87.62.21,tms16.icrc.trendmicro.com
18.219.153.143,s.thebrighttag.com
54.70.107.2,usermatch.targeting.unrulymedia.com
52.202.175.5,analytics.carambo.la
69.169.86.38,global.ib-ibi.com
52.114.75.150,v10.events.data.microsoft.com
69.169.86.39,ib.mookie1.com
204.154.111.145,tps618.doubleverify.com
204.154.111.145,tps618.doubleverify.com
17.248.135.90,p42-keyvalueservice.icloud.com
204.154.111.145,tps618.doubleverify.com
204.154.111.145,tps623.doubleverify.com
128.116.112.44,users.roblox.com
