38.106.231.204,osfsr.lenovomm.com
96.17.64.80,help.apple.com
172.217.10.10,wirelessdevicestats.googleapis.com
172.217.10.10,wirelessdevicestats.googleapis.com
172.217.163.228,www.google.com
172.217.12.174,aa.google.com
172.217.11.42,play.googleapis.com
172.217.6.205,accounts.google.com
69.192.108.239,api1.origin.com
20.36.218.63,settings-win.data.microsoft.com
13.226.39.19,cf-st.sc-cdn.net
216.239.36.126,mvm.snapchat.com
103.126.92.132,interface.music.163.com
35.186.224.53,spclient.wg.spotify.com
59.111.239.62,httpdns.n.netease.com
35.186.224.53,spclient.wg.spotify.com
13.225.62.117,d29xw9s9x32j3w.cloudfront.net
23.21.133.48,embed.sendtonews.com
23.21.133.48,embed.sendtonews.com
172.217.9.246,i.ytimg.com
172.217.12.161,yt3.ggpht.com
173.194.185.134,r1---sn-ab5sznld.googlevideo.com
173.194.185.134,r1---sn-ab5sznld.googlevideo.com
13.225.210.177,d3cv4a9a9wh0bt.cloudfront.net
31.13.65.1,www.messenger.com
52.212.25.23,yupmaster.gaijinent.com
104.16.0.92,na.ledge.leagueoflegends.com
52.13.229.94,ekg.riotgames.com
128.116.112.44,users.roblox.com
130.211.16.53,d.joinhoney.com
130.211.26.229,s.joinhoney.com
52.109.12.23,nexus.officeapps.live.com
172.217.11.46,calendar.google.com
17.248.135.121,p31-caldav.icloud.com
172.217.11.46,calendar.google.com
17.248.135.121,p31-caldav.icloud.com
34.230.234.167,spocs.getpocket.com
96.17.65.84,getpocket.cdn.mozilla.net
52.44.188.211,datarouter.ol.epicgames.com
52.179.129.229,arc.msn.com
185.86.138.121,www14.smartadserver.com
38.134.110.119,ads.stickyadstv.com
38.134.110.119,ads.stickyadstv.com
198.148.27.132,ads.contextweb.com
47.89.136.247,net.rayjump.com
47.252.92.64,analytics.rayjump.com
47.252.92.64,analytics.rayjump.com
38.134.110.119,ads.stickyadstv.com
3.211.190.161,h250p-nj545.ads.tremorhub.com
128.116.112.44,users.roblox.com
159.153.190.222,proxy.novafusion.ea.com
13.225.210.120,d3cv4a9a9wh0bt.cloudfront.net
13.225.210.120,d3cv4a9a9wh0bt.cloudfront.net
52.86.64.86,river.data.ea.com
3.217.207.251,public-ubiservices.ubi.com
47.252.92.64,analytics.rayjump.com
47.252.92.64,analytics.rayjump.com
69.192.108.158,cdn.spotxcdn.com
52.1.232.25,pxl.iqm.com
68.67.160.186,ib.adnxs.com
185.167.164.51,c1.adform.net
173.231.178.85,cm.adgrx.com
50.116.194.21,ad.turn.com
35.171.205.69,sync.ipredictive.com
51.161.117.180,gu.dyntrk.com
85.114.159.93,dsp.adfarm1.adition.com
50.116.194.23,d.turn.com
159.153.190.222,proxy.novafusion.ea.com
104.196.12.179,eg.poly.edu
104.196.12.179,eg.poly.edu
192.30.253.112,github.com
151.101.0.133,avatars2.githubusercontent.com
162.159.135.233,discordapp.com
172.217.7.10,fcm.googleapis.com
23.78.199.4,apituner.ecbsn.com
172.217.163.237,accounts.google.com
172.217.163.237,accounts.google.com
52.89.119.182,ekg.riotgames.com
172.217.11.42,chat-pa.clients6.google.com
54.227.174.239,api.mangarockhd.com
104.20.44.68,f01sm.mrcdn.info
