39.106.232.147,ldc.lenovo.com.cn
40.90.22.184,login.live.com
35.186.224.53,spclient.wg.spotify.com
69.192.108.239,secure.download.dm.origin.com
69.192.108.239,api1.origin.com
69.192.108.239,secure.download.dm.origin.com
69.192.108.239,secure.download.dm.origin.com
69.192.108.239,api1.origin.com
52.114.74.45,mobile.pipe.aria.microsoft.com
17.248.135.76,gateway-carry.icloud.com
52.37.144.240,ece4.playfabapi.com
52.114.88.22,browser.pipe.aria.microsoft.com
52.114.74.45,mobile.pipe.aria.microsoft.com
44.230.197.219,ekg.riotgames.com
172.217.9.229,mail.google.com
172.217.12.131,update.googleapis.com
128.116.112.44,users.roblox.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
104.17.188.107,zwyr157wwiu6eior.com
47.89.136.247,net.rayjump.com
47.252.92.64,analytics.rayjump.com
47.252.92.64,analytics.rayjump.com
52.218.234.176,s3-us-west-2.amazonaws.com
52.109.12.22,nexus.officeapps.live.com
52.218.204.146,ubp-common-us-prod.s3.amazonaws.com
52.179.129.229,arc.msn.com
211.234.127.21,logs.81plug.com
13.225.210.76,d3cv4a9a9wh0bt.cloudfront.net
47.89.136.247,net.rayjump.com
47.89.136.247,net.rayjump.com
47.252.92.64,analytics.rayjump.com
104.18.1.126,cdn-adn-https-baidu.rayjump.com
23.78.210.178,configuration.ls.apple.com
17.248.135.232,gateway-carry.icloud.com
17.248.135.14,gateway.icloud.com
172.217.12.170,wirelessdevicestats.googleapis.com
172.217.12.170,wirelessdevicestats.googleapis.com
20.36.218.63,settings-win.data.microsoft.com
128.116.112.44,users.roblox.com
192.30.253.112,github.com
203.205.158.52,pub.idqqimg.com
17.167.192.225,gsp64-ssl.ls.apple.com
172.217.10.234,safebrowsing.googleapis.com
52.109.12.22,nexus.officeapps.live.com
