52.113.194.132,config.teams.microsoft.com
35.186.224.53,spclient.wg.spotify.com
128.116.112.44,users.roblox.com
172.253.63.95,fcm-stream.googleapis.com
52.179.129.229,arc.msn.com
17.248.135.80,p10-contacts.icloud.com
31.13.65.36,www.facebook.com
137.221.106.102,us.battle.net
24.105.29.76,telemetry-in.battle.net
52.54.188.100,rtm.tnt-ea.com
52.46.145.164,aax-us-east.amazon-adsystem.com
52.46.145.164,aax-us-east.amazon-adsystem.com
3.223.114.48,fls-na.amazon.com
23.48.94.154,bnetus-a.akamaihd.net
137.221.106.111,cache-cms-ext-us.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
172.217.6.202,www.googleapis.com
23.48.94.154,bnetus-a.akamaihd.net
172.217.25.14,www.google-analytics.com
172.217.25.14,www.google-analytics.com
172.217.25.14,www.google-analytics.com
128.116.112.44,users.roblox.com
108.177.125.156,stats.g.doubleclick.net
108.177.125.156,stats.g.doubleclick.net
108.177.125.156,stats.g.doubleclick.net
172.217.163.228,www.google.com
54.145.18.97,api.mangarockhd.com
104.20.43.68,f01sm.mrcdn.info
52.179.129.229,arc.msn.com
31.13.65.1,www.messenger.com
172.217.9.229,mail.google.com
3.222.60.228,datarouter.ol.epicgames.com
52.179.129.229,arc.msn.com
23.54.186.161,livetileedge.dsx.mp.microsoft.com
20.36.219.28,activity.windows.com
103.126.92.132,interface.music.163.com
59.111.239.61,httpdns.n.netease.com
13.226.36.20,d3cv4a9a9wh0bt.cloudfront.net
35.186.224.53,spclient.wg.spotify.com
47.89.136.247,net.rayjump.com
47.252.92.64,analytics.rayjump.com
207.244.120.177,my.mobfox.com
52.25.170.114,ekg.riotgames.com
35.163.131.59,shavar.services.mozilla.com
128.116.112.44,users.roblox.com
