24.105.29.76,telemetry-in.battle.net
172.217.6.202,wirelessdevicestats.googleapis.com
172.217.6.202,wirelessdevicestats.googleapis.com
17.248.132.19,setup.icloud.com
17.248.142.23,gateway.icloud.com
52.109.8.19,nexusrules.officeapps.live.com
128.116.112.44,users.roblox.com
17.248.135.175,gateway.icloud.com
35.190.62.200,events.bouncex.net
104.244.37.20,dt.adsafeprotected.com
104.244.37.20,dt.adsafeprotected.com
104.244.37.20,dt.adsafeprotected.com
104.244.37.20,dt.adsafeprotected.com
52.46.134.16,aax-us-east.amazon-adsystem.com
23.78.210.178,configuration.ls.apple.com
17.249.178.38,gsp57-ssl-revgeo.ls.apple.com
31.13.65.7,scontent.xx.fbcdn.net
52.179.129.229,arc.msn.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
172.217.11.42,www.googleapis.com
204.79.197.200,platform.bing.com
52.114.77.34,v20.events.data.microsoft.com
104.18.181.233,search.proquest.com
35.186.224.53,spclient.wg.spotify.com
13.225.62.72,consent.truste.com
52.6.121.179,library.nyu.edu
172.217.6.202,chat-pa.clients6.google.com
104.17.208.240,znb4s5e6xggsi8e7b-proquest.siteintercept.qualtrics.com
128.116.112.44,users.roblox.com
35.186.224.53,spclient.wg.spotify.com
172.217.10.10,safebrowsing.googleapis.com
162.159.135.233,discordapp.com
52.114.75.78,v20.events.data.microsoft.com
52.109.76.31,nexusrules.officeapps.live.com
172.217.7.10,safebrowsing.googleapis.com
17.248.142.82,p26-fmf.icloud.com
17.248.135.11,p26-fmf.icloud.com
31.13.65.36,www.facebook.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
128.116.112.44,users.roblox.com
172.217.10.46,play.google.com
13.248.131.92,metrics-collector.s-onetag.com
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
52.179.129.229,arc.msn.com
23.78.210.178,configuration.ls.apple.com
172.253.63.108,imap.gmail.com
172.217.9.229,mail.google.com
34.232.20.110,datarouter.ol.epicgames.com
172.217.6.234,home-devices.googleapis.com
172.217.12.142,tools.google.com
59.111.181.38,interface.music.163.com
