40.90.22.190,login.live.com
184.87.62.21,tms16.icrc.trendmicro.com
13.107.42.11,outlook.live.com
104.110.252.198,cdn.optimizely.com
152.199.4.33,az725175.vo.msecnd.net
184.28.207.192,ow2.res.office365.com
184.28.207.192,ow2.res.office365.com
184.28.207.192,ow2.res.office365.com
184.28.207.192,ow2.res.office365.com
184.28.207.192,ow2.res.office365.com
184.28.207.192,ow2.res.office365.com
23.78.199.149,a3698060313.cdn.optimizely.com
70.37.74.6,nav.smartscreen.microsoft.com
184.28.207.192,r4.res.office365.com
65.55.44.109,web.vortex.data.microsoft.com
13.107.42.12,api.onedrive.com
20.44.82.15,collections.md.mp.microsoft.com
52.109.6.7,ocws.officeapps.live.com
52.114.132.22,browser.pipe.aria.microsoft.com
128.116.112.44,users.roblox.com
34.237.202.33,logx.optimizely.com
184.87.62.21,tms16.icrc.trendmicro.com
184.87.62.21,tms16.icrc.trendmicro.com
172.217.11.46,google.com
52.96.64.130,outlook.office365.com
52.96.15.2,outlook.office365.com
52.96.15.2,outlook.office365.com
40.112.49.67,smartscreen-prod.microsoft.com
40.126.2.38,login.windows.net
104.20.24.197,api.reasonsecurity.com
52.96.15.2,outlook.office365.com
52.96.15.2,outlook.office365.com
52.96.15.2,outlook.office365.com
52.96.15.2,outlook.office365.com
173.222.102.152,api1.origin.com
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
24.105.29.76,telemetry-in.battle.net
52.114.75.78,v10.events.data.microsoft.com
199.232.37.36,www.kongregate.com
52.114.132.22,mobile.pipe.aria.microsoft.com
52.114.132.22,mobile.pipe.aria.microsoft.com
13.226.36.189,d3cv4a9a9wh0bt.cloudfront.net
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
128.116.112.44,users.roblox.com
13.226.36.226,d3cv4a9a9wh0bt.cloudfront.net
104.20.24.197,api.reasonsecurity.com
172.217.10.106,wirelessdevicestats.googleapis.com
172.217.10.106,wirelessdevicestats.googleapis.com
104.22.3.109,builds.parsecgaming.com
104.22.3.109,builds.parsecgaming.com
13.248.131.92,metrics-collector.s-onetag.com
92.223.21.26,cat.wargaming.net
52.179.129.229,arc.msn.com
52.25.154.57,ece4.playfabapi.com
59.111.239.62,httpdns.n.netease.com
103.126.92.133,interface.music.163.com
35.186.224.53,spclient.wg.spotify.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
213.174.135.18,thumb-v3.xhcdn.com
52.35.183.78,ekg.riotgames.com
104.18.155.3,xhamster.com
104.18.87.14,thumb-v-cl2.xhcdn.com
88.208.58.138,xhamsterpremium.com
137.221.106.102,us.battle.net
88.208.31.1,video3.xhcdn.com
137.221.106.102,us.battle.net
104.17.160.40,as.flixcdn.com
23.35.68.80,bnetus-a.akamaihd.net
137.221.106.111,cache-cms-ext-us.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
172.217.25.14,www.google-analytics.com
23.35.68.80,bnetus-a.akamaihd.net
130.211.16.53,d.joinhoney.com
108.177.125.155,stats.g.doubleclick.net
172.217.163.228,www.google.com
172.217.163.228,www.google.com
172.217.163.228,www.google.com
128.116.112.44,users.roblox.com
35.186.224.53,spclient.wg.spotify.com
93.114.135.15,ip174215975.ahcdn.com
162.159.129.233,discordapp.com
162.159.134.233,discordapp.com
34.239.213.224,datarouter.ol.epicgames.com
