104.18.182.233,search.proquest.com
88.208.13.98,c-eu10.stripst.com
88.208.13.133,c-eu6.stripst.com
52.34.152.98,ekg.riotgames.com
34.216.209.21,video-edge-27bce6.pdx01.abs.hls.ttvnw.net
159.153.190.222,proxy.novafusion.ea.com
128.116.112.44,users.roblox.com
35.186.224.53,spclient.wg.spotify.com
103.126.92.133,interface.music.163.com
13.225.210.120,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
54.84.32.14,f-log-extension.grammarly.io
34.205.196.218,river.data.ea.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
52.179.129.229,arc.msn.com
162.159.133.233,discordapp.com
159.153.190.222,proxy.novafusion.ea.com
104.196.12.179,eg.poly.edu
59.111.181.35,clientlog.music.163.com
172.217.163.237,accounts.google.com
172.217.7.10,safebrowsing.googleapis.com
40.70.184.83,ieonlinews.microsoft.com
34.205.196.218,river.data.ea.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
128.116.112.44,users.roblox.com
20.36.218.208,presence-heartbeat.xboxlive.com
24.105.29.76,telemetry-in.battle.net
52.114.132.23,browser.pipe.aria.microsoft.com
24.105.29.76,telemetry-in.battle.net
23.35.76.134,api1.origin.com
31.13.71.36,www.facebook.com
35.186.224.25,login5.spotify.com
35.186.224.53,spclient.wg.spotify.com
52.203.24.160,datarouter.ol.epicgames.com
31.13.65.14,video-atl3-1.xx.fbcdn.net
199.109.99.216,steamcdn-a.akamaihd.net
199.109.99.216,steamcdn-a.akamaihd.net
199.109.99.216,steamcdn-a.akamaihd.net
172.217.10.5,mail.google.com
24.105.29.76,telemetry-in.battle.net
52.179.129.229,arc.msn.com
199.109.99.203,steamcdn-a.akamaihd.net
199.109.99.203,steamcdn-a.akamaihd.net
199.109.99.203,steamcdn-a.akamaihd.net
104.16.2.92,na.ledge.leagueoflegends.com
172.217.11.10,remotedesktop-pa.googleapis.com
172.217.11.10,remotedesktop-pa.googleapis.com
23.52.161.21,livetileedge.dsx.mp.microsoft.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
31.13.71.36,www.facebook.com
31.13.71.7,scontent.xx.fbcdn.net
103.126.92.132,interface.music.163.com
