34.193.171.214,river.data.ea.com
31.13.65.7,scontent.xx.fbcdn.net
52.114.36.3,v10.events.data.microsoft.com
173.222.102.152,api1.origin.com
128.116.112.44,users.roblox.com
148.153.64.18,api.bilibili.com
40.69.223.39,array612.prod.do.dsp.mp.microsoft.com
40.69.216.129,array614.prod.do.dsp.mp.microsoft.com
40.69.216.129,array614.prod.do.dsp.mp.microsoft.com
35.186.224.53,spclient.wg.spotify.com
52.179.129.229,arc.msn.com
35.186.224.53,spclient.wg.spotify.com
18.208.48.150,datarouter.ol.epicgames.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
24.105.29.76,telemetry-in.battle.net
208.80.154.224,en.wikipedia.org
185.199.110.153,greatsuspender.github.io
23.54.186.161,livetileedge.dsx.mp.microsoft.com
172.217.11.10,remotedesktop-pa.googleapis.com
172.217.11.10,remotedesktop-pa.googleapis.com
148.153.64.18,api.bilibili.com
208.80.154.240,upload.wikimedia.org
52.114.32.8,v10.events.data.microsoft.com
52.114.75.149,v20.events.data.microsoft.com
47.246.24.232,i0.hdslb.com
47.246.24.230,s1.hdslb.com
23.78.200.111,webql-redesign.cnbcfm.com
17.142.171.8,gs-loc.apple.com
17.142.171.8,gs-loc.apple.com
172.217.10.74,people-pa.clients6.google.com
148.153.38.118,message.bilibili.com
13.225.210.177,d3cv4a9a9wh0bt.cloudfront.net
128.116.112.44,users.roblox.com
20.36.218.63,settings-win.data.microsoft.com
148.153.64.18,api.bilibili.com
20.44.86.43,watson.telemetry.microsoft.com
172.217.10.78,www.youtube.com
13.226.26.231,www.flickr.com
31.13.65.36,www.facebook.com
52.179.129.229,arc.msn.com
162.159.129.233,discordapp.com
17.248.135.245,api.apple-cloudkit.com
31.13.65.1,www.messenger.com
31.13.65.1,edge-chat.messenger.com
3.234.58.151,accounts.nvgs.nvidia.com
152.195.55.219,ota.nvidia.com
23.221.201.164,quote.cnbc.com
3.234.58.151,accounts.nvgs.nvidia.com
20.36.218.63,settings-win.data.microsoft.com
34.196.95.56,api.robinhood.com
151.139.128.10,cdn.intergi.com
104.16.122.175,unpkg.com
31.13.65.36,www.facebook.com
13.225.63.117,d3cv4a9a9wh0bt.cloudfront.net
13.225.63.117,d3cv4a9a9wh0bt.cloudfront.net
128.116.112.44,users.roblox.com
20.36.218.63,settings-win.data.microsoft.com
216.165.46.10,newclasses.nyu.edu
172.217.11.46,google.com
148.153.38.118,api.vc.bilibili.com
17.33.9.1,guzzoni.apple.com
54.192.151.16,api-cache.blizzcon.com
23.78.208.56,init.itunes.apple.com
172.217.9.234,play.googleapis.com
148.153.64.18,api.bilibili.com
23.52.4.136,api.weather.com
23.78.208.56,init.itunes.apple.com
18.205.47.109,prd-collector-anon.playbuzz.com
35.186.224.53,spclient.wg.spotify.com
24.105.29.76,telemetry-in.battle.net
23.78.208.56,bag.itunes.apple.com
172.217.11.46,calendar.google.com
172.217.11.46,google.com
172.217.11.46,calendar.google.com
172.217.11.46,calendar.google.com
172.217.11.46,calendar.google.com
162.159.133.234,gateway.discord.gg
162.159.130.235,best.discord.media
162.159.130.233,status.discordapp.com
162.159.134.233,discordapp.com
13.107.42.12,dm2305.storage.live.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
52.114.74.45,mobile.pipe.aria.microsoft.com
52.114.74.45,mobile.pipe.aria.microsoft.com
164.52.33.179,data.bilibili.com
17.167.194.47,gsp85-ssl.ls.apple.com
164.52.33.179,data.bilibili.com
128.116.112.44,users.roblox.com
148.153.64.18,api.bilibili.com
103.126.92.132,interface.music.163.com
173.222.102.152,api1.origin.com
173.222.102.152,api1.origin.com
52.179.129.229,arc.msn.com
148.153.64.18,api.bilibili.com
54.239.23.96,horizonte.browserapps.amazon.com
54.88.95.39,fls-na.amazon.com
47.246.24.230,s1.hdslb.com
148.153.64.18,www.bilibili.com
148.153.64.18,www.bilibili.com
148.153.38.118,message.bilibili.com
128.116.112.44,users.roblox.com
148.153.64.18,api.bilibili.com
18.205.47.109,prd-collector-anon.playbuzz.com
172.217.7.3,update.googleapis.com
38.106.231.204,osfsr.lenovomm.com
172.217.11.10,remotedesktop-pa.googleapis.com
172.217.11.10,remotedesktop-pa.googleapis.com
151.139.128.10,cdn.intergi.com
104.16.126.175,unpkg.com
128.116.112.44,users.roblox.com
52.179.129.229,arc.msn.com
216.165.46.10,newclasses.nyu.edu
13.107.42.12,api.onedrive.com
172.217.10.37,mail.google.com
172.217.11.19,cloud.bluestacks.com
35.186.224.53,spclient.wg.spotify.com
148.153.64.18,api.bilibili.com
