162.159.133.233,cdn.discordapp.com
172.217.3.106,safebrowsing.googleapis.com
165.254.0.106,upos-hz-mirrorakam.akamaized.net
165.254.0.106,upos-hz-mirrorakam.akamaized.net
17.248.135.120,gateway.icloud.com
54.192.151.16,api-cache.blizzcon.com
130.211.16.53,d.joinhoney.com
130.211.26.229,s.joinhoney.com
47.246.24.229,s1.hdslb.com
128.116.112.44,users.roblox.com
165.254.0.106,upos-hz-mirrorakam.akamaized.net
148.153.38.118,api.bilibili.com
148.153.64.18,api.vc.bilibili.com
31.13.65.36,www.facebook.com
52.114.142.0,api.cc.skype.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
35.186.224.53,spclient.wg.spotify.com
101.79.241.132,image.donga.com
101.79.241.132,dimg.donga.com
52.114.132.22,mobile.pipe.aria.microsoft.com
24.105.29.76,telemetry-in.battle.net
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
172.217.12.194,googleads.g.doubleclick.net
165.254.0.106,upos-hz-mirrorakam.akamaized.net
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
101.79.241.132,image.donga.com
101.79.241.132,dimg.donga.com
17.248.187.73,gateway.icloud.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
148.153.38.118,api.bilibili.com
151.101.2.2,cdn.taboola.com
128.116.112.44,users.roblox.com
52.179.129.229,arc.msn.com
165.254.0.106,upos-hz-mirrorakam.akamaized.net
103.126.92.133,interface.music.163.com
34.202.250.195,update.avastbrowser.com
20.36.218.63,settings-win.data.microsoft.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
23.54.186.161,livetileedge.dsx.mp.microsoft.com
23.54.186.161,livetileedge.dsx.mp.microsoft.com
101.79.241.132,image.donga.com
101.79.241.142,dimg.donga.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
13.74.179.117,sls.update.microsoft.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
104.244.42.134,mobile.twitter.com
216.58.220.206,play.google.com
104.244.42.129,twitter.com
52.114.132.22,v10.events.data.microsoft.com
20.36.218.63,settings.data.microsoft.com
104.244.42.1,www.twitter.com
152.195.19.97,maps.windows.com
52.37.144.240,ece4.playfabapi.com
13.74.179.117,sls.update.microsoft.com
13.74.179.117,sls.update.microsoft.com
40.90.22.183,login.live.com
23.10.83.211,storecatalogrevocation.storequality.microsoft.com
40.90.22.183,login.live.com
40.114.105.100,inference.location.live.net
52.114.132.22,v10.events.data.microsoft.com
65.52.108.90,fe3.delivery.mp.microsoft.com
165.254.0.106,upos-hz-mirrorakam.akamaized.net
148.153.38.118,api.bilibili.com
104.214.78.152,telecommand.telemetry.microsoft.com
104.214.78.152,telecommand.telemetry.microsoft.com
101.79.241.132,image.donga.com
101.79.241.142,dimg.donga.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
52.114.132.22,v10.events.data.microsoft.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
165.254.0.106,upos-hz-mirrorakam.akamaized.net
52.4.42.220,prd-collector-anon.playbuzz.com
23.78.210.178,configuration.ls.apple.com
23.78.208.56,init.itunes.apple.com
23.78.208.56,itunes.apple.com
148.153.38.118,api.bilibili.com
17.167.194.230,gsp64-ssl.ls.apple.com
128.116.112.44,users.roblox.com
101.79.241.142,dimg.donga.com
101.79.241.132,image.donga.com
141.226.224.32,cds.taboola.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
17.253.97.208,c.apple.news
17.249.162.38,gsp-ssl.ls.apple.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
172.217.10.10,remotedesktop-pa.googleapis.com
172.217.10.10,remotedesktop-pa.googleapis.com
52.114.128.9,v10.events.data.microsoft.com
141.226.224.32,cds.taboola.com
52.179.129.229,arc.msn.com
17.167.194.224,gsp64-ssl.ls.apple.com
172.217.11.46,clients4.google.com
40.122.160.14,v10.events.data.microsoft.com
31.13.65.7,scontent.xx.fbcdn.net
31.13.65.36,www.facebook.com
148.153.64.18,www.bilibili.com
148.153.64.18,www.bilibili.com
47.246.24.227,i0.hdslb.com
47.246.24.227,s1.hdslb.com
148.153.38.118,message.bilibili.com
128.116.112.44,users.roblox.com
173.222.102.152,api1.origin.com
148.153.64.18,api.bilibili.com
17.248.135.237,gateway.icloud.com
172.217.9.229,mail.google.com
35.186.224.53,spclient.wg.spotify.com
40.122.160.14,v10.events.data.microsoft.com
101.79.241.142,dimg.donga.com
101.79.241.132,image.donga.com
17.167.194.224,gsp64-ssl.ls.apple.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
