13.83.149.67,fe2cr.update.microsoft.com
128.116.112.44,users.roblox.com
52.114.132.23,v10.events.data.microsoft.com
65.52.108.90,fe3cr.delivery.mp.microsoft.com
52.114.88.28,v10.events.data.microsoft.com
130.211.26.229,s.joinhoney.com
130.211.16.53,d.joinhoney.com
52.178.192.146,geo.prod.do.dsp.mp.microsoft.com
54.209.209.95,receive-lp1.dg.srv.nintendo.net
103.126.92.133,interface.music.163.com
104.64.222.146,kv501.prod.do.dsp.mp.microsoft.com
104.64.222.146,cp501.prod.do.dsp.mp.microsoft.com
52.114.88.28,v10.events.data.microsoft.com
31.13.65.36,www.facebook.com
52.114.88.28,v10.events.data.microsoft.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
18.205.47.109,prd-collector-anon.playbuzz.com
35.161.182.231,video-edge-27bce6.pdx01.abs.hls.ttvnw.net
35.186.224.53,spclient.wg.spotify.com
52.179.129.229,arc.msn.com
137.135.96.104,wdcp.microsoft.com
23.60.68.90,steamcommunity-a.akamaihd.net
52.114.88.28,v10.events.data.microsoft.com
172.217.12.142,www.google-analytics.com
128.116.112.44,users.roblox.com
18.208.48.150,datarouter.ol.epicgames.com
40.69.216.73,array611.prod.do.dsp.mp.microsoft.com
35.186.224.53,spclient.wg.spotify.com
17.248.135.240,gateway-carry.icloud.com
23.60.68.83,steamcdn-a.akamaihd.net
23.60.68.90,steamcommunity-a.akamaihd.net
17.248.135.244,metrics.icloud.com
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
104.196.12.179,eg.poly.edu
172.217.26.141,accounts.google.com
172.217.10.106,chat-pa.clients6.google.com
52.179.129.229,arc.msn.com
128.116.112.44,users.roblox.com
17.248.187.76,gateway.icloud.com
173.222.102.152,api1.origin.com
