162.159.130.235,us-east834.discord.media
172.217.10.234,safebrowsing.googleapis.com
67.199.248.12,cnb.cx
52.72.61.95,trib.al
96.6.22.232,www.cnbc.com
104.17.147.7,track.wikibuy.com
23.46.236.124,sb.scorecardresearch.com
69.192.108.168,fm.cnbc.com
52.6.44.53,nummus.robinhood.com
23.78.200.111,image.cnbcfm.com
104.17.186.177,cdn.tinypass.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
23.52.160.60,surf.nbcuni.com
96.6.22.232,mps.cnbc.com
50.17.229.51,usasync01.admantx.com
209.234.224.20,ad.wsod.com
17.248.135.42,gateway.icloud.com
35.244.144.168,tag.bounceexchange.com
96.6.25.233,mps.nbcuni.com
13.225.230.58,ak.sail-horizon.com
151.101.200.157,static.ads-twitter.com
192.184.69.142,pixel.quantserve.com
104.17.183.177,experience.tinypass.com
199.232.38.2,trc.taboola.com
3.208.14.195,osimg.nbcuni.com
52.7.199.224,nbcu.demdex.net
162.208.117.47,api.sail-track.com
162.208.117.45,api.sail-personalize.com
172.217.10.98,adservice.google.com
162.208.117.47,api.sail-track.com
162.208.117.45,api.sail-personalize.com
172.217.6.198,ad.doubleclick.net
34.226.145.82,srv-2020-03-02-14.config.parsely.com
31.13.71.36,www.facebook.com
141.226.224.32,cds.taboola.com
172.217.10.226,googleads.g.doubleclick.net
172.217.12.130,www.googleadservices.com
74.119.119.139,gum.criteo.com
96.6.25.233,pix.nbcuni.com
13.225.227.2,c.amazon-adsystem.com
104.17.186.177,api-v3.tinypass.com
34.199.237.190,crumbs.robinhood.com
172.217.12.130,securepubads.g.doubleclick.net
31.13.65.36,www.facebook.com
35.186.249.84,acidpigs.com
104.244.42.67,analytics.twitter.com
3.94.63.211,srv-2020-03-02-14.pixel.parsely.com
172.217.10.226,pagead2.googlesyndication.com
151.101.2.2,images.taboola.com
35.227.229.34,api.bounceexchange.com
34.224.123.177,api.parsely.com
23.52.162.9,secure.insightexpressai.com
35.190.62.200,events.bouncex.net
172.217.12.193,tpc.googlesyndication.com
172.217.3.110,mts0.google.com
184.25.177.92,use.typekit.net
104.18.33.108,iteratehq.com
128.116.112.44,users.roblox.com
209.85.201.108,imap.gmail.com
209.85.201.108,imap.gmail.com
209.85.201.108,imap.gmail.com
209.85.201.108,imap.gmail.com
209.85.201.108,imap.gmail.com
209.85.201.108,imap.gmail.com
172.217.3.106,www.googleapis.com
104.112.193.111,gs-sec.ww.np.dl.playstation.net
23.206.174.231,steam-chat.com
52.3.43.18,srv-2020-03-02-14.pixel.parsely.com
35.190.62.200,events.bouncex.net
74.119.119.149,csm.va.us.criteo.net
17.248.187.205,gateway.icloud.com
74.125.172.55,r1---sn-ab5szn7s.googlevideo.com
173.194.162.39,r1---sn-vgqsknee.googlevideo.com
128.116.112.44,users.roblox.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
35.188.42.15,sentry.io
172.217.6.193,apidata.googleusercontent.com
172.217.6.193,apidata.googleusercontent.com
172.217.6.193,apidata.googleusercontent.com
172.217.6.193,apidata.googleusercontent.com
172.217.6.193,apidata.googleusercontent.com
172.217.6.193,apidata.googleusercontent.com
52.179.129.229,arc.msn.com
52.109.8.21,nexusrules.officeapps.live.com
35.188.42.15,sentry.io
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
31.13.65.36,www.facebook.com
96.17.64.192,iphone-ld.apple.com
104.102.95.196,store.steampowered.com
103.126.92.132,interface.music.163.com
184.87.54.68,files.constantcontact.com
184.87.54.68,imgssl.constantcontact.com
184.87.54.68,imgssl.constantcontact.com
184.87.54.68,files.constantcontact.com
184.87.54.68,files.constantcontact.com
184.87.54.68,files.constantcontact.com
184.87.54.68,files.constantcontact.com
184.87.54.68,files.constantcontact.com
104.17.47.175,web-extract.constantcontact.com
104.17.47.175,web-extract.constantcontact.com
128.116.112.44,users.roblox.com
13.107.3.128,config.edge.skype.com
216.165.46.10,newclasses.nyu.edu
17.253.15.204,mesu.apple.com
20.36.218.63,settings-win.data.microsoft.com
17.253.15.204,mesu.apple.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
17.57.144.6,courier.push.apple.com
52.35.109.67,ece4.playfabapi.com
13.226.39.9,broker.lp1.npns.srv.nintendo.net
52.204.187.155,app-a05.lp1.npns.srv.nintendo.net
52.179.129.229,arc.msn.com
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
172.217.10.133,inbox.google.com
172.217.9.229,mail.google.com
172.217.10.234,oauthaccountmanager.googleapis.com
172.217.10.42,people-pa.googleapis.com
172.217.12.202,wirelessdevicestats.googleapis.com
172.217.12.202,wirelessdevicestats.googleapis.com
34.73.232.153,www.overleaf.com
128.116.112.44,users.roblox.com
130.211.16.53,d.joinhoney.com
103.126.92.132,interface.music.163.com
172.217.10.110,hangouts.google.com
172.217.11.42,people-pa.clients6.google.com
172.217.7.10,chat-pa.clients6.google.com
172.217.6.238,clients6.google.com
172.217.6.234,chat-pa.clients6.google.com
17.142.171.9,gs-loc.apple.com
23.78.210.178,configuration.ls.apple.com
17.248.187.141,p32-caldav.icloud.com
172.217.3.106,safebrowsing.googleapis.com
17.253.15.206,valid.apple.com
17.248.135.242,p27-calendars.icloud.com
173.194.208.189,5.client-channel.google.com
17.248.135.44,p32-contacts.icloud.com
17.134.127.249,gs-loc.apple.com
17.248.135.202,p32-keyvalueservice.icloud.com
17.253.15.208,mesu.apple.com
17.249.162.38,gsp-ssl.ls.apple.com
17.174.1.5,guzzoni.apple.com
17.253.15.208,mesu.apple.com
17.253.15.208,mesu.apple.com
104.70.59.193,bag.itunes.apple.com
23.43.57.16,play.itunes.apple.com
23.43.57.16,play.itunes.apple.com
173.223.8.90,pd.itunes.apple.com
103.126.92.132,interface.music.163.com
17.253.97.207,mesu.apple.com
17.137.166.4,gsa.apple.com
17.248.135.120,p32-keyvalueservice.icloud.com
172.217.222.109,imap.gmail.com
172.217.222.109,imap.gmail.com
17.179.252.2,gsa.apple.com
17.36.205.69,p28-imap.mail.me.com
172.217.10.138,www.googleapis.com
172.217.10.138,www.googleapis.com
17.179.252.2,gsa.apple.com
17.179.252.2,gsa.apple.com
17.36.205.69,p28-imap.mail.me.com
172.217.222.109,imap.gmail.com
17.248.135.206,api.apple-cloudkit.com
172.217.222.109,imap.gmail.com
128.116.112.44,users.roblox.com
17.179.252.2,gsa.apple.com
17.253.97.207,mesu.apple.com
17.253.97.207,mesu.apple.com
17.253.97.207,mesu.apple.com
204.79.197.222,fp.msedge.net
17.179.252.2,gsa.apple.com
17.253.97.207,mesu.apple.com
17.253.97.207,mesu.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
13.107.4.254,c-ring.msedge.net
13.107.3.254,s-ring.msedge.net
13.107.246.10,fp-afd.azureedge.net
17.57.144.52,courier.push.apple.com
96.6.24.89,xp.apple.com
96.17.64.192,iphone-ld.apple.com
17.171.47.86,humb.apple.com
17.248.135.122,gateway.icloud.com
17.248.135.182,gateway.icloud.com
204.79.197.200,www.bing.com
173.223.8.90,init.itunes.apple.com
17.249.105.246,api.smoot.apple.com
96.6.24.89,xp.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
165.254.0.107,play.itunes.apple.com
17.248.135.182,gateway.icloud.com
17.142.169.200,gsp64-ssl.ls.apple.com
172.217.222.109,imap.gmail.com
172.217.222.109,imap.gmail.com
17.248.135.182,gateway.icloud.com
54.152.62.189,datarouter.ol.epicgames.com
17.248.135.182,gateway.icloud.com
17.248.135.182,gateway.icloud.com
17.248.135.182,gateway.icloud.com
173.223.8.90,itunes.apple.com
157.185.146.25,www.oddsshark.com
34.208.119.37,www.gradescope.com
151.101.2.110,js-agent.newrelic.com
172.217.10.72,www.googletagmanager.com
172.217.10.78,www.google-analytics.com
35.188.253.162,vars.hotjar.com
162.247.242.21,bam.nr-data.net
157.185.146.25,www.oddsshark.com
17.248.131.200,metrics.icloud.com
34.208.119.37,www.gradescope.com
34.208.119.37,www.gradescope.com
17.248.135.182,gateway.icloud.com
173.223.8.90,configuration.apple.com
31.13.65.36,www.facebook.com
40.81.47.78,cs.dds.microsoft.com
31.13.65.7,external-atl3-1.xx.fbcdn.net
52.179.129.229,arc.msn.com
31.13.65.36,fbcdn.net
31.13.66.19,connect.facebook.net
17.134.127.249,gs-loc.apple.com
31.13.65.14,video-atl3-1.xx.fbcdn.net
17.179.252.2,gsa.apple.com
31.13.65.1,edge-chat.facebook.com
31.13.65.1,edge-chat.facebook.com
31.13.65.36,www.facebook.com
31.13.65.14,video-atl3-1.xx.fbcdn.net
17.248.135.243,gateway-carry.icloud.com
31.13.65.1,edge-chat.facebook.com
31.13.65.36,www.facebook.com
17.174.1.5,guzzoni.apple.com
17.253.97.207,mesu.apple.com
128.116.112.44,users.roblox.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
104.196.12.179,eg.poly.edu
172.217.163.237,accounts.google.com
182.92.244.228,clk.lenovo.com.cn
38.106.231.204,osfsr.lenovomm.com
20.36.218.63,settings-win.data.microsoft.com
35.168.53.24,crumbs.robinhood.com
31.13.65.1,www.messenger.com
20.36.218.63,settings-win.data.microsoft.com
