136.243.25.84,healte.de
104.16.31.91,na.ledge.leagueoflegends.com
128.116.112.44,users.roblox.com
40.67.188.15,presence-heartbeat.xboxlive.com
52.7.160.32,account-public-service-prod03.ol.epicgames.com
54.165.51.154,datarouter.ol.epicgames.com
23.223.157.58,steamcdn-a.akamaihd.net
68.67.178.10,ib.adnxs.com
45.79.163.231,s2s.rtk.io
68.67.178.10,ib.adnxs.com
68.67.178.10,ib.adnxs.com
68.67.178.10,ib.adnxs.com
69.166.1.15,apex.go.sonobi.com
23.239.15.111,bidder.rtk.io
184.25.177.92,p.typekit.net
34.227.0.168,prd-collector-anon.playbuzz.com
23.92.22.150,bucket.rtk.io
104.17.65.4,cdnjs.cloudflare.com
99.84.126.53,static.virdocs.com
3.225.108.58,platform.virdocs.com
3.225.108.58,platform.virdocs.com
13.68.168.63,spoc.norton.com
144.202.7.252,ssm-host-us-nyc-29.zeusaihe.tk
149.28.48.43,ssm-host-us-nyc-20.zeusaihe.tk
45.77.109.164,ssm-host-us-nyc-28.zeusaihe.tk
23.105.149.146,ssm-host-us-nyc-16.zeusaihe.tk
68.183.152.175,ssm-host-us-nyc-23.zeusaihe.tk
23.105.149.146,ssm-host-us-nyc-16.zeusaihe.tk
149.28.48.43,ssm-host-us-nyc-20.zeusaihe.tk
149.28.48.43,ssm-host-us-nyc-20.zeusaihe.tk
20.36.218.63,settings-win.data.microsoft.com
52.114.7.38,v10.events.data.microsoft.com
69.192.108.133,livetileedge.dsx.mp.microsoft.com
52.96.70.242,outlook.office365.com
69.192.108.133,livetileedge.dsx.mp.microsoft.com
148.153.38.118,api.vc.bilibili.com
13.225.230.106,onetag-geo.s-onetag.com
99.83.207.51,geo-location.s-onetag.com
63.251.114.137,ap.lijit.com
76.223.7.58,metrics-collector.s-onetag.com
52.179.129.229,arc.msn.com
162.159.129.233,discordapp.com
85.195.103.130,notifier-02.escapefromtarkov.com
20.36.218.208,presence-heartbeat.xboxlive.com
172.217.10.238,play.google.com
172.217.10.42,signaler-pa.clients6.google.com
172.217.10.238,play.google.com
172.217.7.10,signaler-pa.clients6.google.com
172.217.12.193,apidata.googleusercontent.com
85.195.119.219,prod-02.escapefromtarkov.com
52.11.105.241,ekg.riotgames.com
208.111.135.1,dstroscal1.s.llnwi.net
31.13.65.14,video-atl3-1.xx.fbcdn.net
35.190.44.0,lsp.hackerrank.com
69.192.108.239,api1.origin.com
69.192.108.239,api1.origin.com
172.217.10.234,safebrowsing.googleapis.com
172.217.10.234,imasdk.googleapis.com
172.217.10.102,s0.2mdn.net
31.13.65.7,scontent.xx.fbcdn.net
31.13.65.36,www.facebook.com
34.252.243.163,hydra.easyanticheat.net
54.225.130.255,i.jsrdn.com
96.6.24.65,bcat-list-lp1.cdn.nintendo.net
96.17.65.21,aktrack.pubmatic.com
34.231.48.162,5gn07.ads.tremorhub.com
34.192.67.0,sync.bfmio.com
47.246.24.229,s1.hdslb.com
148.153.38.118,www.bilibili.com
148.153.38.118,www.bilibili.com
148.153.38.118,message.bilibili.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
65.52.108.90,fe3cr.delivery.mp.microsoft.com
13.78.180.50,geo.prod.do.dsp.mp.microsoft.com
104.84.96.187,kv801.prod.do.dsp.mp.microsoft.com
23.223.157.58,steamcdn-a.akamaihd.net
23.223.157.58,steamcdn-a.akamaihd.net
23.223.157.58,steamcdn-a.akamaihd.net
104.84.96.187,cp801.prod.do.dsp.mp.microsoft.com
104.84.96.187,disc801.prod.do.dsp.mp.microsoft.com
104.84.96.187,cp801.prod.do.dsp.mp.microsoft.com
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
52.114.7.38,v10.events.data.microsoft.com
104.84.99.129,service.weather.microsoft.com
3.226.93.173,datarouter.ol.epicgames.com
34.231.48.162,5gn07.ads.tremorhub.com
34.192.67.0,sync.bfmio.com
172.217.10.35,update.googleapis.com
20.36.218.63,settings-win.data.microsoft.com
128.116.112.44,users.roblox.com
68.67.178.10,ib.adnxs.com
68.67.178.10,ib.adnxs.com
68.67.178.10,ib.adnxs.com
69.166.1.15,apex.go.sonobi.com
68.67.178.10,ib.adnxs.com
184.28.190.192,static.nvidiagrid.net
52.86.89.44,www.netflix.com
23.92.22.150,bucket.rtk.io
18.232.225.110,s.update.rubiconproject.com
85.195.119.219,prod-02.escapefromtarkov.com
172.217.10.35,update.googleapis.com
52.114.7.38,v10.events.data.microsoft.com
52.114.7.38,v10.events.data.microsoft.com
13.68.168.63,spoc.norton.com
17.248.135.15,p40-contacts.icloud.com
172.217.10.234,www.googleapis.com
35.190.44.0,lsp.hackerrank.com
85.195.119.219,prod-02.escapefromtarkov.com
17.174.1.5,guzzoni.apple.com
52.11.105.241,ekg.riotgames.com
52.11.105.241,ekg.riotgames.com
23.60.68.89,steamcommunity-a.akamaihd.net
23.192.75.231,api.steampowered.com
104.16.36.99,playerpreferences.riotgames.com
52.114.7.38,v10.events.data.microsoft.com
52.10.101.255,ekg.riotgames.com
40.67.188.15,presence-heartbeat.xboxlive.com
31.13.65.1,www.messenger.com
40.91.72.120,presence-heartbeat.xboxlive.com
17.249.121.246,api-glb-nyc.smoot.apple.com
96.6.24.89,xp.apple.com
23.60.68.88,play.itunes.apple.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
172.217.6.238,clients1.google.com
96.6.27.87,www.usps.com
96.6.27.87,www.usps.com
93.184.216.182,fast.fonts.net
151.101.248.157,static.ads-twitter.com
93.184.216.182,fast.fonts.net
172.217.11.14,clients6.google.com
52.179.129.229,arc.msn.com
104.20.115.14,prod.escapefromtarkov.com
104.20.115.14,prod.escapefromtarkov.com
104.20.115.14,prod.escapefromtarkov.com
104.20.115.14,prod.escapefromtarkov.com
104.20.115.14,trading.escapefromtarkov.com
85.195.103.130,notifier-02.escapefromtarkov.com
172.253.122.188,mtalk.google.com
172.217.10.234,remotedesktop-pa.googleapis.com
172.217.10.234,remotedesktop-pa.googleapis.com
172.217.6.234,safebrowsing.googleapis.com
148.153.64.18,api.bilibili.com
164.52.33.179,data.bilibili.com
35.241.52.229,cdp.cloud.unity3d.com
151.139.128.10,cdn.intergi.com
104.27.138.150,epic7x.com
104.16.126.175,unpkg.com
99.84.185.181,d3cv4a9a9wh0bt.cloudfront.net
23.63.76.32,ubistatic3-a.akamaihd.net
23.223.157.72,upos-hz-mirrorakam.akamaized.net
104.17.165.5,pft.leagueoflegends.com
23.223.157.72,upos-hz-mirrorakam.akamaized.net
35.190.44.0,lsp.hackerrank.com
172.217.10.238,www.youtube.com
13.33.75.144,www.flickr.com
31.13.71.36,www.facebook.com
104.20.114.14,launcher.escapefromtarkov.com
77.88.21.119,mc.yandex.ru
52.10.101.255,ekg.riotgames.com
192.0.66.136,foreignpolicy.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
192.0.66.136,foreignpolicy.com
172.217.3.106,fonts.googleapis.com
172.217.12.138,ajax.googleapis.com
63.251.114.137,ap.lijit.com
151.101.2.2,cdn.taboola.com
184.73.247.163,c.jsrdn.com
192.0.76.3,stats.wp.com
13.225.230.85,onetag-geo.onscroll.com
172.217.10.34,securepubads.g.doubleclick.net
192.184.68.246,secure.quantserve.com
23.21.170.245,s.jsrdn.com
104.84.148.238,sb.scorecardresearch.com
104.16.77.165,www.lightboxcdn.com
13.225.218.53,d3nq5jrakcyw1w.cloudfront.net
69.192.110.94,z.moatads.com
13.225.230.11,rules.quantcount.com
104.244.42.133,t.co
192.184.68.246,pixel.quantserve.com
184.26.118.107,sjs.bizographics.com
205.185.216.10,c5x8i7c7.ssl.hwcdn.net
63.251.114.137,ap.lijit.com
54.243.130.7,i.jsrdn.com
205.185.216.10,c5x8i7c7.ssl.hwcdn.net
205.185.216.10,c5x8i7c7.ssl.hwcdn.net
23.92.190.74,gslbeacon.lijit.com
192.184.68.246,pixel.quantserve.com
54.243.130.7,i.jsrdn.com
54.243.130.7,i.jsrdn.com
54.243.130.7,i.jsrdn.com
54.243.130.7,i.jsrdn.com
54.243.130.7,i.jsrdn.com
52.218.225.123,distroscale.s3.amazonaws.com
13.89.172.6,lightboxapi.azurewebsites.net
172.64.98.4,script.4dex.io
104.16.86.20,cdn.jsdelivr.net
68.67.179.113,ib.adnxs.com
69.192.109.125,as-sec.casalemedia.com
208.185.50.99,fastlane.rubiconproject.com
74.119.119.151,bidder.criteo.com
108.174.10.14,px.ads.linkedin.com
68.67.179.113,ib.adnxs.com
172.64.98.4,script.4dex.io
208.185.50.99,fastlane.rubiconproject.com
208.185.50.99,fastlane.rubiconproject.com
208.185.50.99,fastlane.rubiconproject.com
208.185.50.99,fastlane.rubiconproject.com
208.185.50.99,fastlane.rubiconproject.com
69.164.0.128,dstroscal1.s.llnwi.net
69.164.0.128,dstroscal1.s.llnwi.net
3.136.62.45,pba.aws.lijit.com
35.201.85.158,server.exposebox.com
208.185.50.90,pixel.rubiconproject.com
198.148.27.140,bh.contextweb.com
141.226.224.32,cds.taboola.com
192.132.33.46,bttrack.com
3.93.252.59,match.adsrvr.org
35.207.24.140,rtb.mfadsrvr.com
172.217.3.98,cm.g.doubleclick.net
216.200.232.201,sync.mathtag.com
35.207.24.140,rtb-use.mfadsrvr.com
35.211.99.204,x.bidswitch.net
151.101.2.49,15.taboola.com
52.168.140.71,px.powerlinks.com
52.34.54.104,www.storygize.net
185.184.8.30,creativecdn.com
35.211.114.141,bsw.digitru.st
35.211.114.141,us-east-sync.bidswitch.net
3.217.52.69,pixel.advertising.com
74.119.119.131,static.criteo.net
128.116.112.44,users.roblox.com
40.114.105.100,inference.location.live.net
172.217.11.42,android.googleapis.com
172.217.9.238,android.clients.google.com
172.217.11.42,android.googleapis.com
13.225.230.34,prebid.digitru.st
172.217.10.42,www.googleapis.com
172.217.12.202,people-pa.clients6.google.com
151.101.2.110,js-agent.newrelic.com
104.244.42.195,analytics.twitter.com
162.247.242.20,bam.nr-data.net
34.231.48.162,5gn07.ads.tremorhub.com
148.153.64.18,api.bilibili.com
34.196.86.37,sync.bfmio.com
164.52.33.179,data.bilibili.com
17.134.127.249,gs-loc.apple.com
54.173.160.129,www.ubisoft.com
3.216.1.227,tomclancy-thedivision.ubisoft.com
18.210.47.113,redirection.ubisoft.com
184.25.177.92,p.typekit.net
104.16.81.165,s3.lightboxcdn.com
8.36.80.215,events.gfe.nvidia.com
17.252.226.85,gs-loc.apple.com
104.17.65.4,cdnjs.cloudflare.com
143.204.147.127,static.virdocs.com
103.126.92.133,interface.music.163.com
72.21.91.70,cdn.syndication.twimg.com
72.21.91.70,cdn.syndication.twimg.com
148.153.38.118,api.vc.bilibili.com
17.167.194.47,gsp85-ssl.ls.apple.com
17.167.194.230,gsp64-ssl.ls.apple.com
34.198.166.64,prd-collector-anon.playbuzz.com
99.84.185.183,d3cv4a9a9wh0bt.cloudfront.net
17.56.138.26,cma.itunes.apple.com
17.248.187.68,p31-caldav.icloud.com
148.153.64.18,api.bilibili.com
164.52.33.179,data.bilibili.com
17.248.135.108,p31-caldav.icloud.com
164.52.33.179,data.bilibili.com
148.153.64.18,api.bilibili.com
148.153.64.18,api.bilibili.com
164.52.33.179,data.bilibili.com
47.246.24.228,i0.hdslb.com
162.159.130.233,discordapp.com
17.57.144.52,courier.push.apple.com
23.223.157.72,upos-hz-mirrorakam.akamaized.net
52.113.194.132,config.teams.microsoft.com
52.179.129.229,arc.msn.com
23.223.157.72,upos-hz-mirrorakam.akamaized.net
52.114.77.34,mobile.pipe.aria.microsoft.com
52.114.77.34,mobile.pipe.aria.microsoft.com
172.217.11.42,play.googleapis.com
172.217.6.205,accounts.google.com
23.194.118.213,px.moatads.com
17.248.187.196,edge-155.usnyc.icloud-content.com
17.248.187.196,edge-155.usnyc.icloud-content.com
3.226.93.173,datarouter.ol.epicgames.com
17.248.135.141,p55-content.icloud.com
17.167.194.230,gsp64-ssl.ls.apple.com
17.248.187.73,p55-content.icloud.com
52.114.32.7,mobile.pipe.aria.microsoft.com
52.114.32.7,mobile.pipe.aria.microsoft.com
8.36.80.215,events.gfe.nvidia.com
47.246.24.225,s1.hdslb.com
23.223.157.72,upos-hz-mirrorakam.akamaized.net
