172.217.10.42,instantmessaging-pa.googleapis.com
99.83.135.170,capi.grammarly.com
68.67.160.134,ib.adnxs.com
69.166.1.15,apex.go.sonobi.com
68.67.160.134,ib.adnxs.com
68.67.160.134,ib.adnxs.com
68.67.160.134,ib.adnxs.com
23.66.96.29,contextual.media.net
107.178.240.89,fei.pro-market.net
104.244.42.1,twitter.com
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
192.229.173.16,pbs.twimg.com
192.229.173.16,abs.twimg.com
192.229.173.16,pbs.twimg.com
192.229.173.16,abs.twimg.com
192.229.210.163,video.twimg.com
192.229.173.16,abs.twimg.com
192.229.210.163,video.twimg.com
104.244.42.130,api.twitter.com
104.244.42.133,t.co
104.244.42.130,api.twitter.com
104.244.42.130,api.twitter.com
99.83.135.170,capi.grammarly.com
104.244.43.131,abs-0.twimg.com
104.244.43.131,abs-0.twimg.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
97.107.131.27,bucket.rtk.io
97.107.131.27,bucket.rtk.io
52.114.132.73,v10.events.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
65.55.44.109,vortex.data.microsoft.com
104.105.236.250,pd.itunes.apple.com
34.196.85.243,category.blocksite.co
17.253.15.208,mesu.apple.com
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
104.22.3.109,builds.parsecgaming.com
104.22.3.109,builds.parsecgaming.com
209.197.3.15,maxcdn.bootstrapcdn.com
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
99.84.126.99,globalnav.digicomm.home.nyu.edu
52.11.105.241,ekg.riotgames.com
24.105.29.76,telemetry-in.battle.net
35.169.74.171,polka.typekit.com
172.217.10.74,remotedesktop-pa.googleapis.com
172.217.10.74,remotedesktop-pa.googleapis.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
13.68.225.90,smartscreen-prod.microsoft.com
151.101.192.194,haikyuu.fandom.com
74.120.184.194,slot1-images.wikia.nocookie.net
99.84.117.174,media.tenor.co
20.36.218.63,settings-win.data.microsoft.com
35.190.44.0,lsp.hackerrank.com
35.190.44.0,lsp.hackerrank.com
128.116.112.44,users.roblox.com
17.252.226.85,gs-loc.apple.com
173.223.18.18,configuration.ls.apple.com
172.217.3.106,safebrowsing.googleapis.com
17.248.187.141,p32-caldav.icloud.com
17.248.135.241,p27-calendars.icloud.com
172.217.197.109,imap.gmail.com
17.253.97.201,valid.apple.com
172.253.122.108,imap.gmail.com
17.167.194.149,gs-loc.apple.com
40.67.188.15,presence-heartbeat.xboxlive.com
104.17.209.9,api.golinkapi.com
99.83.135.170,capi.grammarly.com
17.249.162.38,gsp-ssl.ls.apple.com
104.105.235.143,gspe35-ssl.ls.apple.com
99.83.135.170,capi.grammarly.com
104.17.209.9,api.golinkapi.com
35.186.224.47,dealer.spotify.com
52.11.105.241,ekg.riotgames.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
151.101.128.93,www.houzz.com
31.13.71.1,www.messenger.com
17.248.135.81,p32-keyvalueservice.icloud.com
35.190.44.0,lsp.hackerrank.com
52.25.154.57,ece4.playfabapi.com
13.225.63.117,d3cv4a9a9wh0bt.cloudfront.net
99.84.47.120,d3cv4a9a9wh0bt.cloudfront.net
17.248.187.140,p32-contacts.icloud.com
17.142.169.200,gsp64-ssl.ls.apple.com
52.179.129.229,arc.msn.com
52.109.12.22,nexus.officeapps.live.com
17.249.105.246,api.smoot.apple.com
184.24.104.58,init.itunes.apple.com
23.221.200.35,xp.apple.com
23.60.68.88,play.itunes.apple.com
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
172.217.12.214,i.ytimg.com
172.217.6.238,www.youtube.com
17.167.192.128,gs-loc.apple.com
104.16.1.92,na.ledge.leagueoflegends.com
52.11.105.241,ekg.riotgames.com
172.217.3.106,fonts.googleapis.com
172.217.12.194,googleads.g.doubleclick.net
172.217.11.1,yt3.ggpht.com
172.217.12.194,googleads.g.doubleclick.net
17.248.187.140,gateway.icloud.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
172.217.11.38,static.doubleclick.net
216.165.78.35,housing.nyu.edu
216.165.78.35,housing.nyu.edu
216.165.78.35,housing.nyu.edu
40.91.72.120,presence-heartbeat.xboxlive.com
17.137.166.4,gsa.apple.com
34.73.232.153,www.overleaf.com
52.11.105.241,ekg.riotgames.com
151.101.209.36,www.kongregate.com
130.211.16.53,d.joinhoney.com
