130.211.16.53,d.joinhoney.com
52.113.194.133,a.lw.skype.com
13.225.63.137,d3cv4a9a9wh0bt.cloudfront.net
172.217.10.237,accounts.google.com
23.54.214.254,steamcommunity.com
172.217.11.36,www.google.com
40.90.22.183,login.live.com
35.244.186.129,rtkio-d.openx.net
104.16.68.69,dmx.districtm.io
45.79.163.231,s2s.rtk.io
52.4.38.58,g2.gumgum.com
3.224.32.104,hb.emxdgt.com
208.185.50.98,fastlane.rubiconproject.com
184.28.89.93,as-sec.casalemedia.com
67.202.110.24,ssc.33across.com
38.140.99.21,lockerdome.com
69.166.1.15,apex.go.sonobi.com
104.36.115.111,hbopenbid.pubmatic.com
68.67.160.78,ib.adnxs.com
68.67.160.78,ib.adnxs.com
68.67.160.78,ib.adnxs.com
68.67.160.78,ib.adnxs.com
13.226.25.248,c.amazon-adsystem.com
66.175.213.243,bidder.rtk.io
130.211.26.229,s.joinhoney.com
52.46.135.211,completion.amazon.com
13.107.3.128,a.config.skype.com
52.94.232.195,unagi-na.amazon.com
72.21.206.141,aax-us-east.amazon-adsystem.com
52.114.77.34,browser.pipe.aria.microsoft.com
72.21.206.141,aax-us-east.amazon-adsystem.com
172.217.9.229,mail.google.com
72.21.206.141,aax-us-east.amazon-adsystem.com
97.107.131.27,bucket.rtk.io
97.107.131.27,bucket.rtk.io
104.18.22.175,csgolounge.com
107.23.97.250,auth.grammarly.com
104.16.249.48,dota2lounge.com
54.239.17.112,s.amazon-adsystem.com
3.221.220.115,data.grammarly.com
18.205.44.71,f-log-extension.grammarly.io
172.217.11.35,clientservices.googleapis.com
172.217.3.99,www.gstatic.com
172.217.3.99,www.gstatic.com
172.217.6.226,cm.g.doubleclick.net
68.67.160.133,ib.adnxs.com
198.148.27.140,bh.contextweb.com
35.244.186.129,us-u.openx.net
23.10.89.229,tags.bluekai.com
199.127.204.150,sync.1rx.io
31.13.65.36,www.facebook.com
192.35.249.120,sync.search.spotxchange.com
184.28.89.93,ssum-sec.casalemedia.com
172.217.9.226,googleads.g.doubleclick.net
104.36.115.113,image6.pubmatic.com
104.244.42.131,analytics.twitter.com
52.205.67.244,dpm.demdex.net
35.211.114.141,x.bidswitch.net
63.251.114.136,ap.lijit.com
35.153.120.172,fls-na.amazon.com
52.206.66.46,match.adsrvr.org
54.239.17.112,s.amazon-adsystem.com
54.239.17.112,s.amazon-adsystem.com
54.239.17.112,s.amazon-adsystem.com
54.239.17.112,s.amazon-adsystem.com
54.239.17.112,s.amazon-adsystem.com
209.15.36.36,pixel-sync.sitescout.com
205.180.85.137,pulsepoint-match.dotomi.com
69.192.185.108,www.amazon.com
23.209.177.172,secure.download.dm.origin.com
23.53.253.4,api4.origin.com
23.53.253.4,api3.origin.com
23.53.253.4,api2.origin.com
13.225.212.45,assets.credoreference.com
104.196.12.179,manual.eg.poly.edu
104.196.12.179,manual.eg.poly.edu
13.225.212.66,search.credoreference.com
216.165.78.35,housing.nyu.edu
104.17.64.4,cdnjs.cloudflare.com
216.165.78.35,housing.nyu.edu
103.126.92.132,interface.music.163.com
128.116.112.44,users.roblox.com
13.225.63.165,d1lxz4vuik53pc.cloudfront.net
209.15.36.36,pixel-sync.sitescout.com
104.196.12.179,eg.poly.edu
172.217.10.131,ssl.gstatic.com
172.217.10.131,ssl.gstatic.com
172.253.122.188,mtalk.google.com
52.223.224.172,video-edge-d5a0c4.iad03.abs.hls.ttvnw.net
35.186.224.47,dealer.spotify.com
40.67.188.75,profile.xboxlive.com
52.179.224.121,client.wns.windows.com
52.179.224.121,client.wns.windows.com
52.94.232.195,unagi-na.amazon.com
134.170.179.199,xsts.auth.xboxlive.com
52.46.135.211,completion.amazon.com
20.36.218.63,settings.data.microsoft.com
40.85.182.43,skypexbox.skype.com
40.91.74.168,comments.xboxlive.com
52.188.42.235,azeus2-client-s.gateway.messenger.live.com
40.65.234.15,notify.xboxlive.com
40.90.10.60,social.xboxlive.com
52.216.24.164,ams-ads-cornerstone-pda-creatives.s3.amazonaws.com
13.226.39.13,cdn-d.amazon-adsystem.com
52.114.77.33,browser.pipe.aria.microsoft.com
52.179.129.229,arc.msn.com
107.167.110.216,sitecheck.opera.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
52.94.234.174,cloudfront-labs.amazonaws.com
104.17.189.102,cdn.ivaws.com
54.240.129.119,a39e0218c0c4739216e1099c2be2efb2a.profile.sfo-m.cloudfront.net
104.16.31.91,na.ledge.leagueoflegends.com
58.222.35.202,api.vc.bilibili.com
216.165.47.12,www.nyu.edu
107.167.110.216,sitecheck.opera.com
54.241.191.153,api-e4c9863e.duosecurity.com
172.217.11.34,www.googletagservices.com
52.201.163.227,pixel.adsafeprotected.com
104.122.71.106,c.betrad.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
143.204.147.56,static.adsafeprotected.com
172.217.10.134,ad.doubleclick.net
52.44.5.76,dt.adsafeprotected.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.12,www.nyu.edu
216.165.78.28,sis.portal.nyu.edu
216.165.78.28,sis.portal.nyu.edu
172.217.12.166,s0.2mdn.net
172.217.12.193,tpc.googlesyndication.com
37.48.92.165,yuk54f.vkcache.com
23.67.194.192,cloud.typography.com
13.225.63.55,d3cv4a9a9wh0bt.cloudfront.net
107.167.110.211,af.opera.com
40.112.49.67,smartscreen-prod.microsoft.com
52.33.245.178,ekg.riotgames.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
13.226.39.65,api-cache.blizzcon.com
103.130.100.18,nb.cloudmatrix.com.tw
113.96.232.48,p.qlogo.cn
23.22.252.240,perr.hola.org
34.196.69.246,datarouter.ol.epicgames.com
52.87.70.64,dt.adsafeprotected.com
172.217.11.34,pagead2.googlesyndication.com
52.46.135.211,completion.amazon.com
52.216.24.164,ams-ads-cornerstone-pda-creatives.s3.amazonaws.com
107.167.110.216,sitecheck.opera.com
216.165.78.15,sis.nyu.edu
216.165.78.15,sis.nyu.edu
128.116.112.44,users.roblox.com
216.165.47.12,www.nyu.edu
198.187.196.25,secure.touchnet.com
198.187.196.25,secure.touchnet.com
52.94.234.174,cloudfront-labs.amazonaws.com
198.187.196.25,secure.touchnet.com
198.187.196.25,secure.touchnet.com
198.187.196.25,secure.touchnet.com
198.187.196.25,secure.touchnet.com
13.226.6.22,a022fffd8f420d328644efd5b37aa7237.profile.tlv50-c1.cloudfront.net
107.167.110.211,features.opera-api.com
198.148.27.140,bh.contextweb.com
209.15.36.36,pixel-sync.sitescout.com
20.190.131.96,login.microsoftonline.com
52.109.6.6,roaming.officeapps.live.com
172.217.6.238,clients2.google.com
172.253.122.188,mtalk.google.com
23.22.252.240,perr.hola.org
52.3.169.18,www.netflix.com
107.20.240.232,ac.duckduckgo.com
172.217.12.193,apidata.googleusercontent.com
107.20.240.232,duckduckgo.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
23.21.193.199,external-content.duckduckgo.com
52.109.124.20,nexusrules.officeapps.live.com
151.101.1.140,v.redd.it
172.217.10.106,www.googleapis.com
13.107.18.11,outlook.office.com
35.190.25.25,api.mixpanel.com
35.190.25.25,api.mixpanel.com
35.190.25.25,api.mixpanel.com
35.190.25.25,api.mixpanel.com
35.190.25.25,api.mixpanel.com
35.190.25.25,api.mixpanel.com
173.194.204.108,imap.gmail.com
52.96.38.82,outlook.office365.com
52.179.129.229,arc.msn.com
17.188.131.14,init.push.apple.com
172.217.9.229,mail.google.com
185.26.182.112,merchandise.opera-api.com
172.217.6.202,www.googleapis.com
