35.241.52.229,cdp.cloud.unity3d.com
128.116.112.44,users.roblox.com
103.126.92.132,interface.music.163.com
13.226.39.81,search.credoreference.com
104.196.12.179,manual.eg.poly.edu
104.196.12.179,manual.eg.poly.edu
13.225.212.83,assets.credoreference.com
204.79.197.200,www.bing.com
13.107.18.11,substrate.office.com
40.126.2.34,login.microsoftonline.com
104.17.209.9,api.golinkapi.com
192.99.103.81,bigcdnjs2.funnyjunk.com
13.225.210.120,d3cv4a9a9wh0bt.cloudfront.net
13.225.210.120,d3cv4a9a9wh0bt.cloudfront.net
52.179.129.229,arc.msn.com
198.27.121.188,bigcdnjs3.funnyjunk.com
52.114.88.28,mobile.pipe.aria.microsoft.com
52.114.88.28,mobile.pipe.aria.microsoft.com
104.17.147.7,wikibuy.com
104.17.147.7,track.wikibuy.com
172.217.6.194,adservice.google.com
173.194.68.189,6.client-channel.google.com
144.217.180.139,bigcdnjs1.funnyjunk.com
172.217.12.138,wirelessdevicestats.googleapis.com
172.217.12.138,wirelessdevicestats.googleapis.com
20.36.218.63,settings-win.data.microsoft.com
34.73.232.153,www.overleaf.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.65.174,www.instagram.com
31.13.65.52,graph.instagram.com
31.13.65.174,www.instagram.com
31.13.65.174,www.instagram.com
31.13.65.52,scontent.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,edge-chat.instagram.com
35.190.44.0,lsp.hackerrank.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
70.37.73.37,d129b7ae3c76f4fa68a24b40acbd81b9.clo.footprintdns.com
13.107.18.254,k-ring.msedge.net
204.79.197.254,a-ring.msedge.net
204.79.197.222,fp.msedge.net
144.217.180.139,bigcdnjs1.funnyjunk.com
52.113.194.132,config.teams.microsoft.com
52.35.252.98,ekg.riotgames.com
52.114.128.43,mobile.pipe.aria.microsoft.com
52.114.128.43,mobile.pipe.aria.microsoft.com
52.114.7.36,v10.events.data.microsoft.com
198.27.121.188,bigcdnjs3.funnyjunk.com
173.194.61.75,r5---sn-ab5l6nzk.googlevideo.com
209.197.3.15,maxcdn.bootstrapcdn.com
13.226.39.55,globalnav.digicomm.home.nyu.edu
