172.217.7.2,adservice.google.com
172.217.10.66,googleads.g.doubleclick.net
207.189.124.57,act.online.engineering.nyu.edu
128.116.112.44,users.roblox.com
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
13.225.62.34,globalnav.digicomm.home.nyu.edu
162.159.130.233,discordapp.com
104.103.214.130,cloud.typography.com
172.217.10.72,www.googletagmanager.com
172.217.10.40,ssl.google-analytics.com
172.217.197.157,stats.g.doubleclick.net
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
52.109.6.6,roaming.officeapps.live.com
37.48.92.165,yuk54f.vkcache.com
35.241.52.229,cdp.cloud.unity3d.com
31.13.65.1,www.messenger.com
104.96.220.121,steamcdn-a.akamaihd.net
23.43.56.195,steamstore-a.akamaihd.net
104.96.220.121,steamcdn-a.akamaihd.net
104.96.220.121,steamcdn-a.akamaihd.net
54.71.49.71,ece4.playfabapi.com
207.189.124.57,act.online.engineering.nyu.edu
31.13.65.174,www.instagram.com
128.116.112.44,users.roblox.com
50.18.216.184,content.uplynk.com
52.179.129.229,arc.msn.com
13.225.62.105,js.stripe.com
23.196.52.73,www.robotevents.com
13.225.62.64,cdn.ywxi.net
151.101.0.176,m.stripe.network
52.218.248.72,s3-us-west-2.amazonaws.com
52.218.248.72,s3-us-west-2.amazonaws.com
52.38.25.206,m.stripe.com
34.234.26.231,category.blocksite.co
104.245.182.23,sub.robotevents.com
20.36.218.63,settings-win.data.microsoft.com
23.40.62.64,ubistatic3-a.akamaihd.net
23.40.62.64,ubistatic3-a.akamaihd.net
54.175.191.66,services.uplynk.com
162.159.129.233,discordapp.com
3.221.116.27,public-ubiservices.ubi.com
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
23.13.252.192,disc801.prod.do.dsp.mp.microsoft.com
104.26.15.152,programinfos.com
52.45.79.60,abcotv.hb.omtrdc.net
104.26.15.152,programinfos.com
13.225.62.6,news-page-themes-api.a.upc.ubisoft.com
52.204.87.102,public-rest.a.upc.ubisoft.com
