107.167.110.216,speeddials.opera.com
103.126.92.132,interface.music.163.com
40.90.22.189,login.live.com
13.107.3.128,edge.skype.com
52.114.142.67,api.asm.skype.com
13.107.3.128,edge.skype.com
52.114.128.40,prod.registrar.skype.com
104.196.12.179,manual.eg.poly.edu
104.196.12.179,manual.eg.poly.edu
128.116.112.44,users.roblox.com
17.173.66.102,p14-buy.itunes.apple.com
52.109.12.65,wordsgs.officeapps.live.com
52.109.12.65,wordsgs.officeapps.live.com
104.196.12.179,eg.poly.edu
17.248.132.156,p42-keyvalueservice.icloud.com
52.114.75.78,mobile.pipe.aria.microsoft.com
17.248.135.92,gateway.icloud.com
17.164.1.38,lcdn-locator.apple.com
183.134.19.1,i0.hdslb.com
115.223.15.228,s1.hdslb.com
17.248.187.73,p42-keyvalueservice.icloud.com
106.75.240.94,www.bilibili.com
106.75.240.94,www.bilibili.com
40.112.49.67,smartscreen-prod.microsoft.com
17.248.187.73,gateway.icloud.com
34.193.79.202,cc-api-data.adobe.io
52.1.177.66,p13n.adobe.io
13.225.63.35,d3cv4a9a9wh0bt.cloudfront.net
35.241.52.229,cdp.cloud.unity3d.com
17.167.194.230,gsp64-ssl.ls.apple.com
13.225.62.63,api-cache.blizzcon.com
103.130.100.18,nb.cloudmatrix.com.tw
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
104.16.3.92,na.ledge.leagueoflegends.com
52.114.128.43,browser.pipe.aria.microsoft.com
31.13.65.36,www.facebook.com
205.234.175.175,delivery.adrecover.com
104.106.75.37,c.aaxads.com
100.24.78.173,datarouter.ol.epicgames.com
13.225.63.117,d3cv4a9a9wh0bt.cloudfront.net
17.57.144.53,courier.push.apple.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
31.13.65.7,static.xx.fbcdn.net
104.40.91.191,checkappexec.microsoft.com
52.109.2.16,officeclient.microsoft.com
20.36.218.208,presence-heartbeat.xboxlive.com
13.107.3.128,config.edge.skype.com
104.106.60.209,contentstorage.osi.office.net
40.126.7.100,login.microsoftonline.com
40.126.7.100,login.microsoftonline.com
52.96.88.82,outlook.office365.com
52.109.16.4,odc.officeapps.live.com
40.126.7.100,login.microsoftonline.com
34.193.79.202,cc-api-data.adobe.io
13.107.18.11,substrate.office.com
40.126.7.100,login.microsoftonline.com
52.109.6.7,ocws.officeapps.live.com
52.109.6.39,messaging.office.com
52.109.6.6,roaming.officeapps.live.com
52.109.6.39,messaging.office.com
52.109.6.39,messaging.office.com
52.109.6.39,messaging.office.com
52.109.6.39,messaging.office.com
52.109.6.39,messaging.office.com
52.109.6.39,messaging.office.com
52.96.35.178,autodiscover-s.outlook.com
216.165.47.10,nyu.edu
216.165.47.12,www.nyu.edu
31.13.65.14,video.xx.fbcdn.net
76.223.7.58,metrics-collector.s-onetag.com
52.206.122.138,www.netflix.com
31.13.65.14,video-atl3-1.xx.fbcdn.net
31.13.65.14,video-atl3-1.xx.fbcdn.net
31.13.65.14,video-atl3-1.xx.fbcdn.net
31.13.65.14,video-atl3-1.xx.fbcdn.net
31.13.65.14,video-atl3-1.xx.fbcdn.net
31.13.65.14,video-atl3-1.xx.fbcdn.net
52.13.229.94,ekg.riotgames.com
40.126.7.100,login.microsoftonline.com
13.68.187.151,ocps.manage.microsoft.com
40.126.7.100,login.microsoftonline.com
52.179.129.229,arc.msn.com
128.116.112.44,users.roblox.com
52.206.227.223,dt.adsafeprotected.com
35.190.44.0,lsp.hackerrank.com
104.22.3.109,builds.parsecgaming.com
104.22.3.109,builds.parsecgaming.com
104.17.148.7,wikibuy.com
104.17.147.7,track.wikibuy.com
52.114.77.34,self.events.data.microsoft.com
40.126.7.102,login.microsoftonline.com
68.67.160.74,ib.adnxs.com
68.67.160.74,ib.adnxs.com
68.67.160.74,ib.adnxs.com
69.166.1.15,apex.go.sonobi.com
68.67.160.74,ib.adnxs.com
52.109.6.6,roaming.officeapps.live.com
23.92.22.150,bucket.rtk.io
31.13.65.36,www.facebook.com
172.217.7.2,googleads.g.doubleclick.net
172.217.12.202,instantmessaging-pa.googleapis.com
104.106.75.37,c.aaxads.com
23.40.62.64,ubistatic3-a.akamaihd.net
128.116.112.44,users.roblox.com
172.217.10.10,instantmessaging-pa.googleapis.com
52.109.6.6,roaming.officeapps.live.com
35.190.44.0,lsp.hackerrank.com
13.107.3.128,config.edge.skype.com
54.175.35.249,fls-na.amazon.com
13.226.35.231,www.amazon.com
52.114.6.46,v20.events.data.microsoft.com
151.101.0.194,haikyuu.fandom.com
74.120.184.204,slot1-images.wikia.nocookie.net
52.114.128.44,v10.events.data.microsoft.com
61.147.236.15,message.bilibili.com
104.16.249.48,dota2lounge.com
23.66.96.204,api1.origin.com
104.28.0.221,sih.gainskins.com
34.73.232.153,www.overleaf.com
35.190.44.0,lsp.hackerrank.com
13.78.180.50,array806.prod.do.dsp.mp.microsoft.com
172.217.12.138,chat-pa.clients6.google.com
172.217.10.234,safebrowsing.googleapis.com
